date,total,UNEMP
1990-01-01,61.0548,38.9452
1990-04-01,61.9756,38.0244
1990-07-01,62.3043,37.6957
1990-10-01,60.3578,39.6422
1991-01-01,58.5127,41.4873
1991-04-01,57.2041,42.7959
1991-07-01,57.7201,42.2799
1991-10-01,57.0487,42.9513
1992-01-01,57.1117,42.8883
1992-04-01,56.58,43.42
1992-07-01,55.9473,44.0527
1992-10-01,56.138,43.862
1993-01-01,58.2508,41.7492
1993-04-01,58.065,41.935
1993-07-01,58.0261,41.9739
1993-10-01,58.3045,41.6955
1994-01-01,59.0883,40.9117
1994-04-01,58.4736,41.5264
1994-07-01,59.1369,40.8631
1994-10-01,60.3204,39.6796
1995-01-01,59.6899,40.3101
1995-04-01,59.5425,40.4575
1995-07-01,60.216,39.784
1995-10-01,59.8981,40.1019
1996-01-01,60.6867,39.3133
1996-04-01,60.8479,39.1521
1996-07-01,60.92,39.08
1996-10-01,59.6219,40.3781
1997-01-01,60.2804,39.7196
1997-04-01,61.1254,38.8746
1997-07-01,61.8873,38.1127
1997-10-01,62.8275,37.1725
1998-01-01,62.8814,37.1186
1998-04-01,63.2458,36.7542
1998-07-01,65.2355,34.7645
1998-10-01,64.9278,35.0722
1999-01-01,64.2018,35.7982
1999-04-01,67.4181,32.5819
1999-07-01,65.3479,34.6521
1999-10-01,65.1059,34.8941
2000-01-01,65.6551,34.3449
2000-04-01,65.9235,34.0765
2000-07-01,65.5974,34.4026
2000-10-01,68.0896,31.9104
2001-01-01,67.9095,32.0905
2001-04-01,65.3238,34.6762
2001-07-01,66.5689,33.4311
2001-10-01,62.9164,37.0836
2002-01-01,61.6762,38.3238
2002-04-01,64.4323,35.5677
2002-07-01,63.054,36.946
2002-10-01,64.0892,35.9108
2003-01-01,64.4924,35.5076
2003-04-01,63.5369,36.4631
2003-07-01,63.4281,36.5719
2003-10-01,63.6562,36.3438
2004-01-01,64.8754,35.1246
2004-04-01,63.7252,36.2748
2004-07-01,64.0996,35.9004
2004-10-01,64.4414,35.5586
2005-01-01,64.8725,35.1275
2005-04-01,66.0922,33.9078
2005-07-01,66.5393,33.4607
2005-10-01,65.9208,34.0792
2006-01-01,67.2584,32.7416
2006-04-01,67.1832,32.8168
2006-07-01,65.8985,34.1015
2006-10-01,68.3012,31.6988
2007-01-01,66.4751,33.5249
2007-04-01,67.604,32.396
2007-07-01,66.8733,33.1267
2007-10-01,66.5956,33.4044
2008-01-01,65.6006,34.3994
2008-04-01,64.9366,35.0634
2008-07-01,62.9132,37.0868
2008-10-01,62.3007,37.6993
2009-01-01,60.786,39.214
2009-04-01,58.2744,41.7256
2009-07-01,56.7641,43.2359
2009-10-01,57.6904,42.3096
2010-01-01,58.6724,41.3276
2010-04-01,56.5743,43.4257
2010-07-01,58.809,41.191
2010-10-01,58.4289,41.5711
2011-01-01,60.1371,39.8629
2011-04-01,59.6796,40.3204
2011-07-01,60.6437,39.3563
2011-10-01,59.0722,40.9278
2012-01-01,59.4276,40.5724
2012-04-01,61.5909,38.4091
2012-07-01,62.2822,37.7178
2012-10-01,62.5089,37.4911
2013-01-01,61.6257,38.3743
2013-04-01,63.1616,36.8384
2013-07-01,63.489,36.511
2013-10-01,63.5523,36.4477
2014-01-01,63.9081,36.0919
2014-04-01,64.4506,35.5494
2014-07-01,65.3347,34.6653
2014-10-01,65.7522,34.2478
2015-01-01,68.47,31.53
2015-04-01,68.0884,31.9116
2015-07-01,68.8046,31.1954
2015-10-01,68.9516,31.0484
2016-01-01,71.1555,28.8445
2016-04-01,68.6006,31.3994
2016-07-01,69.1145,30.8855
2016-10-01,68.5898,31.4102
2017-01-01,69.5715,30.4285
2017-04-01,70.4543,29.5457
2017-07-01,70.2874,29.7126
2017-10-01,70.2132,29.7868
2018-01-01,71.5363,28.4637
2018-04-01,72.3487,27.6513
2018-07-01,72.7679,27.2321
2018-10-01,72.5499,27.4501
2019-01-01,72.0444,27.9556
2019-04-01,73.7646,26.2354
2019-07-01,73.5807,26.4193
2019-10-01,74.1907,25.8093
2020-01-01,72.8218,27.1782
2020-04-01,50.3055,49.6945
2020-07-01,50.1626,49.8374
2020-10-01,61.5831,38.4169
2021-01-01,63.2955,36.7045
2021-04-01,67.1739,32.8261
2021-07-01,68.4099,31.5901
2021-10-01,70.5011,29.4989
2022-01-01,70.7506,29.2494
2022-04-01,73.1531,26.8469
2022-07-01,72.8835,27.1165
2022-10-01,73.5444,26.4556
2023-01-01,74.5167,25.4833
2023-04-01,74.766,25.234
2023-07-01,73.0597,26.9403
2023-10-01,70.9487,29.0513
2024-01-01,73.5983,26.4017
2024-04-01,71.1249,28.8751
2024-07-01,69.7255,30.2745
2024-10-01,71.4837,28.5163
2025-01-01,70.6097,29.3903
2025-04-01,70.9284,29.0716
2025-07-01,71.2006,28.7994
