AGE,Child/Student,Disabled/Ill,Employed,Family,Retired,Unemployed/Discouraged/Other
-1,100.0,0.0,0.0,0.0,0.0,0.0
0,100.0,0.0,0.0,0.0,0.0,0.0
1,100.0,0.0,0.0,0.0,0.0,0.0
2,100.0,0.0,0.0,0.0,0.0,0.0
3,100.0,0.0,0.0,0.0,0.0,0.0
4,100.0,0.0,0.0,0.0,0.0,0.0
5,100.0,0.0,0.0,0.0,0.0,0.0
6,100.0,0.0,0.0,0.0,0.0,0.0
7,100.0,0.0,0.0,0.0,0.0,0.0
8,100.0,0.0,0.0,0.0,0.0,0.0
9,100.0,0.0,0.0,0.0,0.0,0.0
10,100.0,0.0,0.0,0.0,0.0,0.0
11,100.0,0.0,0.0,0.0,0.0,0.0
12,100.0,0.0,0.0,0.0,0.0,0.0
13,100.0,0.0,0.0,0.0,0.0,0.0
14,100.0,0.0,0.0,0.0,0.0,0.0
15,90.58886,0.6739123,6.2148447,0.30510113,0.0,2.2172768
16,79.14925,0.9621336,14.620419,0.7956963,0.00460446,4.4678984
17,63.694054,1.3092119,25.851202,1.6339623,0.08800289,7.423569
18,50.346237,1.5679486,35.69113,2.3512414,0.15344301,9.889999
19,35.89305,2.4220066,47.222973,3.2441516,0.19610962,11.02171
20,26.747492,2.64215,55.808743,3.454139,0.14110348,11.206372
21,21.094954,2.465195,62.35224,3.9393969,0.19249243,9.95572
22,15.750757,2.617323,67.342606,4.4634976,0.36152765,9.464279
23,11.111427,3.1411216,71.03268,5.426378,0.57659495,8.711799
24,7.75649,3.412176,73.98215,6.000419,0.61402935,8.234745
25,6.1500545,3.0030916,76.28627,5.838932,0.64641976,8.075235
26,4.2038074,2.9848366,78.572235,5.6698604,0.5095509,8.059714
27,3.6967144,2.8584383,78.94239,6.0857825,0.60135216,7.815329
28,3.102676,2.9375694,78.95357,7.0661836,0.57198685,7.3680243
29,2.1805303,3.0849793,78.79054,7.7742734,0.78325534,7.3864117
30,1.9247837,3.4808774,78.98395,7.932198,0.9165168,6.7616754
31,1.429432,3.8559158,78.682816,7.981997,1.0963281,6.9535074
32,1.2413346,3.5450838,79.46303,8.396942,1.2559032,6.097702
33,0.9315315,3.2457764,79.644516,8.855968,1.0858321,6.2363787
34,1.0100865,2.9256814,79.904854,8.922692,1.0823823,6.1542974
35,1.016615,2.9883206,79.97787,8.928937,0.9720274,6.116229
36,1.0650439,3.4712474,79.38601,8.905304,1.1483059,6.0240917
37,1.0652578,3.8604677,79.80193,9.144877,1.057636,5.0698266
38,1.0435088,4.070259,80.1706,8.87498,0.9534493,4.8871975
39,0.9561347,3.6648142,80.98103,8.396751,1.0365893,4.9646754
40,0.7656275,4.0052166,80.92045,7.8199015,1.013458,5.4753504
41,0.6150023,4.3555455,79.73981,8.272853,1.2973179,5.7194767
42,0.74512154,5.345323,79.29215,8.332049,1.1212635,5.1640944
43,0.70842224,4.997646,79.822556,8.613611,0.9903648,4.8674097
44,0.699127,5.3146305,80.793396,7.5454483,0.855023,4.792382
45,0.4781503,5.0971875,81.2371,7.502446,0.9439555,4.7411633
46,0.56398803,5.5789604,80.50797,7.144963,1.1788386,5.025278
47,0.49097413,5.6826344,80.57915,7.0416927,1.1330285,5.072514
48,0.5378307,5.770474,79.80444,7.254705,1.1603069,5.4722433
49,0.50172037,6.77851,79.07885,6.799413,1.8206509,5.0208545
50,0.45397142,6.690091,78.496796,6.856101,2.4530456,5.049989
51,0.39724126,6.983039,78.362915,6.054633,3.2357893,4.966384
52,0.33213124,7.671898,77.12915,6.4151316,3.8198657,4.6318274
53,0.30383503,8.978282,75.61515,6.258635,4.5402946,4.303807
54,0.28442642,9.903744,74.406586,6.0806246,5.3355594,3.9890661
55,0.18312098,9.921797,73.90412,5.756841,5.8230653,4.4110556
56,0.1853652,10.528022,71.74568,5.2772436,7.20222,5.061466
57,0.11082979,11.136707,69.60478,5.06934,8.7803755,5.2979627
58,0.08845972,11.254035,67.72908,4.9847703,10.669017,5.274638
59,0.13284537,11.448097,66.45217,4.778453,12.697244,4.491193
60,0.15690108,11.930325,63.424904,4.234133,16.069225,4.184511
61,0.14470488,12.514506,59.674465,3.4229615,20.433046,3.8103104
62,0.064418495,12.11026,55.023796,3.0943155,25.957218,3.7499917
63,0.07134955,11.081374,51.980347,2.5218618,30.93122,3.4138522
64,0.063151665,9.841445,47.41336,1.9439367,37.05559,3.682514
65,0.10382306,8.374254,42.140327,1.1972476,44.570553,3.613795
66,0.06960416,7.0253477,37.11212,1.1366183,50.913216,3.7430995
67,0.09102882,5.9271684,32.896347,1.2883545,56.385128,3.411972
68,0.079334125,5.4056983,29.782999,1.4765867,60.352154,2.903223
69,0.08321823,4.918225,25.821054,1.449199,64.820656,2.9076474
70,0.03361459,4.3688197,22.1589,1.1833065,69.58588,2.669481
71,0.0,4.0343823,19.271452,0.74145585,72.92913,3.0235703
72,0.015843121,3.8802013,17.613615,0.6196358,75.50982,2.3608894
73,0.058092374,3.4306521,16.74301,0.70458657,76.627304,2.4363608
74,0.061063513,3.221396,16.197474,0.8822274,77.38466,2.253172
75,0.048216853,3.2154837,14.128415,0.94604033,79.24664,2.4152105
76,0.0,3.4939275,12.409818,0.7936882,81.08721,2.2153542
77,0.0,3.8300076,11.269534,0.62790126,82.39419,1.8783737
78,0.0,3.0810704,11.196027,0.6084999,83.26716,1.8472478
79,0.07191336,2.966553,7.141097,0.63766927,87.74084,1.4419318
80,0.08162355,2.794008,6.4329567,0.6781585,88.59099,1.4222571
81,0.09323396,2.9853196,5.9736953,0.65174705,88.94438,1.3516197
