AGE,Student,Disabled/Ill,Employed,Family,Retired,Unemployed/Discouraged/Other
15,-1.1222153,0.084012985,0.6612077,-0.015606642,0.05410047,0.33849525
16,-1.5366135,-0.41273552,1.2915554,-0.10445854,0.09727283,0.6649766
17,-2.0410728,-0.65974796,1.9814014,-0.15848392,-0.01993993,0.89784336
18,-2.6540756,-0.30901635,2.5642815,-0.54321325,-0.1583379,1.1003599
19,-2.199623,0.5432637,1.2146912,-0.24093318,-0.22750254,0.9101057
20,-2.2126026,0.7425835,0.8423042,-0.12574911,-0.12771975,0.88118744
21,-1.203207,0.26452136,-1.1396751,0.3039968,0.049694598,1.7246714
22,-0.4238491,0.06051922,-1.3092728,-0.17012095,0.1231778,1.7195425
23,0.18334198,-0.26304102,-1.8743896,-0.46835327,0.024028897,2.398417
24,-0.8219862,-0.3722191,-0.056739807,-0.71558285,0.19938791,1.7671375
25,-0.8299246,-0.5889106,-0.35160828,-0.45687723,0.18724793,2.040073
26,-0.37350988,0.21614647,-0.06272888,-0.64192724,0.1290003,0.7330103
27,-0.28056383,0.3267784,0.058502197,-0.26631832,-0.11838341,0.27997923
28,-0.21712446,0.2464521,1.0130157,-0.78538275,-0.19915295,-0.0578022
29,-0.34876156,-0.25951672,0.818573,-0.9194727,-0.10841805,0.81760645
30,-0.061840773,-0.31804752,1.6975479,-1.7402554,-0.20125422,0.62385416
31,-0.17824543,-0.07900548,2.1781769,-1.8373871,0.07788086,-0.16142702
32,-0.19070089,0.05682254,2.407898,-1.7194285,0.090286076,-0.6448684
33,0.08567369,0.045147657,1.0067825,-1.0492783,0.13292539,-0.22124386
34,0.33901286,0.032245398,-0.42944336,-0.75694656,-0.032229066,0.8473644
35,0.27026463,0.273674,-1.060936,-0.52300453,-0.031983435,1.0719833
36,0.09091389,0.2848785,-0.30775452,-1.0694609,-0.08632481,1.0877595
37,-0.2225684,0.16210723,0.05357361,-0.77505016,-0.21093154,0.9928751
38,-0.10288203,-0.47855806,1.0493088,-0.6926975,-0.3384627,0.5633025
39,-0.034348965,-0.79890704,1.6321335,-0.27808714,-0.5382945,0.017503738
40,-0.0044164658,-1.4942935,3.1236496,-1.0260639,-0.4279853,-0.17089891
41,-0.096829474,-1.2244592,3.1342773,-1.7797327,-0.20964146,0.17638063
42,-0.3574782,-1.1056094,2.2491455,-1.6419315,0.23228753,0.6235833
43,-0.12667489,-0.53308773,0.94070435,-1.4649949,0.2682109,0.91584635
44,0.045959413,-0.53814316,-0.31756592,-0.5210695,0.13467401,1.1961489
45,-0.060287476,-0.54424953,0.11035919,-0.8150673,-0.09928727,1.4085343
46,-0.109728605,-0.7858758,0.5154114,-0.626698,0.054647326,0.9522464
47,-0.23604265,-1.0627937,0.8512955,-0.7827096,0.6705371,0.5597117
48,-0.10040316,-1.9284163,1.231514,-0.8111987,1.0258448,0.58266044
49,-0.13139579,-2.3319292,2.0189514,-0.96293354,0.9100603,0.49724865
50,-0.022482693,-2.198203,1.2779846,-0.88313437,1.034917,0.7909236
51,-0.058347106,-1.3600845,1.5405731,-0.6401653,0.561218,-0.04319334
52,-0.051712334,-0.6392846,-0.49176025,0.17419481,0.29498577,0.7135651
53,-0.13536903,-0.4722023,0.75619507,-0.044562817,-0.6479807,0.5439162
54,-0.08298212,-1.051712,1.1944504,-0.03992033,-0.61680984,0.5969758
55,-0.09248826,-1.9263849,2.0826874,0.4601965,-0.42136478,-0.102635145
56,-0.15060237,-2.8104858,2.391159,0.5071242,-0.40061522,0.463423
57,-0.051126137,-1.9104786,1.095932,0.3713975,-0.15028477,0.6445637
58,-0.123540476,-2.3282423,2.400444,-0.33921242,-0.9453249,1.3358786
59,-0.057752736,-1.9457245,1.676094,-0.055026293,-0.6525326,1.0349488
60,-0.12580167,-2.5932274,2.567566,-0.22450113,-1.0968657,1.4728329
61,-0.09707165,-1.7557297,1.5813293,-0.6934209,0.15452385,0.810364
62,-0.12653637,-1.901516,2.4795303,-0.6156573,-0.15487862,0.31906128
63,-0.12691851,-1.342206,1.6769485,-0.2515638,-0.1709404,0.21467566
64,-0.14721,-1.2547092,2.5623589,0.06436324,-1.5188942,0.2940879
65,-0.15280613,-0.7823696,2.530262,-0.115686536,-1.6187019,0.13931012
66,-0.13377813,-0.039601326,1.5268784,0.18903697,-0.9251785,-0.6173601
67,-0.08628828,0.61863184,0.0653038,0.39423,-0.31526566,-0.67661357
68,-0.1336138,1.3071733,-0.83143044,0.2668994,-0.59161377,-0.017421484
69,-0.10608306,0.63205576,0.1530323,-0.1905759,-0.7614136,0.27298975
70,-0.08609557,0.30798268,0.044137955,-0.4144169,-0.32193756,0.47034025
71,0.005051784,0.33230996,0.2793293,-0.35160667,-0.27156067,0.0064795017
72,0.009769864,0.15596652,0.22977638,-0.38998914,0.07435608,-0.07987523
73,0.0,0.43235326,-0.06967926,-0.13124388,-0.14328003,-0.08814192
74,0.0,0.022518396,0.6046562,-0.14724252,-0.4272766,-0.052658558
75,0.042771854,0.05711913,-0.10594463,0.031315267,-0.15676117,0.13151109
76,0.07366458,-0.45768046,-0.87839127,-0.49397933,1.9758987,-0.21951818
77,-0.042004436,-0.6409707,-1.9094315,-0.35071844,3.6367493,-0.69362295
78,-0.09624213,-1.5762441,-1.6612597,-0.43381155,4.5411453,-0.77358365
79,-0.08626122,-1.4034338,-1.0621128,-0.1976012,3.1351547,-0.3857522
80,-0.048325207,-1.5000455,-0.88748074,-0.24679881,2.9371338,-0.25448632
81,-0.05412783,-1.3479145,-1.1539083,-0.28520107,3.0320663,-0.19091237
