date,LA104104005.Q,LA144104005.Q,LA153165105.Q,LA153166000.Q,LA154104005.Q,LA214104005.Q,LA314104005.Q,LA384104005.Q,FL264090005.Q,FL104104005.Q,FL104190005.Q,FL114190005.Q,FL144104005.Q,FL144190005.Q,FL154104005.Q,FL154190005.Q,FL214104005.Q,FL214190005.Q,FL314104005.Q,FL314190005.Q,FL384104005.Q,FL384122005.Q,FL384123005.Q,FL384190005.Q,FL153165005.Q,FL153166000.Q,FL104122005.Q,FL104123005.Q,FL113165505.Q,Government,NCB
1989-01-01,1.31,1.6,1.24,0.29,1.46,0.1,0.87,4.03,2.08,1.32,3.62,0.47,1.61,4.09,1.55,1.59,0.13,0.37,0.86,0.87,4.15,1.52,2.63,6.91,1.36,0.29,0.73,0.59,0.33,0.97,0.28
1989-04-01,1.24,1.37,1.06,0.27,1.34,0.03,0.68,3.42,1.44,1.24,3.09,0.34,1.37,3.44,1.39,1.47,0.07,0.35,0.68,0.7,3.51,1.23,2.28,5.95,1.15,0.26,0.66,0.58,0.13,0.71,0.13
1989-07-01,1.22,1.28,1.23,0.3,1.5,0.09,0.79,3.66,1.73,1.24,2.62,0.31,1.3,2.94,1.54,1.64,0.13,0.57,0.78,0.87,3.74,1.25,2.5,6.02,1.32,0.28,0.62,0.61,0.08,0.87,0.06
1989-10-01,1.0,1.04,1.22,0.34,1.59,0.12,0.86,3.61,2.68,1.0,1.04,0.23,1.04,1.26,1.59,1.73,0.12,0.86,0.86,0.93,3.61,1.1,2.51,4.79,1.27,0.34,0.51,0.5,0.01,0.98,0.03
1990-01-01,0.83,0.75,1.55,0.07,1.72,0.19,0.96,3.62,1.8,0.86,0.04,0.03,0.78,0.08,1.69,1.82,0.18,0.91,0.96,0.94,3.61,0.92,2.69,3.74,1.56,0.07,0.46,0.4,-0.08,1.15,-0.08
1990-04-01,0.68,0.51,1.63,0.01,1.68,0.24,1.28,3.71,2.13,0.71,-0.24,-0.12,0.54,-0.37,1.64,1.75,0.25,0.99,1.29,1.26,3.73,1.19,2.53,3.63,1.63,-0.0,0.34,0.37,-0.1,1.52,-0.17
1990-07-01,0.48,0.12,1.3,-0.05,1.21,0.11,1.31,2.76,1.56,0.52,0.95,-0.43,0.17,0.53,1.18,1.27,0.12,1.18,1.32,1.2,2.79,0.96,1.83,4.18,1.3,-0.07,0.17,0.35,-0.21,1.43,-0.36
1990-10-01,0.06,-0.48,1.04,-0.23,0.81,-0.0,1.37,1.69,-0.24,0.06,0.3,-0.7,-0.48,-0.4,0.81,0.87,-0.0,0.7,1.37,1.16,1.69,0.7,0.99,2.34,1.07,-0.23,-0.03,0.1,-0.32,1.36,-0.54
1991-01-01,-0.34,-0.86,0.91,-0.2,0.71,0.02,1.46,1.33,0.31,-0.32,-0.39,-0.64,-0.85,-1.03,0.69,0.76,0.03,0.38,1.47,1.36,1.34,1.16,0.19,1.46,0.93,-0.2,0.03,-0.35,-0.24,1.48,-0.53
1991-04-01,-0.59,-1.05,0.96,-0.23,0.75,0.09,1.59,1.38,0.14,-0.57,0.16,-0.58,-1.03,-0.41,0.71,0.77,0.11,0.66,1.6,1.5,1.39,1.43,-0.04,2.52,0.99,-0.24,0.11,-0.67,-0.21,1.68,-0.46
1991-07-01,-0.81,-1.35,0.83,-0.3,0.73,0.31,1.95,1.64,0.2,-0.79,-0.87,-0.6,-1.33,-1.47,0.69,0.75,0.32,0.39,1.99,1.95,1.68,2.11,-0.43,1.63,0.86,-0.31,0.15,-0.94,-0.23,2.26,-0.54
1991-10-01,-1.06,-1.57,1.0,-0.25,1.02,0.58,2.13,2.16,1.74,-1.06,-1.01,-0.51,-1.57,-1.53,1.02,1.07,0.58,0.68,2.13,2.12,2.16,2.61,-0.45,2.35,1.06,-0.25,0.24,-1.3,-0.24,2.7,-0.5
1992-01-01,-0.85,-1.36,0.96,-0.25,0.93,0.45,2.35,2.37,2.83,-0.83,1.6,-0.5,-1.35,1.1,0.94,0.98,0.46,1.26,2.36,2.36,2.41,2.86,-0.46,5.7,1.02,-0.26,0.31,-1.14,-0.28,2.8,-0.51
1992-04-01,-0.86,-1.45,0.68,-0.25,0.71,0.35,2.43,2.04,2.88,-0.86,1.36,-0.53,-1.44,0.83,0.7,0.73,0.37,1.38,2.46,2.46,2.09,2.83,-0.74,5.4,0.73,-0.26,0.26,-1.11,-0.31,2.78,-0.58
1992-07-01,-0.63,-1.13,0.9,-0.18,0.89,0.25,2.34,2.34,2.96,-0.68,1.28,-0.43,-1.18,0.85,0.92,0.94,0.23,1.49,2.26,2.26,2.23,2.51,-0.29,5.54,0.97,-0.18,0.3,-0.98,-0.28,2.58,-0.5
1992-10-01,-0.41,-0.88,0.84,-0.1,0.81,-0.1,2.15,1.98,1.97,-0.41,1.5,-0.36,-0.88,1.14,0.81,0.83,-0.1,1.33,2.15,2.14,1.98,2.17,-0.19,5.44,0.88,-0.1,0.38,-0.79,-0.21,2.05,-0.47
1993-01-01,-0.25,-0.75,0.63,-0.05,0.73,0.04,1.86,1.87,0.78,-0.22,-0.31,-0.41,-0.72,-0.72,0.7,0.73,0.03,0.9,1.91,1.93,1.93,2.33,-0.4,2.84,0.66,-0.06,0.65,-0.86,-0.18,1.9,-0.51
1993-04-01,0.05,-0.41,0.79,0.05,0.9,0.15,1.82,2.46,0.68,0.1,0.15,-0.41,-0.37,-0.26,0.87,0.91,0.16,0.67,1.85,1.86,2.51,2.64,-0.12,3.18,0.82,0.04,0.93,-0.83,-0.18,1.97,-0.47
1993-07-01,0.35,-0.07,0.78,0.18,1.09,0.22,1.62,2.87,1.14,0.39,0.28,-0.38,-0.02,-0.09,1.06,1.1,0.18,0.37,1.63,1.67,2.85,2.71,0.14,3.05,0.82,0.17,1.19,-0.8,-0.18,1.84,-0.42
