date,value_index,value,hours,output,hours_index,output_index,business_ulc,manuf_ulc,nfbus_ulc
1988-01-01,56.533,1.5,0.4,1.9,76.947,43.5,66.831,85.609,66.478
1988-04-01,56.686,1.1,5.7,6.9,78.029,44.232,67.576,86.182,67.099
1988-07-01,56.806,0.8,1.1,1.9,78.239,44.444,68.252,87.303,67.786
1988-10-01,56.869,0.4,4.6,5.0,79.117,44.993,68.557,87.997,68.219
1989-01-01,56.967,0.7,4.1,4.8,79.91,45.522,68.633,87.942,68.293
1989-04-01,57.132,1.2,1.6,2.7,80.219,45.831,68.692,88.266,68.374
1989-07-01,57.398,1.9,0.9,2.8,80.403,46.15,68.989,89.686,68.667
1989-10-01,57.404,0.0,0.0,0.1,80.407,46.157,69.918,90.554,69.646
1990-01-01,57.936,3.8,1.2,5.1,80.657,46.73,70.67,89.811,70.319
1990-04-01,58.338,2.8,-1.7,1.0,80.31,46.851,71.556,90.977,71.191
1990-07-01,58.53,1.3,-2.1,-0.8,79.895,46.762,72.149,90.896,71.898
1990-10-01,57.921,-4.1,-1.7,-5.7,79.555,46.079,73.4,92.165,73.201
1991-01-01,58.1,1.2,-3.9,-2.7,78.777,45.769,73.638,93.386,73.401
1991-04-01,59.05,6.7,-2.5,4.0,78.278,46.223,73.819,93.727,73.61
1991-07-01,59.551,3.4,-0.4,3.0,78.194,46.565,74.158,93.152,73.857
1991-10-01,59.836,1.9,-0.7,1.2,78.055,46.705,74.732,93.548,74.493
1992-01-01,61.018,8.1,-2.3,5.6,77.597,47.348,75.052,94.119,74.951
1992-04-01,61.528,3.4,1.6,5.1,77.91,47.937,75.076,93.596,75.008
1992-07-01,62.086,3.7,0.6,4.3,78.033,48.448,75.237,93.275,75.188
1992-10-01,62.449,2.4,2.7,5.1,78.545,49.05,75.237,94.982,75.146
1993-01-01,61.915,-3.4,3.6,0.1,79.233,49.057,75.415,89.878,75.243
1993-04-01,61.553,-2.3,4.6,2.2,80.133,49.324,76.368,93.255,76.248
1993-07-01,61.829,1.8,2.4,4.2,80.604,49.837,76.481,93.948,75.94
1993-10-01,62.068,1.6,3.9,5.5,81.375,50.508,76.435,94.682,76.194
1994-01-01,62.239,1.1,2.5,3.7,81.888,50.966,75.726,91.51,75.544
1994-04-01,62.301,0.4,6.6,7.0,83.209,51.84,76.284,91.625,76.107
1994-07-01,61.946,-2.3,4.8,2.4,84.192,52.153,76.69,91.774,76.515
