date,value
1988-01-01,1
1988-04-01,0.996679
1988-07-01,0.988303
1988-10-01,0.977018
1989-01-01,0.960975
1989-04-01,0.950087
1989-07-01,0.953985
1989-10-01,0.965682
1990-01-01,0.957362
1990-04-01,0.951627
1990-07-01,0.952216
1990-10-01,0.962888
1991-01-01,0.968663
1991-04-01,0.965391
1991-07-01,0.955361
1991-10-01,0.951884
1992-01-01,0.943322
1992-04-01,0.929221
1992-07-01,0.915232
1992-10-01,0.908641
1993-01-01,0.896935
1993-04-01,0.891671
1993-07-01,0.884943
1993-10-01,0.876364
1994-01-01,0.863356
1994-04-01,0.850809
1994-07-01,0.840633
1994-10-01,0.828834
1995-01-01,0.820205
1995-04-01,0.822621
1995-07-01,0.825111
1995-10-01,0.825402
1996-01-01,0.823911
1996-04-01,0.817249
1996-07-01,0.813739
1996-10-01,0.813645
1997-01-01,0.814361
1997-04-01,0.80821
1997-07-01,0.805573
1997-10-01,0.810557
1998-01-01,0.816408
1998-04-01,0.821406
1998-07-01,0.819067
1998-10-01,0.827245
1999-01-01,0.832371
1999-04-01,0.833284
1999-07-01,0.828733
1999-10-01,0.824999
2000-01-01,0.830352
2000-04-01,0.82272
2000-07-01,0.824088
2000-10-01,0.830095
2001-01-01,0.849688
2001-04-01,0.859429
2001-07-01,0.876476
2001-10-01,0.894609
2002-01-01,0.899125
2002-04-01,0.897603
2002-07-01,0.904523
2002-10-01,0.919516
2003-01-01,0.923415
2003-04-01,0.931528
2003-07-01,0.927492
2003-10-01,0.912944
2004-01-01,0.905942
2004-04-01,0.913293
2004-07-01,0.906469
2004-10-01,0.904257
2005-01-01,0.89033
2005-04-01,0.88899
2005-07-01,0.882793
2005-10-01,0.884316
2006-01-01,0.877208
2006-04-01,0.879487
2006-07-01,0.879524
2006-10-01,0.885796
2007-01-01,0.88843
2007-04-01,0.8936
2007-07-01,0.890951
2007-10-01,0.894512
2008-01-01,0.914576
2008-04-01,0.920708
2008-07-01,0.922406
2008-10-01,0.975599
2009-01-01,1.02259
2009-04-01,1.03796
2009-07-01,1.02812
2009-10-01,1.02527
2010-01-01,1.02052
2010-04-01,1.0154
2010-07-01,1.0062
2010-10-01,1.01479
2011-01-01,1.02716
2011-04-01,1.03089
2011-07-01,1.06391
2011-10-01,1.07629
2012-01-01,1.08092
2012-04-01,1.08409
2012-07-01,1.09279
2012-10-01,1.11769
2013-01-01,1.11987
2013-04-01,1.1238
2013-07-01,1.12099
2013-10-01,1.1325
2014-01-01,1.14992
2014-04-01,1.14266
2014-07-01,1.13565
2014-10-01,1.1495
2015-01-01,1.16106
2015-04-01,1.1574
2015-07-01,1.16084
2015-10-01,1.18033
2016-01-01,1.19949
2016-04-01,1.20636
2016-07-01,1.21156
2016-10-01,1.2225
2017-01-01,1.22594
2017-04-01,1.23057
2017-07-01,1.22615
2017-10-01,1.22191
2018-01-01,1.21099
2018-04-01,1.20707
2018-07-01,1.20434
2018-10-01,1.20964
2019-01-01,1.21274
2019-04-01,1.21156
2019-07-01,1.21506
2019-10-01,1.23278
2020-01-01,1.27234
2020-04-01,1.56843
2020-07-01,1.50111
2020-10-01,1.52314
2021-01-01,1.53384
2021-04-01,1.54306
2021-07-01,1.54041
2021-10-01,1.53254
2022-01-01,1.53336
2022-04-01,1.50014
2022-07-01,1.46577
2022-10-01,1.43492
2023-01-01,1.39601
2023-04-01,1.35822
2023-07-01,1.32628
2023-10-01,1.31176
2024-01-01,1.3048
2024-04-01,1.29278
