date,44X72,454
1993-03-01,5.91969,9.80431
1993-04-01,6.1192,11.9945
1993-05-01,6.76363,12.2019
1993-06-01,7.44032,7.73992
1993-07-01,7.69138,5.63947
1993-08-01,7.67622,2.92477
1993-09-01,7.68632,5.73045
1993-10-01,7.39356,8.37153
1993-11-01,7.50869,12.0194
1993-12-01,7.63393,12.436
1994-01-01,7.14907,14.4435
1994-02-01,7.21923,14.0775
1994-03-01,8.38776,13.8419
1994-04-01,9.28583,13.6513
1994-05-01,8.87237,11.7299
1994-06-01,7.94538,13.6264
1994-07-01,7.53477,13.2962
1994-08-01,8.05,16.703
1994-09-01,8.18113,13.5533
1994-10-01,8.82507,13.0473
1994-11-01,8.67757,9.47318
1994-12-01,8.30275,10.2932
1995-01-01,8.21956,7.91649
1995-02-01,7.346,8.29219
1995-03-01,6.29639,6.25229
1995-04-01,4.97192,6.03727
1995-05-01,5.24694,6.1157
1995-06-01,5.87378,6.0405
1995-07-01,6.16297,6.00228
1995-08-01,5.8181,5.05971
1995-09-01,5.24067,6.62066
1995-10-01,4.42087,6.4683
1995-11-01,4.15161,9.05638
1995-12-01,4.20455,11.3149
1996-01-01,4.27975,13.213
1996-02-01,5.07538,13.1583
1996-03-01,5.73606,13.5126
1996-04-01,6.81999,15.0741
1996-05-01,6.71971,14.6054
1996-06-01,6.16271,13.6364
1996-07-01,5.75672,12.7096
1996-08-01,5.15826,11.7391
1996-09-01,5.41663,11.0158
1996-10-01,5.96666,11.9616
1996-11-01,6.34365,13.4496
1996-12-01,6.20759,13.771
1997-01-01,6.16221,12.2733
1997-02-01,6.30653,11.2073
1997-03-01,6.3822,9.99949
1997-04-01,5.56448,9.92467
1997-05-01,4.47718,10.1557
1997-06-01,4.10602,10.6782
1997-07-01,4.46894,11.6715
1997-08-01,5.44251,11.4656
1997-09-01,5.58231,10.5117
1997-10-01,4.99946,7.69888
1997-11-01,4.43381,5.21934
1997-12-01,4.13291,1.73863
1998-01-01,4.01864,1.34205
1998-02-01,3.51495,1.3166
1998-03-01,3.15524,3.29957
1998-04-01,3.63366,3.11663
1998-05-01,4.82287,4.25675
1998-06-01,5.70689,4.56599
1998-07-01,5.2886,5.75838
1998-08-01,4.20115,6.74253
1998-09-01,3.48921,7.27952
1998-10-01,4.0638,8.30868
1998-11-01,5.03963,8.03712
1998-12-01,6.06047,9.13855
1999-01-01,6.41615,10.0877
1999-02-01,6.97873,11.0947
1999-03-01,7.2803,11.7289
1999-04-01,7.41021,11.5649
1999-05-01,7.32711,11.8947
1999-06-01,7.11088,12.5496
1999-07-01,7.59589,11.7914
1999-08-01,8.47624,12.3724
1999-09-01,9.35908,13.5902
1999-10-01,9.19281,14.7082
1999-11-01,8.65038,14.5412
1999-12-01,8.62393,14.9738
2000-01-01,8.8351,16.5831
2000-02-01,9.01991,18.9148
2000-03-01,9.12636,19.0059
2000-04-01,8.71865,18.6391
2000-05-01,7.89279,17.0733
2000-06-01,6.97677,17.3102
2000-07-01,6.4898,17.6086
2000-08-01,5.93512,18.3022
2000-09-01,5.66025,18.4703
2000-10-01,5.61924,18.9951
2000-11-01,5.38589,20.0937
2000-12-01,4.04771,20.9958
2001-01-01,3.46592,18.437
2001-02-01,2.90156,13.6849
2001-03-01,2.32171,8.82297
2001-04-01,2.18043,6.76918
2001-05-01,2.59367,5.24328
2001-06-01,3.29211,2.75988
2001-07-01,2.93203,0.682165
2001-08-01,2.72883,-0.234448
2001-09-01,1.70218,-3.05699
2001-10-01,2.98178,-4.4219
2001-11-01,3.28249,-6.47314
2001-12-01,4.41484,-7.20484
2002-01-01,2.85354,-6.56814
2002-02-01,2.26631,-4.74298
2002-03-01,2.25173,-1.27963
2002-04-01,2.64558,0.451971
2002-05-01,2.30367,3.00451
2002-06-01,2.19043,4.67948
2002-07-01,2.53547,6.18577
2002-08-01,3.45737,5.46466
2002-09-01,4.11687,6.69276
2002-10-01,2.25744,6.56579
2002-11-01,1.43412,8.65185
2002-12-01,1.14928,9.56531
2003-01-01,3.09139,10.3109
2003-02-01,3.29852,10.924
2003-03-01,3.5097,10.2095
2003-04-01,2.91033,9.19517
2003-05-01,3.53596,6.86845
2003-06-01,3.54281,6.35729
2003-07-01,4.18089,6.55064
2003-08-01,4.56706,7.72037
2003-09-01,5.17091,9.11306
2003-10-01,5.50536,10.725
2003-11-01,5.72772,10.6962
2003-12-01,5.22883,9.24783
2004-01-01,5.05661,9.22448
2004-02-01,5.42313,9.46437
