date,INCAFTTX_4,ADJEXP_4,DI_SAVE_4
1989-01-01,19.1309,19.5792,-0.4483
1990-01-01,18.6946,18.8809,-0.1863
1991-01-01,19.1203,19.2982,-0.1779
1992-01-01,18.9051,20.0346,-1.1295
1993-01-01,19.1476,19.5047,-0.3571
1994-01-01,19.5564,20.4498,-0.8934
1995-01-01,19.1971,19.6327,-0.4356
1996-01-01,18.898,20.1482,-1.2502
1997-01-01,20.6867,21.223,-0.5363
1998-01-01,21.1291,20.9594,0.1697
1999-01-01,21.4818,21.7437,-0.2619
2000-01-01,21.7591,22.3422,-0.583
2001-01-01,23.2107,22.3826,0.8281
2002-01-01,24.0558,22.8408,1.215
2003-01-01,23.9197,21.9673,1.9524
2004-01-01,25.183,20.9298,4.2531
2005-01-01,25.929,22.3389,3.5901
2006-01-01,26.5778,23.0262,3.5517
2007-01-01,26.7305,23.0841,3.6464
2008-01-01,25.9343,21.6306,4.3038
2009-01-01,26.0455,21.8136,4.2319
2010-01-01,24.5967,20.6587,3.9381
2011-01-01,24.1892,20.7659,3.4232
2012-01-01,25.3535,21.4705,3.8829
2013-01-01,23.3196,20.9856,2.334
2014-01-01,23.5747,22.1825,1.3922
2015-01-01,24.6486,22.183,2.4655
2016-01-01,24.8576,22.7691,2.0885
2017-01-01,25.2804,23.7976,1.4828
2018-01-01,25.7133,23.6537,2.0596
2019-01-01,26.2966,24.1453,2.1513
2020-01-01,28.3939,23.1499,5.244
2021-01-01,28.6694,24.1031,4.5664
2022-01-01,29.1431,26.1746,2.9686
2023-01-01,28.3202,25.4884,2.8318
2024-01-01,28.9244,25.3105,3.6138
