BLSID,fullname,area_code,Apr 2023,Apr 2024,Apr 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Apr 2020,Mar 2026 3M,Apr 2026 3M,Mar 2026 12M,Apr 2026 12M,Change since 2019,labor_force,LFCH
LAUMT091486000000003,"Bridgeport, CT","Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA",2.5,2.5,3.2,5.3,5.7,4.9,4.9,7.2,1.3,0.6,0.7,1.1,1.6,493580.0,-1.7
LAUMT092554000000003,"Hartford, CT","Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",2.6,2.8,3.3,5.4,5.7,5.0,5.3,7.4,1.2,0.7,0.8,1.5,1.7,600080.0,-2.9
LAUMT092554000000003,"New Haven, CT","New Haven, CT Metropolitan NECTA",2.6,2.8,3.3,5.4,5.7,5.0,5.3,7.4,1.2,0.7,0.8,1.5,1.7,600080.0,-2.9
LAUMT093598000000003,"Norwich, CT","Norwich-New London-Westerly, CT-RI Metropolitan NECTA",2.6,2.7,3.1,5.4,5.6,4.9,5.0,11.6,1.3,0.6,0.7,1.3,1.4,138875.0,-5.1
LAUMT094793000000003,"Waterbury, CT","Waterbury, CT Metropolitan NECTA",3.1,3.1,3.8,6.3,6.6,5.9,5.8,8.3,1.5,0.8,0.9,1.3,1.8,229941.0,-4.6
LAUMT231262000000003,"Bangor, ME","Bangor, ME Metropolitan NECTA",2.6,3.1,3.8,4.1,3.9,3.5,3.6,9.1,0.4,-0.0,-0.7,-0.5,0.5,76271.0,0.4
LAUMT233034000000003,"Lewiston, ME","Lewiston-Auburn, ME Metropolitan NECTA",2.6,2.9,3.5,3.9,3.6,3.3,3.4,8.6,0.2,-0.2,-0.6,-0.4,0.6,55791.0,-0.7
LAUMT233886000000003,"Portland, ME","Portland-South Portland, ME Metropolitan NECTA",2.0,2.3,2.7,3.2,3.0,2.8,2.6,9.2,0.2,-0.2,-0.6,-0.6,0.2,314303.0,4.9
LAUMT251270000000003,"Barnstable Town, MA","Barnstable Town, MA Metropolitan NECTA",3.9,4.7,5.3,7.4,7.5,6.7,5.1,23.5,2.4,0.4,-0.9,-1.6,0.9,113138.0,4.4
LAUMT251446000000003,"Boston, MA","Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",2.5,3.1,3.7,4.8,4.6,4.1,3.8,16.3,0.2,-0.3,-0.2,-0.3,1.1,2802407.0,0.6
LAUMT253834000000003,"Pittsfield, MA","Pittsfield, MA Metropolitan NECTA",3.1,3.6,4.1,5.6,5.6,5.0,4.4,18.3,0.9,-0.1,0.0,-0.4,0.8,62746.0,-6.2
LAUMT254414000000003,"Springfield, MA","Springfield, MA-CT Metropolitan NECTA",3.6,4.3,4.9,6.3,6.2,5.6,5.0,19.2,0.6,-0.2,-0.2,-0.5,0.7,223879.0,-3.4
LAUMT254934000000003,"Worcester, MA","Worcester, MA-CT Metropolitan NECTA",2.9,3.5,4.1,5.3,5.2,4.7,4.2,16.6,0.4,-0.2,-0.2,-0.4,0.9,468134.0,1.8
LAUMT333170000000003,"Manchester, NH","Manchester, NH Metropolitan NECTA",2.1,2.4,3.3,4.1,3.8,3.4,3.2,15.9,0.4,-0.2,-0.4,-0.5,0.6,241134.0,-1.6
LAUMT443930000000003,"Providence, RI","Providence-Warwick, RI-MA Metropolitan NECTA",2.7,3.8,4.2,5.7,5.9,5.1,3.8,19.2,1.0,-0.1,-0.6,-1.1,0.1,879507.0,0.8
LAUMT501554000000003,"Burlington, VT","Burlington-South Burlington, VT Metropolitan NECTA",1.4,1.8,2.3,2.7,2.5,2.2,2.4,11.7,0.1,-0.1,-0.3,0.1,0.6,124833.0,-2.6
LAUMT481018000000003,"Abilene, TX","Abilene, TX Metropolitan Statistical Area",2.9,2.8,3.0,3.6,3.6,3.2,3.0,8.3,0.1,-0.1,-0.4,-0.3,0.0,89445.0,14.0
LAUMT391042000000003,"Akron, OH","Akron, OH Metropolitan Statistical Area",3.2,4.2,4.9,4.9,4.8,4.1,3.3,14.1,0.3,-0.4,-1.6,-2.2,-0.9,356390.0,-1.6
LAUMT131050000000003,"Albany, GA","Albany, GA Metropolitan Statistical Area",3.3,3.5,3.6,4.4,4.3,4.0,3.5,11.3,0.0,-0.4,-0.1,-0.5,-0.9,60870.0,-6.0
LAUMT411054000000003,"Albany, OR","Albany, OR Metropolitan Statistical Area",3.3,4.1,5.2,6.2,5.9,5.5,5.0,14.0,0.5,-0.1,-0.1,-0.7,0.7,61901.0,6.0
LAUMT361058000000003,"Albany, NY","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2.5,3.1,2.8,3.8,4.2,3.8,3.4,14.2,0.6,0.4,0.0,0.0,-0.1,465152.0,2.2
LAUMT351074000000003,"Albuquerque, NM","Albuquerque, NM Metropolitan Statistical Area",2.7,3.2,3.4,4.8,4.8,4.1,4.3,8.8,0.5,0.0,0.2,0.9,-0.3,449855.0,2.8
LAUMT221078000000003,"Alexandria, LA","Alexandria, LA Metropolitan Statistical Area",2.8,3.3,3.4,4.1,4.2,4.3,3.5,8.5,0.3,0.1,0.5,-0.4,-1.3,65530.0,1.3
LAUMT421090000000003,"Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",3.3,3.5,4.0,4.6,4.9,4.5,4.0,16.1,0.4,0.2,-0.2,-0.4,-0.4,463896.0,5.5
LAUMT421102000000003,"Altoona, PA","Altoona, PA Metropolitan Statistical Area",3.0,2.9,3.5,4.3,4.4,4.0,3.4,17.3,0.5,0.1,-0.5,-0.6,-1.2,57468.0,-0.9
LAUMT481110000000003,"Amarillo, TX","Amarillo, TX Metropolitan Statistical Area",2.8,2.7,2.7,3.3,3.7,3.4,3.2,8.4,0.4,0.3,0.1,0.1,0.6,139861.0,9.7
LAUMT191118000000003,"Ames, IA","Ames, IA Metropolitan Statistical Area",2.0,1.8,2.7,3.2,3.0,2.8,2.1,8.5,0.4,-0.1,-0.2,-0.8,0.0,70792.0,1.5
LAUMT251120000000003,"Amherst, MA","Amherst Town-Northampton, MA Metropolitan Statistical Area",2.3,3.0,3.7,4.9,4.8,4.1,3.8,13.7,0.2,-0.4,-0.2,-0.5,0.9,84251.0,-2.5
LAUMT021126000000003,"Anchorage, AK","Anchorage, AK Metropolitan Statistical Area",3.8,4.2,4.3,4.8,4.5,4.1,4.4,12.3,0.3,-0.2,-0.6,0.0,-0.6,204096.0,4.4
