date,ALL
2019-01-01,0.251
2019-02-01,0.007
2019-03-01,0.228
2019-04-01,0.296
2019-05-01,0.027
2019-06-01,0.22
2019-07-01,0.099
2019-08-01,0.232
2019-09-01,0.196
2019-10-01,0.095
2019-11-01,0.207
2019-12-01,0.127
2020-01-01,0.237
2020-02-01,0.262
2020-03-01,-1.398
2020-04-01,-20.469
2020-05-01,2.614
2020-06-01,4.631
2020-07-01,1.584
2020-08-01,1.566
2020-09-01,0.949
2020-10-01,0.69
2020-11-01,0.273
2020-12-01,-0.185
2021-01-01,0.315
2021-02-01,0.517
2021-03-01,0.852
2021-04-01,0.355
2021-05-01,0.478
2021-06-01,0.755
2021-07-01,0.942
2021-08-01,0.552
2021-09-01,0.457
2021-10-01,0.801
2021-11-01,0.658
2021-12-01,0.586
2022-01-01,0.19
2022-02-01,0.819
2022-03-01,0.49
2022-04-01,0.308
2022-05-01,0.301
2022-06-01,0.434
2022-07-01,0.714
2022-08-01,0.29
2022-09-01,0.22
2022-10-01,0.357
2022-11-01,0.303
2022-12-01,0.1
2023-01-01,0.434
2023-02-01,0.29
2023-03-01,0.068
2023-04-01,0.241
2023-05-01,0.28
2023-06-01,0.225
2023-07-01,0.163
2023-08-01,0.218
2023-09-01,0.156
2023-10-01,0.159
2023-11-01,0.127
2023-12-01,0.154
2024-01-01,0.175
2024-02-01,0.206
2024-03-01,0.228
2024-04-01,0.064
2024-05-01,0.078
2024-06-01,0.087
2024-07-01,0.053
2024-08-01,0.009
2024-09-01,0.155
2024-10-01,0.033
2024-11-01,0.134
2024-12-01,0.237
2025-01-01,-0.048
2025-02-01,0.042
2025-03-01,0.067
2025-04-01,0.108
2025-05-01,0.013
2025-06-01,-0.02
2025-07-01,0.064
2025-08-01,-0.07
2025-09-01,0.076
2025-10-01,-0.14
2025-11-01,0.041
2025-12-01,-0.017
2026-01-01,0.16
2026-02-01,-0.156
2026-03-01,0.185
2026-04-01,0.115
