date,ALL_S,FILL,NFP,label
2022-12-01,0.0549141,0,136,
2023-01-01,0.516713,0,482,Jan\\2023
2023-02-01,0.383878,0,287,
2023-03-01,0.0779413,0,146,
2023-04-01,0.426852,0,278,Apr
2023-05-01,0.109889,0,303,
2023-06-01,0.210308,0,240,
2023-07-01,0.20559,0,184,Jul
2023-08-01,0.511772,0,210,
2023-09-01,0.359584,0,246,
2023-10-01,0.0790789,0,165,Oct
2023-11-01,0.160309,0,182,
2023-12-01,0.233099,0,290,
2024-01-01,0.305433,0,256,Jan\\2024
2024-02-01,0.442062,0,236,
2024-03-01,0.378069,0,310,
2024-04-01,0.31291,0,108,Apr
2024-05-01,0.005747,0,218,
2024-06-01,,0,206,
