date,TOT
2013-01-01,83.0
2013-02-01,92.0
2013-03-01,90.0
2013-04-01,92.0
2013-05-01,97.0
2013-06-01,97.0
2013-07-01,90.0
2013-08-01,95.0
2013-09-01,95.0
2013-10-01,97.0
2013-11-01,103.0
2013-12-01,92.0
2014-01-01,91.0
2014-02-01,89.0
2014-03-01,95.0
2014-04-01,106.0
2014-05-01,107.0
2014-06-01,118.0
2014-07-01,119.0
2014-08-01,116.0
2014-09-01,124.0
2014-10-01,125.0
2014-11-01,130.0
2014-12-01,133.0
2015-01-01,126.0
2015-02-01,128.0
2015-03-01,112.0
2015-04-01,115.0
2015-05-01,123.0
2015-06-01,116.0
2015-07-01,121.0
2015-08-01,111.0
2015-09-01,104.0
2015-10-01,111.0
2015-11-01,111.0
2015-12-01,115.0
2016-01-01,103.0
2016-02-01,107.0
2016-03-01,108.0
2016-04-01,105.0
2016-05-01,90.0
2016-06-01,95.0
2016-07-01,108.0
2016-08-01,101.0
2016-09-01,106.0
2016-10-01,100.0
2016-11-01,95.0
2016-12-01,98.0
2017-01-01,101.0
2017-02-01,100.0
2017-03-01,94.0
2017-04-01,95.0
2017-05-01,92.0
2017-06-01,94.0
2017-07-01,95.0
2017-08-01,95.0
2017-09-01,81.0
2017-10-01,90.0
2017-11-01,94.0
2017-12-01,89.0
2018-01-01,79.0
2018-02-01,99.0
2018-03-01,98.0
2018-04-01,93.0
2018-05-01,101.0
2018-06-01,103.0
2018-07-01,98.0
2018-08-01,102.0
2018-09-01,92.0
2018-10-01,92.0
2018-11-01,87.0
2018-12-01,86.0
2019-01-01,98.0
2019-02-01,81.0
2019-03-01,79.0
2019-04-01,82.0
2019-05-01,75.0
2019-06-01,77.0
2019-07-01,80.0
2019-08-01,84.0
2019-09-01,88.0
2019-10-01,90.0
2019-11-01,98.0
2019-12-01,98.0
2020-01-01,106.0
2020-02-01,114.0
