date,A191RC
1989-01-01,5.511253
1989-04-01,5.612463
1989-07-01,5.695365
1989-10-01,5.747237
1990-01-01,5.872701
1990-04-01,5.960028
1990-07-01,6.015116
1990-10-01,6.004733
1991-01-01,6.035178
1991-04-01,6.126862
1991-07-01,6.205937
1991-10-01,6.26454
1992-01-01,6.363102
1992-04-01,6.470763
1992-07-01,6.566641
1992-10-01,6.680803
1993-01-01,6.729459
1993-04-01,6.808939
1993-07-01,6.882098
1993-10-01,7.013738
1994-01-01,7.115652
1994-04-01,7.246931
1994-07-01,7.331075
1994-10-01,7.455288
1995-01-01,7.522289
1995-04-01,7.580997
1995-07-01,7.683125
1995-10-01,7.772586
1996-01-01,7.868468
1996-04-01,8.03284
1996-07-01,8.131408
1996-10-01,8.259771
1997-01-01,8.362655
1997-04-01,8.518825
1997-07-01,8.662823
1997-10-01,8.765907
1998-01-01,8.86648
1998-04-01,8.969699
1998-07-01,9.121097
1998-10-01,9.293991
1999-01-01,9.411682
1999-04-01,9.52621
1999-07-01,9.686626
1999-10-01,9.900169
2000-01-01,10.002179
2000-04-01,10.24772
2000-07-01,10.318165
2000-10-01,10.435744
2001-01-01,10.470231
2001-04-01,10.599
2001-07-01,10.59802
2001-10-01,10.660465
2002-01-01,10.7835
2002-04-01,10.88746
2002-07-01,10.98404
2002-10-01,11.061433
2003-01-01,11.174129
2003-04-01,11.312766
2003-07-01,11.566669
2003-10-01,11.772234
2004-01-01,11.923447
2004-04-01,12.112815
2004-07-01,12.305307
2004-10-01,12.527214
2005-01-01,12.767286
2005-04-01,12.922656
2005-07-01,13.142642
2005-10-01,13.324204
2006-01-01,13.59916
2006-04-01,13.753424
2006-07-01,13.870188
2006-10-01,14.03956
2007-01-01,14.215651
2007-04-01,14.402082
2007-07-01,14.564117
2007-10-01,14.715058
2008-01-01,14.706538
2008-04-01,14.865701
2008-07-01,14.898999
2008-10-01,14.608209
2009-01-01,14.430902
2009-04-01,14.381236
2009-07-01,14.448882
2009-10-01,14.651249
2010-01-01,14.76461
2010-04-01,14.980193
2010-07-01,15.141607
2010-10-01,15.309474
2011-01-01,15.351448
2011-04-01,15.557539
2011-07-01,15.64768
2011-10-01,15.842259
2012-01-01,16.068805
2012-04-01,16.207115
2012-07-01,16.319541
2012-10-01,16.420419
2013-01-01,16.648189
2013-04-01,16.728687
2013-07-01,16.953838
2013-10-01,17.192019
2014-01-01,17.197738
2014-04-01,17.518508
2014-07-01,17.804228
2014-10-01,17.912079
2015-01-01,18.063529
2015-04-01,18.279784
2015-07-01,18.401626
2015-10-01,18.435137
2016-01-01,18.525933
2016-04-01,18.711702
2016-07-01,18.892639
2016-10-01,19.089379
2017-01-01,19.280084
2017-04-01,19.438643
2017-07-01,19.692595
2017-10-01,20.037088
2018-01-01,20.328553
2018-04-01,20.580912
2018-07-01,20.79873
2018-10-01,20.917867
2019-01-01,21.104133
2019-04-01,21.384775
2019-07-01,21.694282
2019-10-01,21.90239
2020-01-01,21.706513
2020-04-01,19.913143
2020-07-01,21.64764
2020-10-01,22.024502
2021-01-01,22.600185
2021-04-01,23.292362
2021-07-01,23.828973
2021-10-01,24.654603
2022-01-01,25.029116
2022-04-01,25.544273
2022-07-01,25.994639
2022-10-01,26.408405
2023-01-01,26.813601
2023-04-01,27.063012
2023-07-01,27.623543
