date,VALUE
1989-01-01,369.0
1989-02-01,373.0
1989-03-01,375.0
1989-04-01,376.0
1989-05-01,377.0
1989-06-01,375.0
1989-07-01,369.0
1989-08-01,364.0
1989-09-01,366.0
1989-10-01,365.0
1989-11-01,365.0
1989-12-01,365.0
1990-01-01,365.0
1990-02-01,365.0
1990-03-01,362.0
1990-04-01,362.0
1990-05-01,358.0
1990-06-01,353.0
1990-07-01,350.0
1990-08-01,344.0
1990-09-01,339.0
1990-10-01,335.0
1990-11-01,328.0
1990-12-01,321.0
1991-01-01,315.0
1991-02-01,314.0
1991-03-01,308.0
1991-04-01,302.0
1991-05-01,298.0
1991-06-01,295.0
1991-07-01,294.0
1991-08-01,291.0
1991-09-01,291.0
1991-10-01,289.0
1991-11-01,287.0
1991-12-01,284.0
1992-01-01,281.0
1992-02-01,269.0
1992-03-01,279.0
1992-04-01,274.0
1992-05-01,273.0
1992-06-01,273.0
1992-07-01,271.0
1992-08-01,269.0
1992-09-01,265.0
1992-10-01,264.0
1992-11-01,262.0
1992-12-01,265.0
1993-01-01,266.0
1993-02-01,267.0
1993-03-01,270.0
1993-04-01,272.0
1993-05-01,275.0
1993-06-01,275.0
1993-07-01,278.0
1993-08-01,286.0
1993-09-01,287.0
1993-10-01,290.0
1993-11-01,293.0
1993-12-01,293.0
1994-01-01,294.0
1994-02-01,295.0
1994-03-01,298.0
1994-04-01,297.0
1994-05-01,302.0
1994-06-01,315.0
1994-07-01,319.0
1994-08-01,323.0
1994-09-01,331.0
1994-10-01,330.0
1994-11-01,333.0
1994-12-01,336.0
1995-01-01,341.0
1995-02-01,346.0
1995-03-01,346.0
1995-04-01,348.0
1995-05-01,349.0
1995-06-01,348.0
1995-07-01,344.0
1995-08-01,350.0
1995-09-01,353.0
1995-10-01,359.0
1995-11-01,366.0
1995-12-01,370.0
1996-01-01,369.0
1996-02-01,355.0
1996-03-01,368.0
1996-04-01,368.0
1996-05-01,361.0
1996-06-01,355.0
1996-07-01,350.0
1996-08-01,342.0
1996-09-01,330.0
1996-10-01,328.0
