date,AVERAGE,MEDIAN
1989-01-01,394.931,322.944
1989-04-01,397.984,321.782
1989-07-01,400.677,319.57
1989-10-01,399.949,329.136
1990-01-01,387.767,321.953
1990-04-01,390.024,326.171
1990-07-01,368.448,295.446
1990-10-01,373.377,303.791
1991-01-01,372.868,296.699
1991-04-01,361.932,291.44
1991-07-01,355.198,293.061
1991-10-01,348.346,292.716
1992-01-01,347.272,285.951
1992-04-01,347.47,283.856
1992-07-01,334.981,284.408
1992-10-01,345.616,297.189
1993-01-01,337.346,288.864
1993-04-01,343.647,293.609
1993-07-01,340.523,291.297
1993-10-01,339.492,289.383
1994-01-01,345.737,293.734
1994-04-01,348.199,295.042
1994-07-01,340.219,288.733
1994-10-01,347.187,294.443
1995-01-01,339.113,289.089
1995-04-01,347.167,292.907
1995-07-01,342.603,287.491
1995-10-01,348.707,296.887
1996-01-01,344.536,292.403
1996-04-01,354.442,295.365
1996-07-01,349.527,296.419
1996-10-01,358.72,302.694
1997-01-01,358.761,303.311
1997-04-01,366.97,302.114
1997-07-01,361.453,301.064
1997-10-01,360.315,297.273
1998-01-01,369.36,313.131
1998-04-01,365.62,306.354
1998-07-01,372.964,312.364
1998-10-01,368.767,310.069
1999-01-01,380.088,317.236
1999-04-01,383.38,316.322
1999-07-01,382.993,316.081
1999-10-01,404.926,328.466
2000-01-01,394.807,320.742
2000-04-01,391.086,315.061
2000-07-01,391.62,325.19
2000-10-01,404.332,327.214
2001-01-01,398.158,320.143
2001-04-01,393.035,331.327
2001-07-01,387.234,321.671
2001-10-01,402.513,325.401
2002-01-01,424.627,350.448
2002-04-01,419.624,344.87
2002-07-01,402.234,326.994
2002-10-01,426.592,348.044
2003-01-01,421.409,335.927
2003-04-01,435.528,346.26
2003-07-01,447.407,344.447
2003-10-01,460.042,359.125
2004-01-01,469.152,380.647
2004-04-01,465.889,381.754
2004-07-01,480.451,375.939
2004-10-01,498.831,397.686
2005-01-01,498.364,398.888
2005-04-01,488.6,394.2
2005-07-01,498.379,400.15
2005-10-01,492.688,404.147
2006-01-01,506.52,409.881
2006-04-01,498.921,405.213
2006-07-01,504.605,386.692
2006-10-01,495.588,404.617
2007-01-01,525.967,418.277
2007-04-01,496.029,386.497
2007-07-01,480.1,385.415
2007-10-01,482.384,376.389
2008-01-01,457.127,370.054
2008-04-01,467.102,363.684
2008-07-01,432.55,345.994
2008-10-01,430.963,346.315
2009-01-01,399.778,326.408
2009-04-01,424.414,339.995
2009-07-01,421.546,328.259
2009-10-01,419.477,337.153
2010-01-01,424.785,340.094
2010-04-01,411.489,335.127
2010-07-01,402.658,339.083
2010-10-01,419.773,337.212
2011-01-01,400.341,340.959
2011-04-01,396.081,338.091
2011-07-01,384.824,326.733
2011-10-01,378.625,322.893
2012-01-01,400.963,341.592
2012-04-01,406.061,342.11
2012-07-01,426.792,359.162
2012-10-01,421.785,361.643
2013-01-01,440.52,370.788
2013-04-01,456.029,382.504
2013-07-01,456.659,373.683
2013-10-01,472.397,388.829
2014-01-01,469.89,387.558
2014-04-01,460.641,395.464
2014-07-01,475.891,388.735
2014-10-01,516.927,421.61
2015-01-01,493.428,408.975
2015-04-01,468.708,404.996
2015-07-01,485.254,412.161
2015-10-01,512.167,424.731
2016-01-01,496.561,419.632
2016-04-01,497.724,427.416
2016-07-01,494.841,419.702
2016-10-01,504.745,434.281
2017-01-01,507.368,426.354
2017-04-01,505.644,430.849
2017-07-01,506.394,437.581
2017-10-01,533.568,452.907
2018-01-01,499.985,442.678
2018-04-01,498.059,415.815
2018-07-01,510.41,430.122
2018-10-01,503.727,425.663
2019-01-01,490.459,411.198
2019-04-01,488.578,417.928
2019-07-01,492.382,411.362
2019-10-01,493.101,422.963
2020-01-01,492.415,425.061
2020-04-01,476.963,410.931
2020-07-01,506.965,416.213
2020-10-01,502.544,429.72
2021-01-01,524.651,442.497
2021-04-01,527.06,452.694
2021-07-01,565.102,481.215
2021-10-01,589.451,498.342
2022-01-01,576.974,482.91
2022-04-01,587.865,493.554
2022-07-01,581.677,490.213
2022-10-01,577.668,490.974
2023-01-01,555.92,472.76
2023-04-01,549.008,458.334
2023-07-01,561.834,471.34
2023-10-01,535.16,457.32
2024-01-01,557.996,460.573
2024-04-01,528.779,439.741
2024-07-01,526.903,442.754
2024-10-01,532.47,438.589
2025-01-01,531.464,437.853
2025-04-01,530.799,430.633
2025-07-01,519.029,422.159
2025-10-01,548.374,423.128
2026-01-01,522.439,413.577
2026-04-01,508.8,422.5
