date,DPCERG,DGDSRG,DDURRG,DNDGRG,DSERRG,DPCCRG,DFXARG,DNRGRG,DPCMRG,DPCXRG
1988-01-01,56.941,74.785,126.961,56.029,48.804,58.781,54.357,35.216,56.939,59.051
1988-02-01,57.024,74.653,126.917,55.885,48.984,58.902,54.292,35.145,57.035,59.191
1988-03-01,57.221,74.835,127.354,55.991,49.186,59.154,54.33,35.019,57.239,59.46
1988-04-01,57.499,75.233,127.555,56.405,49.41,59.441,54.586,35.2,57.508,59.737
1988-05-01,57.666,75.356,127.727,56.506,49.596,59.644,54.747,35.043,57.663,59.93
1988-06-01,57.912,75.577,128.06,56.682,49.852,59.896,54.99,35.207,57.896,60.166
1988-07-01,58.193,76.029,128.295,57.15,50.057,60.14,55.573,35.415,58.159,60.381
1988-08-01,58.366,76.122,128.56,57.193,50.263,60.289,55.804,35.691,58.31,60.501
1988-09-01,58.65,76.515,129.216,57.491,50.499,60.613,56.116,35.567,58.585,60.818
1988-10-01,58.841,76.668,129.514,57.596,50.705,60.843,56.183,35.533,58.794,61.077
1988-11-01,58.978,76.746,129.651,57.653,50.867,61.01,56.199,35.527,58.933,61.251
1988-12-01,59.162,76.939,129.777,57.847,51.047,61.212,56.423,35.48,59.146,61.492
1989-01-01,59.465,77.369,130.369,58.203,51.293,61.522,56.681,35.734,59.45,61.804
1989-02-01,59.663,77.603,130.498,58.444,51.474,61.678,57.137,35.97,59.688,62.004
1989-03-01,59.885,77.833,130.045,58.819,51.692,61.863,57.414,36.411,59.925,62.203
1989-04-01,60.284,78.718,130.34,59.778,51.875,62.07,57.799,38.42,60.347,62.413
1989-05-01,60.504,79.046,130.38,60.15,52.046,62.256,58.16,38.745,60.598,62.633
1989-06-01,60.637,79.087,130.509,60.167,52.218,62.42,58.344,38.518,60.748,62.825
1989-07-01,60.782,79.162,130.702,60.207,52.392,62.581,58.581,38.394,60.928,63.032
1989-08-01,60.789,78.846,130.652,59.849,52.543,62.669,58.644,37.631,60.956,63.158
1989-09-01,60.924,78.897,130.755,59.885,52.714,62.886,58.645,37.183,61.126,63.429
1989-10-01,61.162,79.235,131.014,60.217,52.906,63.114,58.881,37.478,61.39,63.689
1989-11-01,61.296,79.301,131.333,60.217,53.068,63.282,59.052,37.257,61.545,63.89
1989-12-01,61.473,79.353,131.048,60.344,53.299,63.462,59.257,37.359,61.728,64.078
1990-01-01,61.939,80.404,131.454,61.469,53.505,63.706,60.06,39.31,62.224,64.329
1990-02-01,62.212,80.89,132.077,61.883,53.683,64.016,60.576,38.93,62.516,64.667
1990-03-01,62.446,80.963,131.957,61.996,53.987,64.323,60.602,38.725,62.804,65.052
1990-04-01,62.577,80.955,131.912,61.998,54.177,64.515,60.35,38.728,62.936,65.254
1990-05-01,62.718,80.979,131.975,62.012,54.368,64.712,60.438,38.412,63.103,65.492
1990-06-01,62.995,81.244,131.64,62.398,54.648,64.963,60.942,38.615,63.381,65.741
1990-07-01,63.151,81.48,131.837,62.624,54.767,65.128,61.237,38.523,63.608,65.996
1990-08-01,63.571,82.153,131.856,63.394,55.075,65.398,61.454,40.428,64.058,66.284
1990-09-01,63.961,82.979,132.008,64.307,55.277,65.627,61.603,42.464,64.451,66.494
1990-10-01,64.327,83.69,132.394,65.032,55.494,65.85,61.813,44.244,64.854,66.742
1990-11-01,64.409,83.673,132.266,65.04,55.617,65.929,61.881,44.362,64.965,66.858
1990-12-01,64.469,83.718,131.84,65.185,55.684,66.021,61.766,44.332,65.057,66.994
1991-01-01,64.714,83.848,132.86,65.096,55.975,66.35,62.462,43.263,65.372,67.423
1991-02-01,64.747,83.656,133.543,64.723,56.101,66.533,62.789,41.601,65.426,67.653
1991-03-01,64.76,83.425,133.49,64.469,56.218,66.672,62.804,40.482,65.482,67.864
1991-04-01,64.878,83.66,133.747,64.677,56.285,66.805,63.11,40.244,65.636,68.045
1991-05-01,65.147,83.892,133.806,64.926,56.566,67.072,63.272,40.622,65.907,68.314
1991-06-01,65.257,83.871,133.345,65.006,56.729,67.216,63.546,40.234,66.015,68.462
1991-07-01,65.36,83.825,134.177,64.763,56.894,67.421,63.125,40.029,66.134,68.7
1991-08-01,65.511,83.952,133.936,64.962,57.054,67.606,62.951,40.23,66.282,68.886
1991-09-01,65.737,84.107,134.269,65.061,57.307,67.877,62.879,40.37,66.546,69.211
1991-10-01,65.86,84.109,134.511,65.009,57.478,68.026,62.853,40.407,66.693,69.395
1991-11-01,66.005,84.409,134.686,65.309,57.556,68.153,62.962,40.722,66.847,69.531
1991-12-01,66.17,84.406,134.051,65.451,57.789,68.321,62.975,41.018,67.014,69.702
1992-01-01,66.26,84.281,134.273,65.258,57.965,68.507,62.921,40.387,67.127,69.93
1992-02-01,66.428,84.404,134.522,65.342,58.149,68.693,63.176,40.257,67.308,70.137
1992-03-01,66.589,84.533,134.436,65.509,58.322,68.865,63.361,40.271,67.489,70.334
1992-04-01,66.769,84.609,134.701,65.535,58.541,69.091,63.266,40.324,67.659,70.554
1992-05-01,66.857,84.74,134.961,65.625,58.611,69.188,63.148,40.549,67.759,70.668
1992-06-01,66.976,84.942,134.667,65.925,58.695,69.242,63.426,41.066,67.886,70.721
1992-07-01,67.197,85.108,134.86,66.072,58.935,69.503,63.335,41.239,68.111,70.994
1992-08-01,67.287,85.238,134.961,66.198,59.007,69.567,63.776,41.153,68.183,71.032
1992-09-01,67.397,85.245,134.842,66.235,59.158,69.68,63.913,41.192,68.32,71.179
1992-10-01,67.635,85.342,135.104,66.285,59.451,69.948,63.837,41.474,68.573,71.47
1992-11-01,67.768,85.42,135.341,66.32,59.605,70.101,63.671,41.748,68.721,71.645
1992-12-01,67.886,85.451,134.85,66.474,59.757,70.231,63.695,41.846,68.825,71.759
1993-01-01,68.052,85.493,135.139,66.454,59.972,70.435,63.742,41.766,68.999,71.98
1993-02-01,68.154,85.63,134.995,66.649,60.059,70.57,63.914,41.489,69.066,72.074
1993-03-01,68.294,85.553,134.956,66.57,60.286,70.723,63.888,41.67,69.195,72.216
1993-04-01,68.475,85.7,135.667,66.569,60.479,70.929,64.005,41.676,69.357,72.402
1993-05-01,68.687,85.677,135.661,66.544,60.786,71.169,64.47,41.312,69.553,72.628
1993-06-01,68.711,85.521,135.899,66.304,60.884,71.237,64.345,41.092,69.555,72.675
1993-07-01,68.82,85.532,136.133,66.258,61.034,71.385,64.314,40.997,69.668,72.833
1993-08-01,68.938,85.621,136.311,66.319,61.161,71.518,64.44,40.943,69.783,72.965
1993-09-01,69.01,85.456,136.764,66.014,61.332,71.625,64.407,40.808,69.836,73.054
1993-10-01,69.227,85.942,137.26,66.458,61.435,71.744,64.74,41.766,70.061,73.166
1993-11-01,69.358,86.078,137.498,66.557,61.562,71.928,64.888,41.36,70.178,73.343
1993-12-01,69.374,85.962,137.154,66.508,61.633,71.96,65.027,41.097,70.183,73.362
1994-01-01,69.397,85.845,137.316,66.328,61.715,72.018,65.046,40.81,70.2,73.418
1994-02-01,69.558,85.888,137.562,66.317,61.923,72.173,64.918,41.301,70.365,73.578
1994-03-01,69.75,85.976,137.985,66.312,62.157,72.42,64.826,41.281,70.542,73.815
1994-04-01,69.832,86.063,138.028,66.404,62.237,72.528,64.948,41.068,70.635,73.94
1994-05-01,69.933,86.14,138.488,66.377,62.347,72.69,65.073,40.572,70.738,74.114
1994-06-01,70.104,86.405,138.811,66.607,62.477,72.851,65.36,40.691,70.906,74.269
1994-07-01,70.325,86.811,139.348,66.95,62.617,73.004,65.687,41.382,71.125,74.409
1994-08-01,70.486,87.077,139.428,67.243,62.732,73.086,65.821,42.299,71.276,74.465
1994-09-01,70.565,87.1,139.478,67.258,62.833,73.197,65.86,42.106,71.319,74.537
1994-10-01,70.684,87.038,139.528,67.171,63.029,73.369,65.712,42.015,71.422,74.697
1994-11-01,70.819,87.147,139.803,67.23,63.173,73.503,65.777,42.217,71.527,74.794
1994-12-01,70.865,87.135,139.635,67.259,63.244,73.528,66.08,42.167,71.564,74.805
1995-01-01,71.008,87.201,140.13,67.21,63.418,73.711,66.037,42.127,71.794,75.102
1995-02-01,71.134,87.207,140.116,67.221,63.593,73.831,66.345,42.084,71.91,75.21
1995-03-01,71.265,87.221,140.397,67.166,63.773,74.013,66.322,41.898,72.027,75.381
1995-04-01,71.453,87.432,140.457,67.399,63.949,74.184,66.824,41.865,72.227,75.565
1995-05-01,71.563,87.4,139.999,67.478,64.118,74.311,66.78,41.979,72.324,75.678
1995-06-01,71.633,87.334,139.728,67.471,64.244,74.375,66.819,42.124,72.378,75.722
1995-07-01,71.722,87.372,139.621,67.543,64.354,74.493,66.887,41.96,72.472,75.85
1995-08-01,71.877,87.451,139.735,67.608,64.54,74.671,66.985,41.939,72.618,76.021
1995-09-01,71.926,87.413,139.475,67.631,64.626,74.77,67.143,41.401,72.68,76.142
1995-10-01,72.113,87.508,139.432,67.756,64.85,74.952,67.324,41.615,72.858,76.314
1995-11-01,72.111,87.303,139.099,67.598,64.934,75.0,67.271,41.187,72.826,76.331
1995-12-01,72.249,87.487,139.369,67.747,65.052,75.105,67.387,41.652,72.942,76.404
1996-01-01,72.41,87.824,139.462,68.125,65.136,75.19,67.569,42.482,73.081,76.45
1996-02-01,72.524,87.922,139.311,68.281,65.256,75.288,67.826,42.586,73.209,76.562
1996-03-01,72.743,88.3,139.442,68.7,65.405,75.462,68.137,43.101,73.418,76.718
1996-04-01,72.961,88.548,138.937,69.136,65.607,75.565,68.403,44.337,73.645,76.813
1996-05-01,73.087,88.463,138.334,69.197,65.824,75.696,68.39,44.551,73.759,76.93
1996-06-01,73.086,88.198,138.187,68.918,65.936,75.754,68.798,43.542,73.741,76.978
1996-07-01,73.241,88.245,138.177,68.977,66.136,75.897,69.066,43.671,73.866,77.082
1996-08-01,73.31,88.136,138.131,68.858,66.283,75.962,69.309,43.585,73.901,77.103
1996-09-01,73.517,88.328,138.067,69.108,66.494,76.192,69.473,43.587,74.09,77.315
1996-10-01,73.74,88.553,138.029,69.391,66.714,76.373,69.803,44.086,74.289,77.46
1996-11-01,73.871,88.65,137.618,69.623,66.859,76.473,69.905,44.539,74.399,77.529
1996-12-01,73.956,88.682,136.934,69.851,66.967,76.503,69.917,45.255,74.47,77.532
1997-01-01,74.052,88.727,136.878,69.924,67.084,76.584,69.822,45.704,74.594,77.647
1997-02-01,74.208,88.812,137.049,69.981,67.268,76.741,70.078,45.718,74.715,77.762
1997-03-01,74.286,88.657,137.065,69.789,67.448,76.925,69.92,44.993,74.795,77.963
1997-04-01,74.359,88.506,136.028,69.896,67.618,77.075,69.982,44.303,74.852,78.106
1997-05-01,74.324,88.242,135.642,69.683,67.683,77.131,70.047,43.27,74.787,78.139
1997-06-01,74.42,88.009,135.359,69.478,67.92,77.245,70.128,43.19,74.885,78.259
1997-07-01,74.464,87.921,135.058,69.455,68.022,77.297,70.201,43.104,74.904,78.281
1997-08-01,74.524,87.99,134.696,69.645,68.078,77.267,70.359,43.961,74.969,78.243
1997-09-01,74.704,88.101,134.548,69.824,68.288,77.427,70.395,44.48,75.149,78.401
1997-10-01,74.801,88.091,134.516,69.822,68.431,77.545,70.438,44.414,75.182,78.442
1997-11-01,74.804,87.856,133.913,69.708,68.54,77.568,70.5,44.15,75.165,78.443
1997-12-01,74.788,87.712,133.619,69.616,68.582,77.613,70.471,43.55,75.161,78.513
1998-01-01,74.825,87.536,133.354,69.477,68.712,77.732,70.76,42.48,75.182,78.624
1998-02-01,74.787,87.221,132.933,69.209,68.796,77.798,70.627,41.466,75.144,78.708
1998-03-01,74.799,86.855,132.805,68.79,68.974,77.881,70.733,40.663,75.148,78.791
1998-04-01,74.891,86.894,132.872,68.816,69.09,78.024,70.81,40.239,75.202,78.895
1998-05-01,74.994,86.895,131.882,69.116,69.239,78.1,70.899,40.622,75.303,78.965
1998-06-01,74.931,86.782,131.361,69.133,69.198,78.002,70.942,40.795,75.231,78.851
1998-07-01,75.116,86.917,131.45,69.277,69.404,78.222,71.041,40.703,75.421,79.082
1998-08-01,75.22,86.893,131.006,69.384,69.565,78.375,71.247,40.188,75.527,79.245
1998-09-01,75.176,86.688,130.631,69.24,69.595,78.361,71.174,39.869,75.474,79.225
1998-10-01,75.341,86.767,130.437,69.403,69.798,78.514,71.502,39.968,75.646,79.384
1998-11-01,75.345,86.621,130.121,69.315,69.87,78.528,71.606,39.75,75.645,79.394
1998-12-01,75.42,86.645,129.605,69.512,69.97,78.663,71.584,39.282,75.72,79.537
1999-01-01,75.527,86.825,129.448,69.792,70.042,78.776,71.863,39.122,75.842,79.67
1999-02-01,75.484,86.531,128.958,69.571,70.116,78.749,71.904,38.83,75.811,79.659
1999-03-01,75.541,86.415,128.478,69.576,70.252,78.773,71.813,39.393,75.885,79.699
1999-04-01,75.906,87.328,128.64,70.7,70.363,78.975,71.965,41.682,76.264,79.893
1999-05-01,75.955,87.181,128.318,70.614,70.504,79.051,72.095,41.359,76.295,79.95
1999-06-01,75.979,87.128,127.999,70.65,70.562,79.092,72.1,41.207,76.304,79.977
1999-07-01,76.181,87.394,127.924,71.02,70.735,79.235,72.181,42.15,76.474,80.071
1999-08-01,76.319,87.578,127.719,71.328,70.851,79.273,72.289,43.357,76.579,80.054
1999-09-01,76.593,87.964,127.541,71.892,71.072,79.483,72.501,44.364,76.833,80.23
1999-10-01,76.723,87.961,127.306,71.966,71.264,79.619,72.557,44.505,76.937,80.334
1999-11-01,76.792,87.814,127.018,71.87,71.432,79.695,72.76,44.318,77.003,80.41
1999-12-01,76.97,88.064,126.582,72.339,71.577,79.796,72.864,45.428,77.184,80.501
2000-01-01,77.18,88.174,126.531,72.498,71.832,79.987,72.929,45.964,77.409,80.708
2000-02-01,77.422,88.476,126.18,73.025,72.046,80.106,73.138,47.637,77.67,80.829
2000-03-01,77.755,89.243,126.425,73.959,72.174,80.27,73.341,50.068,78.006,80.971
2000-04-01,77.69,88.969,126.234,73.66,72.207,80.323,73.381,48.516,77.895,80.987
2000-05-01,77.755,88.875,126.247,73.531,72.346,80.409,73.747,47.995,77.928,81.038
2000-06-01,78.019,89.284,125.853,74.205,72.542,80.47,73.785,50.786,78.162,81.03
2000-07-01,78.214,89.366,125.622,74.394,72.789,80.654,74.169,50.881,78.399,81.264
2000-08-01,78.209,88.94,125.105,74.013,72.979,80.757,74.409,49.393,78.39,81.378
2000-09-01,78.545,89.532,125.291,74.733,73.196,80.953,74.421,51.662,78.717,81.541
2000-10-01,78.652,89.328,125.055,74.546,73.447,81.067,74.452,51.773,78.84,81.675
2000-11-01,78.762,89.422,125.085,74.662,73.564,81.21,74.507,51.58,78.929,81.798
2000-12-01,78.883,89.381,124.973,74.65,73.76,81.289,74.922,51.857,79.009,81.821
2001-01-01,79.265,89.482,124.887,74.816,74.272,81.592,74.981,53.48,79.35,82.062
2001-02-01,79.388,89.463,124.47,74.941,74.461,81.736,75.435,53.005,79.465,82.2
2001-03-01,79.395,89.169,124.073,74.694,74.608,81.821,75.561,52.004,79.476,82.302
