date,total assets,net worth ,total liabilities,total assets.1,net worth .1,total liabilities.1,"gross saving less net capital transfers paid including consumer durables, government insurance and pension fund reserves, and contributions for ",net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves ,net saving less net capital transfers paid including consumer durables and government insurance and pension fund reserves ,net saving less net capital transfers paid excluding consumer durables and government insurance and pension fund reserves ,personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves ,disposable personal income ,"disposable income, net",holding gains on assets at market value,holding gains on assets at current cost,holding gains on assets at market value.1,holding gains on assets at current cost.1
1988-01-01,21790818.0,18885796.0,2905022.0,876129.0,613617.0,262512.0,835299.0,302995.0,401203.0,292411.0,302994.0,3658509.0,3534891.0,16447881.0,1761240.0,445156.0,116150.0
1988-04-01,22314750.0,19324225.0,2990525.0,917730.0,624038.0,293692.0,857968.0,319567.0,416822.0,309183.0,319566.0,3737002.0,3611283.0,16900872.0,1802383.0,619086.0,112108.0
1988-07-01,22717239.0,19645957.0,3071282.0,871964.0,578336.0,293628.0,863766.0,330006.0,413073.0,318304.0,330005.0,3819629.0,3691905.0,17218334.0,1843771.0,607518.0,101081.0
1988-10-01,23296994.0,20151447.0,3145547.0,833138.0,574926.0,258212.0,881874.0,329384.0,421294.0,317598.0,329383.0,3894692.0,3763923.0,17675832.0,1888421.0,525299.0,108104.0
1989-01-01,23773784.0,20584129.0,3189654.0,558027.0,325619.0,232408.0,911257.0,358043.0,443428.0,346494.0,358042.0,3984353.0,3848215.0,18076423.0,1926243.0,315773.0,104438.0
1989-04-01,24283824.0,21006269.0,3277555.0,831352.0,517441.0,313911.0,896124.0,332270.0,419032.0,319683.0,332269.0,4026198.0,3886037.0,18523657.0,1956158.0,484369.0,104277.0
1989-07-01,24910200.0,21548825.0,3361375.0,729619.0,426821.0,302798.0,904342.0,325194.0,419657.0,318007.0,325194.0,4076921.0,3934593.0,19057242.0,1990575.0,391615.0,110795.0
1989-10-01,25393424.0,21949087.0,3444337.0,897591.0,521591.0,376000.0,911086.0,344399.0,418179.0,332574.0,344400.0,4143873.0,3998091.0,19426777.0,2022176.0,584563.0,90947.0
1990-01-01,25590008.0,22077990.0,3512018.0,814280.0,547929.0,266351.0,939817.0,351873.0,440956.0,338274.0,351872.0,4236338.0,4089821.0,19542096.0,2065784.0,590946.0,110823.0
1990-04-01,25900813.0,22316203.0,3584610.0,970279.0,713083.0,257197.0,944145.0,373975.0,435624.0,355245.0,373975.0,4304602.0,4157396.0,19827905.0,2093096.0,763642.0,86682.0
1990-07-01,25796166.0,22148404.0,3647762.0,883478.0,666460.0,217018.0,929159.0,360699.0,414140.0,345133.0,360699.0,4357787.0,4207399.0,19646470.0,2119153.0,637385.0,77817.0
1990-10-01,26303071.0,22589149.0,3713922.0,806311.0,585192.0,221119.0,919160.0,357930.0,398041.0,342805.0,357930.0,4377750.0,4225839.0,20074033.0,2144340.0,641613.0,61654.0
1991-01-01,26920044.0,23180450.0,3739594.0,773714.0,542859.0,230856.0,934393.0,383438.0,406841.0,367911.0,383438.0,4411695.0,4257000.0,20575431.0,2175642.0,462898.0,46786.0
1991-04-01,27031539.0,23226772.0,3804767.0,713659.0,481958.0,231701.0,943720.0,384940.0,409251.0,369975.0,384941.0,4468169.0,4311872.0,20740933.0,2193273.0,838421.0,44859.0
1991-07-01,27348960.0,23502213.0,3846747.0,654196.0,523489.0,130707.0,951305.0,386344.0,412453.0,369863.0,386344.0,4516830.0,4359613.0,21043946.0,2214768.0,620732.0,50898.0
1991-10-01,28018339.0,24087960.0,3930379.0,864591.0,606429.0,258163.0,996740.0,429134.0,452808.0,418299.0,429134.0,4587353.0,4429166.0,21655609.0,2230366.0,726781.0,41219.0
1992-01-01,28127855.0,24177574.0,3950281.0,965919.0,756058.0,209861.0,1031991.0,453817.0,485392.0,438076.0,453816.0,4708927.0,4554218.0,21861194.0,2247002.0,958723.0,56783.0
1992-04-01,28257825.0,24263847.0,3993978.0,710104.0,558135.0,151969.0,1065020.0,476004.0,513779.0,461043.0,476005.0,4787216.0,4631664.0,21997794.0,2269834.0,686924.0,58821.0
1992-07-01,28677528.0,24616121.0,4061407.0,1091983.0,878982.0,213001.0,1090601.0,452116.0,533135.0,476543.0,452116.0,4840071.0,4679087.0,22403140.0,2290305.0,1022605.0,64478.0
1992-10-01,29348171.0,25213966.0,4134205.0,718498.0,478025.0,240473.0,1045676.0,433547.0,482093.0,417102.0,433547.0,4896050.0,4740752.0,23031743.0,2313966.0,655576.0,70112.0
1993-01-01,29685113.0,25543274.0,4141838.0,537967.0,362997.0,174971.0,1055170.0,435356.0,479074.0,422678.0,435356.0,4943686.0,4784871.0,23396595.0,2327970.0,728207.0,62154.0
1993-04-01,30016935.0,25807213.0,4209721.0,807069.0,557027.0,250042.0,1051774.0,414334.0,470262.0,397025.0,414334.0,4992314.0,4832915.0,23694934.0,2358942.0,675394.0,77955.0
1993-07-01,30499239.0,26203031.0,4296208.0,1057641.0,766931.0,290710.0,1018475.0,372270.0,428391.0,355182.0,372268.0,5018395.0,4859459.0,24140741.0,2389364.0,858099.0,80078.0
1993-10-01,31025038.0,26635149.0,4389889.0,706214.0,408665.0,297549.0,1034205.0,368723.0,435681.0,349580.0,368722.0,5082375.0,4921374.0,24625887.0,2427326.0,682148.0,89742.0
1994-01-01,31213270.0,26791491.0,4421779.0,992074.0,701277.0,290798.0,1039363.0,350380.0,431726.0,349047.0,350380.0,5134268.0,4971603.0,24793030.0,2452629.0,1030716.0,89710.0
1994-04-01,31481299.0,26974509.0,4506790.0,999111.0,684275.0,314835.0,1046139.0,364769.0,431157.0,343464.0,364769.0,5214910.0,5047932.0,25071715.0,2487498.0,1029117.0,93575.0
1994-07-01,31927384.0,27331891.0,4595493.0,944505.0,656185.0,288320.0,1051967.0,357234.0,427722.0,337599.0,357234.0,5282991.0,5109995.0,25458574.0,2525734.0,651235.0,96105.0
1994-10-01,32260667.0,27545193.0,4715474.0,770679.0,362293.0,408386.0,1102045.0,381162.0,467802.0,361571.0,381162.0,5383972.0,5207875.0,25738305.0,2554656.0,640247.0,109311.0
1995-01-01,32857346.0,28112028.0,4745319.0,658714.0,357421.0,301294.0,1125136.0,414042.0,483242.0,394721.0,414041.0,5456604.0,5276478.0,26234733.0,2593051.0,377496.0,94288.0
1995-04-01,33506911.0,28669773.0,4837138.0,1010421.0,674768.0,335653.0,1101701.0,379864.0,449934.0,360809.0,379865.0,5503922.0,5313473.0,26785720.0,2618026.0,540195.0,91669.0
1995-07-01,34262473.0,29312003.0,4950471.0,1053457.0,672268.0,381190.0,1117321.0,381620.0,458393.0,361016.0,381619.0,5577048.0,5380282.0,27504019.0,2640001.0,752955.0,100741.0
1995-10-01,35074459.0,30029490.0,5044969.0,883492.0,583656.0,299836.0,1124593.0,372699.0,459280.0,356050.0,372699.0,5634300.0,5428354.0,28222318.0,2664552.0,683490.0,105254.0
1996-01-01,35752720.0,30636858.0,5115862.0,1164003.0,719776.0,444227.0,1133828.0,381489.0,462819.0,359934.0,381490.0,5719234.0,5512104.0,28740775.0,2698576.0,598917.0,106901.0
1996-04-01,36285155.0,31068919.0,5216237.0,1015869.0,646073.0,369795.0,1148176.0,377798.0,468208.0,354830.0,377799.0,5810282.0,5598297.0,29269518.0,2715518.0,805315.0,115299.0
1996-07-01,36684216.0,31369572.0,5314644.0,902784.0,612907.0,289876.0,1161352.0,390361.0,475531.0,366226.0,390360.0,5882311.0,5664866.0,29593579.0,2742999.0,509585.0,115342.0
1996-10-01,37585500.0,32171275.0,5414225.0,858874.0,535758.0,323115.0,1165066.0,379428.0,471315.0,355646.0,379428.0,5953959.0,5732191.0,30388367.0,2766667.0,613372.0,119616.0
1997-01-01,37958273.0,32502167.0,5456106.0,530396.0,172416.0,357980.0,1177955.0,379133.0,478804.0,353454.0,379130.0,6037244.0,5812238.0,30685745.0,2797470.0,282701.0,131750.0
1997-04-01,39432672.0,33880281.0,5552391.0,1072525.0,735429.0,337096.0,1195787.0,403580.0,487608.0,377256.0,403581.0,6106041.0,5874847.0,32114069.0,2809359.0,599255.0,118340.0
1997-07-01,40675625.0,35002340.0,5673286.0,1145384.0,746446.0,398938.0,1194418.0,378375.0,480720.0,350860.0,378376.0,6194206.0,5957554.0,33266555.0,2834393.0,693498.0,141145.0
1997-10-01,41317758.0,35548160.0,5769597.0,729478.0,402004.0,327474.0,1232954.0,400031.0,511024.0,371653.0,400030.0,6305190.0,6063641.0,33792865.0,2863386.0,410826.0,149614.0
