date,total assets,net worth ,total liabilities,net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves ,net saving less net capital transfers paid including consumer durables and government insurance and pension fund reserves ,net saving less net capital transfers paid excluding consumer durables and government insurance and pension fund reserves ,personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves ,holding gains on assets at market value,net worth .1,total assets.1,net worth .2,total liabilities.1,holding gains on assets at market value.1,total assets.2,net worth .3,total liabilities.2,holding gains on assets at market value.2,changes in net worth due to nominal holding gains/losses excluding disaster-related losses on residential structures,total assets.3,net worth .4,total liabilities.3,net saving including net capital transfers paid excluding consumer durables and government insurance and pension fund reserves .1,net saving less net capital transfers paid including consumer durables and government insurance and pension fund reserves .1,net saving less net capital transfers paid excluding consumer durables and government insurance and pension fund reserves .1,personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves .1,holding gains on assets at market value.3,other volume changes,other volume changes
1988-01-01,876129.0,613617.0,262512.0,302995.0,401203.0,292411.0,302994.0,445156.0,509647.0,21790818.0,18885796.0,2905022.0,16447881.0,328820.0,328820.0,0.0,327261.0,327986.0,207614.0,173578.0,34036.0,77113.0,106664.0,74467.0,79499.0,109146.0,7217.0,7218.0
1988-04-01,917730.0,624038.0,293692.0,319567.0,416822.0,309183.0,319566.0,619086.0,438430.0,22314750.0,19324225.0,2990525.0,16900872.0,330141.0,330141.0,0.0,316182.0,329298.0,193752.0,108249.0,85503.0,80107.0,97659.0,77511.0,79941.0,136770.0,-4033.0,-4032.0
1988-07-01,871964.0,578336.0,293628.0,330006.0,413073.0,318304.0,330005.0,607518.0,321731.0,22717239.0,19645957.0,3071282.0,17218334.0,167740.0,167740.0,0.0,150764.0,166882.0,227109.0,143902.0,83207.0,82043.0,102975.0,79118.0,80724.0,159058.0,9930.0,9930.0
1988-10-01,833138.0,574926.0,258212.0,329384.0,421294.0,317598.0,329383.0,525299.0,505491.0,23296994.0,20151447.0,3145547.0,17675832.0,292210.0,292210.0,0.0,273670.0,291294.0,246265.0,172000.0,74265.0,81226.0,105800.0,78279.0,80323.0,144291.0,41175.0,41176.0
1989-01-01,558027.0,325619.0,232408.0,358043.0,443428.0,346494.0,358042.0,315773.0,432682.0,23773784.0,20584129.0,3189654.0,18076423.0,270021.0,270021.0,0.0,257413.0,269125.0,141783.0,108069.0,33714.0,90897.0,114364.0,88010.0,91083.0,78193.0,54218.0,54218.0
1989-04-01,831352.0,517441.0,313911.0,332270.0,419032.0,319683.0,332269.0,484369.0,422139.0,24283824.0,21006269.0,3277555.0,18523657.0,321208.0,321208.0,-0.0,316432.0,320278.0,161689.0,73788.0,87901.0,83844.0,97401.0,80697.0,82924.0,103659.0,26674.0,26674.0
1989-07-01,729619.0,426821.0,302798.0,325194.0,419657.0,318007.0,325194.0,391615.0,542556.0,24910200.0,21548825.0,3361375.0,19057242.0,413451.0,413451.0,0.0,405765.0,412483.0,188598.0,104778.0,83820.0,80228.0,105960.0,78431.0,80266.0,103493.0,23937.0,25795.0
1989-10-01,897591.0,521591.0,376000.0,344399.0,418179.0,332574.0,344400.0,584563.0,400262.0,25393424.0,21949087.0,3444337.0,19426777.0,225750.0,225750.0,-0.0,215403.0,224267.0,262077.0,161233.0,100844.0,85008.0,107350.0,82052.0,85703.0,158735.0,13659.0,15059.0
1990-01-01,814280.0,547929.0,266351.0,351873.0,440956.0,338274.0,351872.0,590946.0,128903.0,25590008.0,22077990.0,3512018.0,19542096.0,-42912.0,-42912.0,-0.0,-59846.0,-43944.0,226375.0,187859.0,38516.0,88701.0,115144.0,85302.0,89952.0,162044.0,-19331.0,-19330.0
1990-04-01,970279.0,713083.0,257197.0,373975.0,435624.0,355245.0,373975.0,763642.0,238213.0,25900813.0,22316203.0,3584610.0,19827905.0,117840.0,117840.0,0.0,111133.0,116774.0,184249.0,111658.0,72592.0,94358.0,101518.0,89675.0,93605.0,165961.0,8735.0,8735.0
