name;FT;PT
Personal care \& service ;-0.54535246;-0.22676899
Office \& administrative support ;-0.7796072;0.09397073
Food preparation \& serving related ;-0.5657457;-0.10221684
Sales \& related ;-0.5074024;0.015265774
Production ;-0.4445782;0.10022409
Building \& grounds cleaning \& maintenance;-0.26291898;-0.010492047
Construction \& extraction ;-0.36940593;0.19904813
Management ;-0.47265887;0.31129047
Education, training, \& library ;-0.24164683;0.08961363
Arts, design, entertainment, sports, \& media;-0.1580432;0.035726767
Installation, maintenance, \& repair ;-0.18365905;0.06155283
Protective service ;-0.08231555;0.018743612
Farming, fishing, \& forestry ;-0.07047562;0.012312178
Legal ;-0.069656506;0.0376706
Architecture \& engineering ;-0.09844988;0.06702794
Healthcare practitioner \& technical ;-0.09045135;0.08510342
Computer \& mathematical science ;-0.14608586;0.1420544
Community \& social service ;-0.059358776;0.06600615
Life, physical, \& social science ;0.003955094;0.033863343
Transportation \& material moving ;-0.1443144;0.20091888
Business \& financial operations ;-0.035763346;0.21052766
Healthcare support ;0.055442285;0.17604214
