date,PET.MCRFPCO2.M,PET.MCRFPTX2.M,PET.MCRFPND2.M,PET.MCRFPNM2.M,PET.MCRFPUS2.M,PET.MCRFP3FM2.M
1988-01-01,82.0,2062.0,108.0,199.0,8250.0,851.0
1988-02-01,87.0,2068.0,109.0,201.0,8374.0,838.0
1988-03-01,88.0,2060.0,109.0,200.0,8374.0,852.0
1988-04-01,91.0,2043.0,110.0,196.0,8288.0,845.0
1988-05-01,89.0,2024.0,110.0,192.0,8229.0,842.0
1988-06-01,92.0,2012.0,110.0,194.0,8170.0,838.0
1988-07-01,90.0,1988.0,108.0,191.0,8040.0,829.0
1988-08-01,90.0,1983.0,107.0,194.0,8079.0,789.0
1988-09-01,89.0,1967.0,106.0,193.0,7895.0,681.0
1988-10-01,89.0,1982.0,106.0,193.0,8023.0,809.0
1988-11-01,88.0,1972.0,105.0,192.0,8023.0,826.0
1988-12-01,86.0,1956.0,102.0,191.0,7942.0,817.0
1989-01-01,88.0,1959.0,103.0,198.0,7937.0,825.0
1989-02-01,85.0,1911.0,101.0,191.0,7788.0,821.0
1989-03-01,86.0,1929.0,102.0,193.0,7575.0,806.0
1989-04-01,87.0,1924.0,100.0,189.0,7772.0,809.0
1989-05-01,86.0,1906.0,100.0,191.0,7816.0,798.0
1989-06-01,85.0,1879.0,98.0,186.0,7624.0,783.0
1989-07-01,82.0,1871.0,101.0,186.0,7444.0,758.0
1989-08-01,82.0,1868.0,100.0,185.0,7544.0,740.0
1989-09-01,81.0,1857.0,99.0,184.0,7548.0,755.0
1989-10-01,83.0,1854.0,102.0,187.0,7453.0,678.0
1989-11-01,83.0,1864.0,103.0,188.0,7536.0,711.0
1989-12-01,79.0,1803.0,100.0,181.0,7337.0,692.0
1990-01-01,83.0,1873.0,101.0,186.0,7546.0,755.0
1990-02-01,84.0,1882.0,101.0,186.0,7497.0,761.0
1990-03-01,85.0,1858.0,101.0,186.0,7433.0,740.0
1990-04-01,85.0,1846.0,101.0,183.0,7407.0,767.0
1990-05-01,86.0,1840.0,101.0,183.0,7328.0,727.0
1990-06-01,84.0,1822.0,100.0,180.0,7106.0,727.0
1990-07-01,83.0,1826.0,99.0,179.0,7173.0,730.0
1990-08-01,82.0,1848.0,100.0,182.0,7287.0,729.0
1990-09-01,84.0,1851.0,101.0,182.0,7224.0,716.0
1990-10-01,84.0,1897.0,101.0,188.0,7542.0,745.0
1990-11-01,84.0,1900.0,102.0,189.0,7387.0,735.0
1990-12-01,78.0,1865.0,100.0,185.0,7338.0,740.0
1991-01-01,84.0,1917.0,101.0,195.0,7500.0,777.0
1991-02-01,86.0,1931.0,102.0,198.0,7637.0,776.0
1991-03-01,86.0,1913.0,101.0,196.0,7546.0,787.0
1991-04-01,87.0,1905.0,101.0,198.0,7509.0,811.0
1991-05-01,88.0,1887.0,101.0,194.0,7409.0,797.0
1991-06-01,88.0,1844.0,100.0,190.0,7320.0,793.0
1991-07-01,85.0,1841.0,99.0,187.0,7347.0,786.0
1991-08-01,85.0,1849.0,98.0,190.0,7316.0,780.0
1991-09-01,85.0,1843.0,94.0,189.0,7368.0,815.0
1991-10-01,85.0,1844.0,94.0,193.0,7437.0,832.0
1991-11-01,85.0,1847.0,94.0,192.0,7328.0,795.0
1991-12-01,88.0,1824.0,94.0,193.0,7299.0,843.0
1992-01-01,83.0,1817.0,93.0,190.0,7361.0,863.0
1992-02-01,84.0,1812.0,93.0,197.0,7389.0,858.0
1992-03-01,82.0,1814.0,92.0,195.0,7348.0,858.0
1992-04-01,85.0,1802.0,91.0,194.0,7293.0,838.0
1992-05-01,83.0,1773.0,91.0,193.0,7169.0,843.0
1992-06-01,82.0,1755.0,90.0,192.0,7167.0,844.0
1992-07-01,80.0,1758.0,89.0,190.0,7131.0,846.0
1992-08-01,79.0,1765.0,89.0,190.0,6922.0,721.0
1992-09-01,82.0,1764.0,89.0,189.0,7030.0,739.0
1992-10-01,82.0,1769.0,88.0,188.0,7126.0,813.0
1992-11-01,78.0,1753.0,87.0,188.0,7024.0,819.0
1992-12-01,78.0,1751.0,86.0,188.0,7103.0,825.0
1993-01-01,79.0,1747.0,86.0,189.0,6961.0,819.0
1993-02-01,81.0,1744.0,87.0,191.0,6943.0,822.0
1993-03-01,83.0,1736.0,87.0,191.0,6974.0,810.0
1993-04-01,75.0,1723.0,85.0,188.0,6881.0,813.0
1993-05-01,93.0,1704.0,85.0,180.0,6847.0,833.0
1993-06-01,79.0,1691.0,86.0,186.0,6795.0,833.0
1993-07-01,78.0,1668.0,85.0,184.0,6688.0,823.0
1993-08-01,78.0,1673.0,83.0,184.0,6758.0,823.0
1993-09-01,78.0,1667.0,85.0,184.0,6712.0,831.0
1993-10-01,78.0,1669.0,85.0,188.0,6839.0,829.0
1993-11-01,82.0,1673.0,83.0,192.0,6912.0,835.0
1993-12-01,81.0,1663.0,80.0,193.0,6858.0,829.0
1994-01-01,77.0,1669.0,76.0,187.0,6817.0,854.0
1994-02-01,82.0,1663.0,76.0,187.0,6770.0,852.0
1994-03-01,82.0,1660.0,76.0,188.0,6746.0,852.0
1994-04-01,79.0,1646.0,76.0,183.0,6612.0,842.0
1994-05-01,83.0,1634.0,77.0,180.0,6688.0,839.0
1994-06-01,79.0,1611.0,76.0,177.0,6611.0,858.0
1994-07-01,77.0,1596.0,75.0,177.0,6501.0,828.0
1994-08-01,77.0,1592.0,75.0,178.0,6544.0,855.0
1994-09-01,77.0,1589.0,75.0,178.0,6609.0,879.0
1994-10-01,75.0,1577.0,75.0,174.0,6658.0,874.0
1994-11-01,75.0,1592.0,75.0,176.0,6628.0,888.0
1994-12-01,78.0,1595.0,75.0,180.0,6760.0,897.0
1995-01-01,83.0,1582.0,78.0,172.0,6682.0,917.0
1995-02-01,83.0,1578.0,78.0,176.0,6794.0,938.0
1995-03-01,83.0,1562.0,80.0,176.0,6600.0,913.0
