date,ND_NM_CO,TX,OTH,GM,USA,MCRFPNM2
1989-01-01,0.382333,1.933,4.634,0.817333,7.76667,0.194
1989-04-01,0.374,1.903,4.66367,0.796667,7.73733,0.188667
1989-07-01,0.366667,1.86533,4.529,0.751,7.512,0.185
1989-10-01,0.368667,1.84033,4.53933,0.693667,7.442,0.185333
1990-01-01,0.371,1.871,4.498,0.752,7.492,0.186
1990-04-01,0.367667,1.836,4.33633,0.740333,7.28033,0.182
1990-07-01,0.364,1.84167,4.29733,0.725,7.228,0.181
1990-10-01,0.370333,1.88733,4.42467,0.74,7.42233,0.187333
1991-01-01,0.383,1.92033,4.47767,0.78,7.561,0.196333
1991-04-01,0.382333,1.87867,4.35133,0.800333,7.41267,0.194
1991-07-01,0.370667,1.84433,4.335,0.793667,7.34367,0.188667
1991-10-01,0.372667,1.83833,4.32033,0.823333,7.35467,0.192667
1992-01-01,0.369667,1.81433,4.32233,0.859667,7.366,0.194
1992-04-01,0.367,1.77667,4.22433,0.841667,7.20967,0.193
1992-07-01,0.359,1.76233,4.13767,0.768667,7.02767,0.189667
1992-10-01,0.354333,1.75767,4.15333,0.819,7.08433,0.188
1993-01-01,0.358,1.74233,4.042,0.817,6.95933,0.190333
1993-04-01,0.352333,1.706,3.95633,0.826333,6.841,0.184667
1993-07-01,0.346333,1.66933,3.878,0.825667,6.71933,0.184
1993-10-01,0.354,1.66833,4.01633,0.831,6.86967,0.191
1994-01-01,0.343667,1.664,3.91733,0.852667,6.77767,0.187333
1994-04-01,0.336667,1.63033,3.82367,0.846333,6.637,0.18
1994-07-01,0.329667,1.59233,3.77533,0.854,6.55133,0.177667
1994-10-01,0.327667,1.588,3.88,0.886333,6.682,0.176667
1995-01-01,0.336333,1.574,3.859,0.922667,6.692,0.174667
1995-04-01,0.336,1.53867,3.76167,0.967667,6.604,0.178
1995-07-01,0.330667,1.50467,3.64633,0.955667,6.43733,0.178
1995-10-01,0.331667,1.51733,3.73533,0.927667,6.512,0.176
1996-01-01,0.331667,1.51,3.70567,1.00033,6.54767,0.177667
1996-04-01,0.330667,1.49667,3.61867,0.986,6.432,0.174
1996-07-01,0.336,1.464,3.57533,1.018,6.39333,0.177333
1996-10-01,0.331667,1.468,3.609,1.079,6.48767,0.175667
1997-01-01,0.357667,1.47533,3.55733,1.06567,6.456,0.194667
1997-04-01,0.358667,1.475,3.51133,1.10733,6.45233,0.190333
1997-07-01,0.359333,1.45967,3.45167,1.14333,6.414,0.191
1997-10-01,0.362,1.471,3.45267,1.2,6.48567,0.189
1998-01-01,0.374667,1.47067,3.39367,1.236,6.475,0.209667
1998-04-01,0.364333,1.41033,3.30933,1.28167,6.36567,0.201667
1998-07-01,0.337333,1.34433,3.21933,1.161,6.062,0.182
1998-10-01,0.351333,1.308,3.217,1.23233,6.10867,0.199333
1999-01-01,0.321333,1.258,3.102,1.256,5.93733,0.177
1999-04-01,0.319667,1.22367,2.963,1.33433,5.84067,0.179
1999-07-01,0.315333,1.206,2.89033,1.38233,5.794,0.177333
1999-10-01,0.311667,1.23633,2.96733,1.44,5.95533,0.172333
2000-01-01,0.331333,1.23667,2.91467,1.36867,5.85133,0.188667
2000-04-01,0.327667,1.21633,2.86833,1.429,5.84133,0.186667
2000-07-01,0.319,1.19733,2.795,1.45067,5.762,0.180333
2000-10-01,0.316667,1.196,2.851,1.46867,5.83233,0.178667
2001-01-01,0.324,1.18767,2.83467,1.47333,5.81967,0.188667
2001-04-01,0.320667,1.168,2.798,1.53267,5.81933,0.187667
2001-07-01,0.315,1.14667,2.721,1.545,5.72767,0.184333
