date,PA_EPOP,PA_EPOP_M,PA_EPOP_W,label
2022-06-01,79.8,85.8,73.9,
2022-07-01,79.9,85.8,74.1,Jul
2022-08-01,80.2,85.9,74.7,
2022-09-01,80.2,86.1,74.4,
2022-10-01,79.9,85.8,74.0,
2022-11-01,79.8,85.8,73.8,
2022-12-01,80.1,86.2,74.2,
2023-01-01,80.3,85.8,74.7,Jan\\2023
2023-02-01,80.5,86.2,74.9,
2023-03-01,80.7,86.4,75.0,
2023-04-01,80.7,86.3,75.1,
2023-05-01,80.7,86.3,75.1,
2023-06-01,80.9,86.5,75.2,
2023-07-01,80.9,86.6,75.3,Jul
2023-08-01,80.8,86.4,75.3,
2023-09-01,80.8,86.4,75.3,
2023-10-01,80.6,85.9,75.3,
2023-11-01,80.7,86.2,75.1,
2023-12-01,80.4,86.1,74.8,
2024-01-01,80.6,86.2,75.0,Jan\\2024
2024-02-01,80.7,86.3,75.2,
2024-03-01,80.7,86.4,75.0,
2024-04-01,80.8,86.1,75.5,
2024-05-01,80.8,86.0,75.7,
2024-06-01,80.8,86.5,75.1,
