date,DPCCRG,DHSGRG,IA000062,CoreServ
1989-01-01,4.66249,0.692844,1.13658,2.83306
1989-02-01,4.71326,0.686892,1.15602,2.87034
1989-03-01,4.57854,0.694615,1.02047,2.86345
1989-04-01,4.42239,0.705152,0.965362,2.75188
1989-05-01,4.37851,0.738556,0.961443,2.67851
1989-06-01,4.21632,0.724379,0.908335,2.5836
1989-07-01,4.05957,0.734575,0.823858,2.50114
1989-08-01,3.94594,0.737266,0.824576,2.38409
1989-09-01,3.75087,0.72413,0.694788,2.33195
1989-10-01,3.73313,0.7939,0.683298,2.25593
1989-11-01,3.72468,0.778021,0.688666,2.25799
1989-12-01,3.67544,0.803463,0.587611,2.28436
1990-01-01,3.55018,0.77441,0.535266,2.24051
1990-02-01,3.78903,0.737812,0.814198,2.23702
1990-03-01,3.97787,0.82691,0.878288,2.27267
1990-04-01,3.93854,0.833438,0.808132,2.29697
1990-05-01,3.94584,0.805238,0.776886,2.36372
1990-06-01,4.07333,0.893962,0.775489,2.40388
1990-07-01,4.06805,0.910341,0.812263,2.34544
1990-08-01,4.35612,0.948307,0.871292,2.53652
1990-09-01,4.35817,0.923746,0.868158,2.56627
1990-10-01,4.33388,0.857478,0.805402,2.671
1990-11-01,4.1829,0.792088,0.731759,2.65905
1990-12-01,4.03196,0.771011,0.793003,2.46794
1991-01-01,4.14998,0.790971,0.864963,2.49405
1991-02-01,3.93321,0.815492,0.7339,2.38382
1991-03-01,3.65164,0.688871,0.73354,2.22923
1991-04-01,3.55069,0.664058,0.777799,2.10883
1991-05-01,3.64634,0.667176,0.79061,2.18856
1991-06-01,3.46816,0.541585,0.727959,2.19862
1991-07-01,3.52226,0.475669,0.778115,2.26847
1991-08-01,3.37596,0.396142,0.817672,2.16215
1991-09-01,3.4282,0.405477,0.811886,2.21083
1991-10-01,3.30543,0.440099,0.767596,2.09774
1991-11-01,3.37328,0.494635,0.879818,1.99883
1991-12-01,3.48437,0.521773,0.795049,2.16755
1992-01-01,3.25129,0.494168,0.659046,2.09808
1992-02-01,3.24721,0.498587,0.5737,2.17492
1992-03-01,3.28888,0.51923,0.539083,2.23057
1992-04-01,3.42088,0.516444,0.514155,2.39028
1992-05-01,3.15534,0.500068,0.528439,2.12684
1992-06-01,3.0124,0.496319,0.537538,1.97854
1992-07-01,3.08788,0.507286,0.496046,2.08455
1992-08-01,2.8995,0.509538,0.446714,1.94325
1992-09-01,2.65641,0.46154,0.349846,1.84502
1992-10-01,2.82464,0.459496,0.357276,2.00786
1992-11-01,2.85728,0.464283,0.32085,2.07214
1992-12-01,2.79511,0.431086,0.359784,2.00424
1993-01-01,2.81422,0.453925,0.344782,2.01552
1993-02-01,2.73138,0.456547,0.345205,1.92962
1993-03-01,2.69958,0.458285,0.306279,1.93501
1993-04-01,2.66114,0.470923,0.318594,1.87162
1993-05-01,2.86434,0.481988,0.242359,2.14
1993-06-01,2.88233,0.493823,0.244758,2.14375
1993-07-01,2.70731,0.488446,0.199808,2.01905
1993-08-01,2.80542,0.479565,0.229267,2.09658
1993-09-01,2.79314,0.510228,0.193262,2.08965
1993-10-01,2.56698,0.490698,0.212088,1.8642
1993-11-01,2.60745,0.474036,0.245407,1.88801
1993-12-01,2.46314,0.4795,0.207724,1.77591
1994-01-01,2.24661,0.472881,0.15596,1.61777
