date,APERMITS_total,ASTARTS_total,ACOMPLETIONS_total,APERMITS_single,ASTARTS_single,ACOMPLETIONS_single,APERMITS_multi,ASTARTS_multi,ACOMPLETIONS_multi
1989-01-01,1466.0,1621.0,1561.0,1040.0,1149.0,1157.0,355.0,407.0,354.0
1989-02-01,1383.0,1425.0,1597.0,943.0,1002.0,1163.0,358.0,363.0,386.0
1989-03-01,1214.0,1422.0,1442.0,860.0,982.0,1038.0,287.0,385.0,358.0
1989-04-01,1376.0,1339.0,1542.0,948.0,1030.0,1106.0,361.0,252.0,376.0
1989-05-01,1381.0,1331.0,1449.0,910.0,989.0,1042.0,399.0,297.0,322.0
1989-06-01,1322.0,1397.0,1346.0,882.0,973.0,969.0,376.0,370.0,328.0
1989-07-01,1283.0,1427.0,1386.0,913.0,1027.0,974.0,303.0,342.0,349.0
1989-08-01,1334.0,1332.0,1429.0,935.0,1000.0,1042.0,329.0,278.0,316.0
1989-09-01,1314.0,1279.0,1338.0,948.0,966.0,950.0,304.0,258.0,348.0
1989-10-01,1365.0,1410.0,1333.0,953.0,1025.0,993.0,351.0,325.0,280.0
1989-11-01,1344.0,1351.0,1475.0,986.0,1023.0,1074.0,294.0,279.0,339.0
1989-12-01,1422.0,1251.0,1304.0,983.0,909.0,924.0,376.0,292.0,315.0
1990-01-01,1748.0,1551.0,1508.0,989.0,1100.0,1071.0,674.0,395.0,371.0
1990-02-01,1329.0,1437.0,1352.0,963.0,1102.0,1036.0,306.0,294.0,282.0
1990-03-01,1246.0,1289.0,1345.0,912.0,971.0,1007.0,278.0,281.0,296.0
1990-04-01,1136.0,1248.0,1332.0,818.0,922.0,964.0,260.0,275.0,311.0
1990-05-01,1067.0,1212.0,1351.0,793.0,893.0,989.0,223.0,281.0,315.0
1990-06-01,1108.0,1177.0,1263.0,795.0,885.0,947.0,265.0,251.0,278.0
1990-07-01,1078.0,1171.0,1295.0,775.0,883.0,978.0,244.0,258.0,265.0
1990-08-01,1069.0,1115.0,1307.0,764.0,827.0,959.0,243.0,258.0,299.0
1990-09-01,976.0,1110.0,1312.0,721.0,858.0,958.0,207.0,216.0,318.0
1990-10-01,925.0,1014.0,1282.0,708.0,835.0,926.0,171.0,156.0,317.0
1990-11-01,941.0,1145.0,1248.0,682.0,780.0,923.0,218.0,309.0,278.0
1990-12-01,861.0,969.0,1173.0,655.0,751.0,890.0,161.0,203.0,250.0
1991-01-01,786.0,798.0,1149.0,587.0,604.0,855.0,158.0,164.0,265.0
1991-02-01,853.0,965.0,1090.0,680.0,755.0,823.0,131.0,171.0,233.0
1991-03-01,911.0,921.0,1176.0,694.0,750.0,864.0,171.0,144.0,269.0
1991-04-01,916.0,1001.0,1093.0,742.0,819.0,821.0,128.0,150.0,239.0
1991-05-01,991.0,996.0,1070.0,763.0,839.0,800.0,189.0,119.0,242.0
1991-06-01,964.0,1036.0,1093.0,763.0,874.0,816.0,153.0,139.0,239.0
1991-07-01,973.0,1063.0,1076.0,787.0,887.0,823.0,145.0,132.0,213.0
1991-08-01,944.0,1049.0,1050.0,772.0,882.0,820.0,132.0,128.0,199.0
1991-09-01,974.0,1015.0,1216.0,788.0,868.0,885.0,142.0,119.0,267.0
1991-10-01,991.0,1079.0,1076.0,787.0,878.0,877.0,163.0,148.0,162.0
1991-11-01,984.0,1103.0,1013.0,789.0,916.0,827.0,149.0,156.0,153.0
1991-12-01,1061.0,1079.0,1002.0,860.0,947.0,835.0,160.0,90.0,136.0
1992-01-01,1077.0,1176.0,1061.0,893.0,969.0,854.0,140.0,176.0,164.0
1992-02-01,1146.0,1250.0,1098.0,951.0,1102.0,902.0,152.0,123.0,145.0
1992-03-01,1082.0,1297.0,1128.0,897.0,1037.0,966.0,141.0,216.0,142.0
1992-04-01,1054.0,1099.0,1083.0,868.0,945.0,895.0,143.0,125.0,156.0
1992-05-01,1056.0,1214.0,1187.0,885.0,1038.0,995.0,126.0,144.0,151.0
1992-06-01,1057.0,1145.0,1189.0,888.0,999.0,992.0,123.0,107.0,159.0
1992-07-01,1089.0,1139.0,1251.0,884.0,984.0,1035.0,163.0,129.0,178.0
1992-08-01,1075.0,1226.0,1140.0,883.0,1037.0,956.0,139.0,157.0,153.0
1992-09-01,1114.0,1186.0,1123.0,914.0,1024.0,941.0,156.0,135.0,150.0
1992-10-01,1132.0,1244.0,1139.0,944.0,1093.0,970.0,138.0,131.0,143.0
1992-11-01,1118.0,1214.0,1224.0,945.0,1078.0,1004.0,125.0,112.0,183.0
1992-12-01,1176.0,1227.0,1199.0,1017.0,1075.0,991.0,114.0,117.0,167.0
1993-01-01,1177.0,1210.0,1135.0,989.0,1091.0,975.0,141.0,92.0,138.0
1993-02-01,1148.0,1210.0,1236.0,953.0,1063.0,1043.0,143.0,125.0,173.0
1993-03-01,1056.0,1083.0,1105.0,881.0,950.0,983.0,131.0,105.0,101.0
1993-04-01,1104.0,1258.0,1216.0,922.0,1110.0,1067.0,130.0,120.0,127.0
1993-05-01,1112.0,1260.0,1111.0,911.0,1128.0,973.0,153.0,107.0,118.0
1993-06-01,1130.0,1280.0,1193.0,932.0,1081.0,1017.0,147.0,165.0,148.0
1993-07-01,1174.0,1254.0,1090.0,977.0,1086.0,956.0,144.0,117.0,105.0
1993-08-01,1230.0,1300.0,1264.0,1000.0,1162.0,1084.0,178.0,119.0,150.0
1993-09-01,1251.0,1343.0,1172.0,1028.0,1143.0,1047.0,164.0,170.0,99.0
1993-10-01,1287.0,1392.0,1246.0,1071.0,1209.0,1078.0,158.0,148.0,127.0
1993-11-01,1357.0,1376.0,1235.0,1125.0,1228.0,1102.0,174.0,120.0,106.0
1993-12-01,1461.0,1533.0,1289.0,1161.0,1316.0,1129.0,245.0,195.0,136.0
1994-01-01,1390.0,1272.0,1228.0,1112.0,1140.0,1083.0,210.0,107.0,114.0
1994-02-01,1269.0,1337.0,1353.0,1065.0,1133.0,1198.0,148.0,172.0,124.0
1994-03-01,1342.0,1564.0,1257.0,1078.0,1306.0,1091.0,203.0,225.0,124.0
1994-04-01,1392.0,1465.0,1374.0,1084.0,1206.0,1209.0,246.0,227.0,131.0
1994-05-01,1396.0,1526.0,1430.0,1110.0,1244.0,1242.0,220.0,246.0,148.0
1994-06-01,1357.0,1409.0,1336.0,1067.0,1193.0,1149.0,232.0,199.0,157.0
1994-07-01,1335.0,1439.0,1281.0,1041.0,1231.0,1170.0,234.0,179.0,90.0
1994-08-01,1377.0,1450.0,1348.0,1054.0,1149.0,1149.0,263.0,254.0,172.0
1994-09-01,1412.0,1474.0,1414.0,1056.0,1201.0,1158.0,296.0,234.0,219.0
1994-10-01,1397.0,1450.0,1378.0,1042.0,1152.0,1170.0,287.0,264.0,179.0
1994-11-01,1340.0,1511.0,1365.0,1014.0,1187.0,1139.0,260.0,267.0,199.0
1994-12-01,1396.0,1455.0,1386.0,1086.0,1151.0,1172.0,248.0,267.0,178.0
1995-01-01,1282.0,1407.0,1423.0,967.0,1083.0,1195.0,249.0,280.0,183.0
