date,APERMITS,ASTARTS,ACOMPLETIONS
1989-01-01,355.0,407.0,354.0
1989-02-01,358.0,363.0,386.0
1989-03-01,287.0,385.0,358.0
1989-04-01,361.0,252.0,376.0
1989-05-01,399.0,297.0,322.0
1989-06-01,376.0,370.0,328.0
1989-07-01,303.0,342.0,349.0
1989-08-01,329.0,278.0,316.0
1989-09-01,304.0,258.0,348.0
1989-10-01,351.0,325.0,280.0
1989-11-01,294.0,279.0,339.0
1989-12-01,376.0,292.0,315.0
1990-01-01,674.0,395.0,371.0
1990-02-01,306.0,294.0,282.0
1990-03-01,278.0,281.0,296.0
1990-04-01,260.0,275.0,311.0
1990-05-01,223.0,281.0,315.0
1990-06-01,265.0,251.0,278.0
1990-07-01,244.0,258.0,265.0
1990-08-01,243.0,258.0,299.0
1990-09-01,207.0,216.0,318.0
1990-10-01,171.0,156.0,317.0
1990-11-01,218.0,309.0,278.0
1990-12-01,161.0,203.0,250.0
1991-01-01,158.0,164.0,265.0
1991-02-01,131.0,171.0,233.0
1991-03-01,171.0,144.0,269.0
1991-04-01,128.0,150.0,239.0
1991-05-01,189.0,119.0,242.0
1991-06-01,153.0,139.0,239.0
1991-07-01,145.0,132.0,213.0
1991-08-01,132.0,128.0,199.0
1991-09-01,142.0,119.0,267.0
1991-10-01,163.0,148.0,162.0
1991-11-01,149.0,156.0,153.0
1991-12-01,160.0,90.0,136.0
1992-01-01,140.0,176.0,164.0
1992-02-01,152.0,123.0,145.0
1992-03-01,141.0,216.0,142.0
1992-04-01,143.0,125.0,156.0
1992-05-01,126.0,144.0,151.0
1992-06-01,123.0,107.0,159.0
1992-07-01,163.0,129.0,178.0
1992-08-01,139.0,157.0,153.0
1992-09-01,156.0,135.0,150.0
1992-10-01,138.0,131.0,143.0
1992-11-01,125.0,112.0,183.0
1992-12-01,114.0,117.0,167.0
1993-01-01,141.0,92.0,138.0
1993-02-01,143.0,125.0,173.0
1993-03-01,131.0,105.0,101.0
1993-04-01,130.0,120.0,127.0
1993-05-01,153.0,107.0,118.0
1993-06-01,147.0,165.0,148.0
1993-07-01,144.0,117.0,105.0
1993-08-01,178.0,119.0,150.0
1993-09-01,164.0,170.0,99.0
1993-10-01,158.0,148.0,127.0
1993-11-01,174.0,120.0,106.0
1993-12-01,245.0,195.0,136.0
1994-01-01,210.0,107.0,114.0
1994-02-01,148.0,172.0,124.0
1994-03-01,203.0,225.0,124.0
1994-04-01,246.0,227.0,131.0
1994-05-01,220.0,246.0,148.0
1994-06-01,232.0,199.0,157.0
1994-07-01,234.0,179.0,90.0
1994-08-01,263.0,254.0,172.0
1994-09-01,296.0,234.0,219.0
1994-10-01,287.0,264.0,179.0
1994-11-01,260.0,267.0,199.0
1994-12-01,248.0,267.0,178.0
1995-01-01,249.0,280.0,183.0
1995-02-01,286.0,220.0,175.0
1995-03-01,248.0,216.0,184.0
1995-04-01,274.0,231.0,206.0
1995-05-01,252.0,255.0,229.0
1995-06-01,259.0,225.0,170.0
1995-07-01,274.0,286.0,251.0
1995-08-01,278.0,247.0,210.0
1995-09-01,274.0,235.0,247.0
1995-10-01,283.0,215.0,258.0
1995-11-01,300.0,291.0,249.0
1995-12-01,289.0,234.0,173.0
1996-01-01,273.0,302.0,262.0
1996-02-01,275.0,300.0,244.0
1996-03-01,269.0,252.0,239.0
1996-04-01,281.0,249.0,248.0
1996-05-01,295.0,297.0,251.0
1996-06-01,276.0,228.0,280.0
1996-07-01,309.0,274.0,274.0
1996-08-01,289.0,269.0,252.0
1996-09-01,285.0,282.0,224.0
1996-10-01,280.0,227.0,221.0
1996-11-01,313.0,301.0,242.0
1996-12-01,334.0,265.0,263.0
1997-01-01,272.0,206.0,230.0
1997-02-01,310.0,264.0,254.0
1997-03-01,339.0,285.0,257.0
1997-04-01,297.0,327.0,255.0
1997-05-01,303.0,301.0,248.0
1997-06-01,278.0,335.0,187.0
1997-07-01,316.0,267.0,218.0
1997-08-01,323.0,252.0,235.0
1997-09-01,336.0,294.0,251.0
1997-10-01,325.0,329.0,285.0
1997-11-01,314.0,309.0,263.0
1997-12-01,299.0,355.0,290.0
1998-01-01,326.0,252.0,271.0
1998-02-01,379.0,280.0,273.0
1998-03-01,372.0,304.0,296.0
1998-04-01,333.0,268.0,271.0
1998-05-01,323.0,270.0,300.0
1998-06-01,330.0,320.0,264.0
1998-07-01,353.0,358.0,295.0
1998-08-01,386.0,289.0,299.0
1998-09-01,322.0,295.0,230.0
1998-10-01,432.0,374.0,238.0
1998-11-01,365.0,244.0,307.0
1998-12-01,350.0,353.0,250.0
1999-01-01,392.0,368.0,299.0
1999-02-01,361.0,331.0,224.0
1999-03-01,361.0,326.0,300.0
1999-04-01,308.0,288.0,281.0
1999-05-01,328.0,273.0,300.0
1999-06-01,362.0,260.0,297.0
1999-07-01,344.0,318.0,322.0
1999-08-01,362.0,356.0,315.0
1999-09-01,289.0,311.0,322.0
1999-10-01,378.0,275.0,314.0
1999-11-01,370.0,299.0,277.0
1999-12-01,355.0,307.0,318.0
2000-01-01,386.0,338.0,292.0
2000-02-01,381.0,436.0,321.0
2000-03-01,333.0,269.0,363.0
2000-04-01,344.0,316.0,273.0
2000-05-01,291.0,323.0,321.0
2000-06-01,355.0,301.0,311.0
2000-07-01,333.0,273.0,288.0
2000-08-01,311.0,261.0,318.0
2000-09-01,314.0,276.0,326.0
2000-10-01,285.0,275.0,299.0
2000-11-01,340.0,297.0,275.0
2000-12-01,303.0,267.0,276.0
2001-01-01,387.0,286.0,313.0
2001-02-01,345.0,319.0,312.0
2001-03-01,358.0,329.0,243.0
2001-04-01,342.0,295.0,303.0
2001-05-01,356.0,292.0,223.0
2001-06-01,293.0,287.0,325.0
2001-07-01,301.0,331.0,276.0
2001-08-01,309.0,255.0,305.0
2001-09-01,319.0,273.0,257.0
2001-10-01,321.0,266.0,238.0
2001-11-01,360.0,320.0,280.0
2001-12-01,356.0,266.0,300.0
2002-01-01,311.0,311.0,273.0
2002-02-01,320.0,284.0,274.0
2002-03-01,330.0,305.0,219.0
2002-04-01,316.0,287.0,326.0
2002-05-01,356.0,325.0,281.0
2002-06-01,362.0,302.0,275.0
2002-07-01,362.0,301.0,308.0
2002-08-01,306.0,355.0,336.0
2002-09-01,345.0,321.0,279.0
2002-10-01,346.0,262.0,288.0
2002-11-01,319.0,325.0,288.0
2002-12-01,409.0,314.0,291.0
2003-01-01,303.0,275.0,287.0
2003-02-01,417.0,298.0,321.0
2003-03-01,324.0,293.0,285.0
2003-04-01,327.0,238.0,273.0
2003-05-01,364.0,333.0,313.0
2003-06-01,335.0,325.0,263.0
2003-07-01,330.0,326.0,227.0
2003-08-01,362.0,316.0,222.0
2003-09-01,336.0,339.0,262.0
2003-10-01,366.0,307.0,228.0
2003-11-01,311.0,351.0,230.0
2003-12-01,362.0,381.0,248.0
2004-01-01,320.0,322.0,262.0
2004-02-01,315.0,336.0,240.0
2004-03-01,318.0,334.0,282.0
2004-04-01,359.0,320.0,271.0
2004-05-01,386.0,272.0,367.0
2004-06-01,322.0,276.0,312.0
2004-07-01,386.0,263.0,303.0
2004-08-01,364.0,266.0,339.0
2004-09-01,375.0,319.0,243.0
2004-10-01,417.0,370.0,271.0
2004-11-01,415.0,285.0,272.0
2004-12-01,379.0,281.0,238.0
2005-01-01,409.0,358.0,258.0
2005-02-01,395.0,363.0,248.0
2005-03-01,402.0,247.0,234.0
