date,A065RC,A033RC,CAPITAL,TRANSFER
1989-01-01,6.86,0.8,4.48,1.57
1989-04-01,-0.48,-0.52,-0.02,0.06
1989-07-01,2.49,1.93,0.25,0.31
1989-10-01,3.34,2.59,0.43,0.33
1990-01-01,2.25,1.39,0.04,0.82
1990-04-01,3.04,2.68,0.02,0.34
1990-07-01,-0.23,-0.37,0.17,-0.04
1990-10-01,-3.58,-2.8,-1.74,0.96
1991-01-01,-0.97,-0.93,-1.59,1.55
1991-04-01,2.76,1.74,0.07,0.96
1991-07-01,1.47,1.5,-0.18,0.15
1991-10-01,3.3,1.72,-0.09,1.67
1992-01-01,6.22,4.44,0.62,1.16
1992-04-01,4.68,2.47,1.36,0.85
1992-07-01,2.04,0.99,0.53,0.52
1992-10-01,3.0,1.67,0.81,0.52
1993-01-01,-0.52,-0.98,0.57,-0.11
1993-04-01,2.73,2.13,0.46,0.14
1993-07-01,1.22,1.23,-0.57,0.57
1993-10-01,3.36,2.35,1.13,-0.11
1994-01-01,2.07,0.71,1.53,-0.17
1994-04-01,5.05,3.93,1.41,-0.29
1994-07-01,1.56,0.78,1.06,-0.28
1994-10-01,5.64,2.55,2.27,0.82
1995-01-01,4.11,1.75,1.22,1.15
1995-04-01,2.18,0.94,1.05,0.19
1995-07-01,3.42,1.92,1.49,0.01
1995-10-01,3.0,1.72,1.98,-0.69
1996-01-01,5.13,1.62,1.92,1.6
1996-04-01,5.3,2.74,1.97,0.59
1996-07-01,2.88,2.72,0.98,-0.82
1996-10-01,2.73,1.96,1.32,-0.55
1997-01-01,5.47,3.46,1.53,0.48
1997-04-01,3.82,3.27,1.06,-0.51
1997-07-01,5.48,3.86,1.82,-0.2
1997-10-01,6.6,5.17,1.77,-0.34
1998-01-01,9.15,5.55,3.4,0.2
1998-04-01,6.21,4.25,2.16,-0.2
1998-07-01,4.49,3.81,1.08,-0.4
1998-10-01,3.93,3.75,0.17,0.01
1999-01-01,4.23,4.04,-0.2,0.39
1999-04-01,0.97,1.36,-0.18,-0.22
1999-07-01,3.65,2.58,0.88,0.19
1999-10-01,6.06,5.01,1.3,-0.25
2000-01-01,8.47,7.39,1.45,-0.37
2000-04-01,4.92,0.73,3.09,1.1
2000-07-01,4.97,3.53,1.51,-0.06
2000-10-01,2.34,0.29,1.82,0.22
2001-01-01,4.39,2.85,0.32,1.23
2001-04-01,-0.84,-1.66,-0.46,1.28
2001-07-01,-1.2,-0.85,-0.58,0.23
2001-10-01,-0.6,0.47,-2.85,1.78
2002-01-01,1.05,0.48,-0.13,0.7
2002-04-01,1.45,1.04,-0.03,0.44
2002-07-01,-0.01,-0.17,-0.03,0.19
2002-10-01,1.8,0.35,1.06,0.4
2003-01-01,-1.27,-1.19,-0.4,0.31
2003-04-01,4.48,3.83,0.42,0.23
2003-07-01,3.04,1.91,0.83,0.29
2003-10-01,3.79,3.17,1.17,-0.55
2004-01-01,0.9,-0.37,0.59,0.68
2004-04-01,4.1,3.42,0.66,0.02
2004-07-01,3.93,4.16,0.13,-0.36
2004-10-01,5.34,0.11,4.83,0.4
2005-01-01,-1.46,0.84,-3.26,0.96
2005-04-01,4.15,1.39,2.28,0.48
2005-07-01,2.11,1.57,0.72,-0.17
2005-10-01,3.79,1.15,2.84,-0.21
2006-01-01,9.58,5.01,3.69,0.88
2006-04-01,2.04,-0.59,2.5,0.13
2006-07-01,0.62,0.21,-0.14,0.56
2006-10-01,6.05,5.32,0.9,-0.17
2007-01-01,4.61,3.92,-0.88,1.56
2007-04-01,2.17,-0.92,3.23,-0.14
2007-07-01,0.42,-0.14,0.08,0.49
2007-10-01,0.38,0.4,-0.37,0.35
2008-01-01,1.06,0.4,-0.06,0.72
2008-04-01,7.05,-2.58,-1.41,11.05
2008-07-01,-8.93,-2.01,-0.15,-6.78
2008-10-01,2.89,3.21,-0.36,0.04
2009-01-01,-8.06,-8.14,-4.65,4.73
2009-04-01,-0.58,0.03,-4.84,4.23
2009-07-01,-4.44,-2.23,-1.95,-0.26
2009-10-01,0.59,-0.3,0.78,0.11
2010-01-01,4.34,-1.99,3.01,3.33
2010-04-01,6.79,4.35,2.61,-0.17
2010-07-01,3.65,1.82,1.2,0.63
2010-10-01,2.12,0.24,1.77,0.1
2011-01-01,7.56,1.96,3.13,2.47
2011-04-01,-0.74,-1.32,1.09,-0.51
2011-07-01,2.17,1.3,1.62,-0.74
2011-10-01,0.86,-2.2,2.82,0.24
2012-01-01,6.33,4.85,3.03,-1.55
2012-04-01,3.7,0.79,2.49,0.43
2012-07-01,-1.81,0.5,-2.17,-0.15
2012-10-01,11.99,5.05,7.25,-0.31
2013-01-01,-11.51,-1.65,-7.03,-2.83
2013-04-01,3.57,2.33,1.25,-0.02
2013-07-01,0.95,-0.28,0.95,0.28
2013-10-01,1.53,1.68,0.06,-0.22
2014-01-01,5.6,3.64,1.9,0.06
2014-04-01,4.88,0.35,3.39,1.14
2014-07-01,4.99,2.25,2.04,0.71
2014-10-01,6.1,4.44,1.32,0.35
2015-01-01,6.84,4.56,1.26,1.01
2015-04-01,1.73,1.45,-0.21,0.5
2015-07-01,2.04,1.6,0.36,0.08
2015-10-01,2.69,1.9,0.52,0.28
2016-01-01,1.62,0.77,0.3,0.55
2016-04-01,-0.41,-0.21,-0.37,0.17
2016-07-01,2.25,1.41,0.78,0.06
2016-10-01,2.17,1.57,0.6,0.0
2017-01-01,3.46,1.37,2.26,-0.17
2017-04-01,3.61,2.11,1.73,-0.23
2017-07-01,2.89,2.53,0.11,0.26
2017-10-01,2.76,2.7,0.42,-0.36
2018-01-01,2.01,1.11,0.33,0.56
2018-04-01,2.37,1.15,1.03,0.19
2018-07-01,4.32,2.61,1.66,0.06
2018-10-01,3.66,0.68,2.8,0.18
2019-01-01,6.32,4.35,0.65,1.31
2019-04-01,1.02,-0.21,0.87,0.37
