date,LABOR,CAPITAL,TRANSFER
1989-01-01,28.303,11.8157,1.37429
1989-02-01,28.217,11.9746,1.39668
1989-03-01,28.2765,12.0458,1.45361
1989-04-01,28.2568,11.9242,1.39862
1989-05-01,28.0614,11.8947,1.41116
1989-06-01,28.1256,11.896,1.4249
1989-07-01,28.2659,11.8657,1.41318
1989-08-01,28.2333,11.9163,1.44604
1989-09-01,28.3067,11.9028,1.45985
1989-10-01,28.4858,11.892,1.45259
1989-11-01,28.4262,11.9216,1.49016
1989-12-01,28.4576,11.9177,1.4656
1990-01-01,28.4266,11.9461,1.54627
1990-02-01,28.5583,11.9015,1.55956
1990-03-01,28.6224,11.8531,1.54644
1990-04-01,28.7673,11.8892,1.58421
1990-05-01,28.6895,11.8757,1.58422
1990-06-01,28.7188,11.8764,1.57632
1990-07-01,28.7908,11.9172,1.55711
1990-08-01,28.4978,11.8884,1.56262
1990-09-01,28.4696,11.8184,1.59503
1990-10-01,28.1526,11.6911,1.65042
1990-11-01,28.1304,11.6618,1.66047
1990-12-01,28.2794,11.6503,1.69421
1991-01-01,28.0166,11.5027,1.79205
1991-02-01,27.9823,11.4981,1.82543
1991-03-01,28.0118,11.4612,1.85434
1991-04-01,28.0322,11.4951,1.91559
1991-05-01,28.0137,11.4634,1.92562
1991-06-01,28.2274,11.4381,1.90569
1991-07-01,28.0902,11.4264,1.90869
1991-08-01,28.1301,11.3951,1.92645
1991-09-01,28.2166,11.3706,1.93884
1991-10-01,28.1157,11.335,2.07951
1991-11-01,28.1839,11.3174,2.05018
1991-12-01,28.376,11.345,2.13428
1992-01-01,28.4304,11.3768,2.20555
1992-02-01,28.6661,11.327,2.17833
1992-03-01,28.6817,11.2915,2.21528
1992-04-01,28.662,11.357,2.27298
1992-05-01,28.7758,11.4063,2.2804
1992-06-01,28.8184,11.4793,2.28732
1992-07-01,28.7442,11.4405,2.30937
1992-08-01,28.8584,11.4281,2.31496
1992-09-01,28.6489,11.38,2.35583
1992-10-01,28.2777,11.4491,2.39872
1992-11-01,28.3839,11.4747,2.31276
1992-12-01,29.8118,11.4467,2.40655
1993-01-01,28.5793,11.4854,2.35754
1993-02-01,28.7516,11.501,2.32686
1993-03-01,28.5807,11.4719,2.37599
1993-04-01,28.8348,11.5074,2.3625
1993-05-01,28.8106,11.5068,2.33242
1993-06-01,28.6763,11.486,2.38788
1993-07-01,28.7954,11.4403,2.40215
1993-08-01,28.8902,11.3801,2.40959
1993-09-01,28.7331,11.3751,2.42713
1993-10-01,28.5063,11.3942,2.41119
1993-11-01,28.4837,11.4892,2.40586
1993-12-01,29.8902,11.5571,2.36401
1994-01-01,28.9602,11.568,2.37839
1994-02-01,28.9259,11.6136,2.37317
1994-03-01,28.9894,11.6416,2.35452
1994-04-01,29.2991,11.688,2.35426
1994-05-01,29.3372,11.7279,2.32136
1994-06-01,29.2244,11.7392,2.3181
1994-07-01,29.2741,11.75,2.28535
1994-08-01,29.2331,11.7904,2.30093
1994-09-01,29.322,11.8503,2.29442
1994-10-01,29.5122,11.949,2.34829
1994-11-01,29.3943,11.9955,2.36765
1994-12-01,29.4641,12.0546,2.40563
1995-01-01,29.5422,12.0673,2.47822
1995-02-01,29.5684,12.0908,2.48935
1995-03-01,29.588,12.1245,2.50747
1995-04-01,29.6225,12.1211,2.48623
1995-05-01,29.5181,12.1744,2.52847
1995-06-01,29.6136,12.2208,2.50306
1995-07-01,29.69,12.2362,2.51247
1995-08-01,29.665,12.286,2.50239
1995-09-01,29.7426,12.3492,2.48154
1995-10-01,29.7658,12.4041,2.42175
