category,Contrib,ContribP,ContribM
\textbf{Total},0.8524127323651376,2.7659248933240455,-1.8620103530866141
Earnings,0.43631455496975785,1.495814316844809,-1.0393135676828853
Social Security,0.3339744613832258,0.2635744149727948,0.06788752283194574
Supplemental Security Income,0.004054332247315197,0.010299455284914473,-0.006080217744442907
Public assistance,0.0064574246469925834,0.00961121375117488,-0.00258854025583627
Veterans' benefits,0.11957554036900053,0.09165097320149251,0.02427696190608531
Survivor benefits,0.001031961694361579,-0.003095280890055251,0.0041571501393763725
Disability benefits,0.0076274838524848735,0.016343749813365133,-0.008262136091435298
Unemployment compensation,-0.009191319297628932,-0.0008280071430169271,-0.008413617791632225
Workers' compensation,-0.02722779469088471,-0.018794868991571095,-0.009508651984419681
Property income,0.7575275335787548,0.4870592104663727,0.25317395437490764
Retirement income,-0.5412230599900025,0.04234649716575882,-0.5796275391387751
Pension income,-0.5694791846497563,0.0581850365294253,-0.619053879450612
Alimony,0.022054162019869563,-0.0056578080090459466,0.03381799732342231
Child support,-0.04437448420385865,-0.030442173848219567,-0.01686660007259855
Educational assistance,-0.05635765471174579,-0.024540744701980123,-0.03334656914485056
Outside financial assistance,0.0051645960448350155,0.029469758003840014,-0.020931243005308235
Other,-0.14958974853287807,-0.010172115036634823,-0.14546087725420787
