date,C,H,N,P,R
2020-04-01,330641954,323992144,327025382,331996358,331753003
2020-05-01,330589919,323935892,326973347,331939819,331696751
2020-06-01,330592417,323943011,326975845,331946150,331703870
2020-07-01,330599332,323951355,326982760,331954247,331712214
2020-08-01,330597996,323947983,326981424,331951574,331708842
2020-09-01,330621862,323968264,327005290,331973601,331729123
2020-10-01,330689809,324037402,327073237,332043302,331798261
2020-11-01,330784232,324132886,327167660,332140523,331893745
2020-12-01,330887629,324236283,327271057,332243920,331997142
2021-01-01,330990505,324339159,327373933,332346796,332100018
2021-02-01,330351030,323688422,326734458,331693822,331449281
2021-03-01,331102313,324450967,327485741,332458604,332211826
2021-04-01,331210262,324558916,327593690,332566553,332319775
2021-05-01,331273319,324621973,327656747,332629610,332382832
2021-06-01,331294137,324642791,327677565,332650428,332403650
2021-07-01,331361634,324710288,327745062,332717925,332471147
2021-08-01,331426343,324774997,327809771,332782634,332535856
2021-09-01,331486010,324834664,327869438,332842301,332595523
2021-10-01,331528331,324876985,327911759,332884622,332637844
2021-11-01,331615690,324964344,327999118,332971981,332725203
2021-12-01,331728670,325077324,328112098,333084961,332838183
2022-01-01,330328916,323661571,326712344,331665390,331422430
2022-02-01,331832068,325180722,328215496,333188359,332941581
2022-03-01,331934943,325283597,328318371,333291234,333044456
2022-04-01,332046750,325395404,328430178,333403041,333156263
2022-05-01,332154699,325503353,328538127,333510990,333264212
2022-06-01,332217757,325566411,328601185,333574048,333327270
2022-07-01,330352807,323686181,326736235,331689821,331447040
2022-08-01,330405064,323740221,326788492,331745402,331501080
2022-09-01,330461085,323802208,326844513,331807968,331563067
2022-10-01,330517621,323864901,326901049,331870265,331625760
2022-11-01,330591902,323939749,326975330,331944690,331700608
2022-12-01,330641889,323990245,327025317,331996364,331751104
