date,BIRTHS,DEATHS,TOTAL,NATURALINC,NETMIG
1988-07-01,3.809,2.123,2.210064,1.686,0.524064
1989-07-01,3.91,2.168,2.320248,1.742,0.578248
1990-07-01,4.041,2.15,2.645166,1.891,0.754166
1991-07-01,4.158,2.148,2.688696,2.01,0.678696
1991-07-01,4.133265,2.138906,2.693091,1.994359,0.698732
1992-07-01,4.105689,2.180115,2.717909,1.925574,0.792335
1993-07-01,4.027125,2.226027,2.627664,1.801098,0.826566
1994-07-01,3.971136,2.282854,2.451546,1.688282,0.763264
1995-07-01,3.926652,2.284363,2.426173,1.642289,0.783884
1996-07-01,3.881967,2.317918,2.426843,1.564049,0.862794
1997-07-01,3.892431,2.321933,2.501319,1.570498,0.930821
1998-07-01,3.909345,2.330759,2.462858,1.578586,0.884272
1999-07-01,3.949171,2.359088,2.452928,1.590083,0.862845
2000-07-01,3.966059,2.386995,2.457183,1.579064,0.878119
2001-07-01,4.047314,2.419131,2.801935,1.628183,1.173752
2002-07-01,4.006985,2.430225,2.628024,1.57676,1.051264
2003-07-01,4.052799,2.422431,2.425728,1.630368,0.79536
2004-07-01,4.112637,2.449071,2.622689,1.663566,0.959123
2005-07-01,4.12116,2.432481,2.609905,1.688679,0.921226
2006-07-01,4.178113,2.418569,2.739361,1.759544,0.979817
2007-07-01,4.307551,2.427615,2.719771,1.879936,0.839835
2008-07-01,4.3099,2.438645,2.69499,1.871255,0.823735
2009-07-01,4.192593,2.439234,2.478889,1.753359,0.72553
2010-07-01,4.150273,2.491016,2.394525,1.659257,0.735268
2011-07-01,3.973485,2.512442,2.256338,1.461043,0.795295
2012-07-01,3.936976,2.501531,2.294181,1.435445,0.858736
2013-07-01,3.940576,2.608019,2.182285,1.332557,0.849728
2014-07-01,3.963195,2.582448,2.326382,1.380747,0.945635
2015-07-01,3.992376,2.699826,2.352665,1.29255,1.060115
2016-07-01,3.970959,2.703215,2.332761,1.267744,1.065017
2017-07-01,3.890144,2.788163,2.050373,1.101981,0.948392
2018-07-01,3.835477,2.839277,1.716071,0.9962,0.719871
2019-07-01,3.770397,2.847282,1.491754,0.923115,0.568639
2020-07-01,3.748,3.070859,1.15417,0.677141,0.477029
2021-07-01,3.581986,3.433943,0.392665,0.148043,0.244622
2022-07-01,3.688179,3.443099,1.256003,0.24508,1.010923
