date,Steel,Lumber
1989-01-01,1.08063,0.991722
1989-02-01,1.08677,1.01242
1989-03-01,1.09115,1.02152
1989-04-01,1.09378,1.04719
1989-05-01,1.08677,1.06374
1989-06-01,1.08414,1.0654
1989-07-01,1.08238,1.07616
1989-08-01,1.07713,1.06623
1989-09-01,1.07713,1.05132
1989-10-01,1.0745,1.05381
1989-11-01,1.07537,1.01987
1989-12-01,1.0745,1.01904
1990-01-01,1.0745,1.03063
1990-02-01,1.06486,1.04139
1990-03-01,1.06223,1.05464
1990-04-01,1.05521,1.07036
1990-05-01,1.05521,1.0596
1990-06-01,1.05697,1.04222
1990-07-01,1.06486,1.04719
1990-08-01,1.06573,1.03311
1990-09-01,1.0631,1.02235
1990-10-01,1.0596,0.997517
1990-11-01,1.05784,0.988411
1990-12-01,1.05346,0.987583
1991-01-01,1.05434,0.993377
1991-02-01,1.05434,0.983444
1991-03-01,1.04733,0.990066
1991-04-01,1.0447,1.00662
1991-05-01,1.03243,1.03642
1991-06-01,1.03593,1.09851
1991-07-01,1.02892,1.10265
1991-08-01,1.02454,1.0356
1991-09-01,1.02279,1.03477
1991-10-01,1.02191,1.03063
1991-11-01,1.02366,1.03808
1991-12-01,1.02629,1.06126
1992-01-01,1.02103,1.0952
1992-02-01,1.02103,1.16639
1992-03-01,1.02191,1.21192
1992-04-01,1.01052,1.23013
1992-05-01,1.01315,1.23096
1992-06-01,1.0149,1.19288
1992-07-01,1.02016,1.18212
1992-08-01,1.01315,1.1755
1992-09-01,1.01315,1.19868
1992-10-01,1.00964,1.1904
1992-11-01,1.00701,1.21606
1992-12-01,1.00438,1.28725
1993-01-01,1.00701,1.36258
1993-02-01,1.0149,1.49917
1993-03-01,1.01928,1.62583
1993-04-01,1.02191,1.63328
1993-05-01,1.03067,1.56457
1993-06-01,1.04382,1.4793
1993-07-01,1.04908,1.43129
1993-08-01,1.05083,1.45613
1993-09-01,1.05784,1.48179
1993-10-01,1.05697,1.50248
1993-11-01,1.05784,1.56126
1993-12-01,1.06047,1.62169
1994-01-01,1.06135,1.67219
1994-02-01,1.06047,1.62748
1994-03-01,1.06748,1.63411
1994-04-01,1.06573,1.55795
1994-05-01,1.07625,1.53725
1994-06-01,1.07713,1.57036
1994-07-01,1.08501,1.52649
1994-08-01,1.0929,1.5356
1994-09-01,1.09991,1.52897
1994-10-01,1.10254,1.50166
1994-11-01,1.10254,1.51821
1994-12-01,1.10167,1.50414
1995-01-01,1.11569,1.50745
1995-02-01,1.15074,1.47185
1995-03-01,1.16389,1.48427
1995-04-01,1.16039,1.45447
1995-05-01,1.16915,1.43543
1995-06-01,1.16477,1.40646
1995-07-01,1.17003,1.43212
1995-08-01,1.15688,1.4255
1995-09-01,1.14812,1.44123
1995-10-01,1.13848,1.41556
1995-11-01,1.12445,1.38245
1995-12-01,1.11131,1.37169
1996-01-01,1.10955,1.37169
1996-02-01,1.0929,1.38079
1996-03-01,1.08151,1.40397
1996-04-01,1.08151,1.4255
1996-05-01,1.08238,1.50083
1996-06-01,1.07975,1.52897
1996-07-01,1.07888,1.49834
1996-08-01,1.08063,1.52649
1996-09-01,1.08151,1.56954
1996-10-01,1.07975,1.51325
1996-11-01,1.07625,1.57533
1996-12-01,1.08326,1.56705
1997-01-01,1.08238,1.5745
1997-02-01,1.08764,1.61672
1997-03-01,1.08677,1.62583
1997-04-01,1.08764,1.6548
1997-05-01,1.08764,1.68295
1997-06-01,1.08764,1.63825
1997-07-01,1.08852,1.64735
1997-08-01,1.08589,1.62914
1997-09-01,1.08326,1.59106
1997-10-01,1.0745,1.54884
1997-11-01,1.07187,1.56043
1997-12-01,1.06486,1.55381
1998-01-01,1.05697,1.53394
1998-02-01,1.04382,1.54719
1998-03-01,1.04119,1.55132
1998-04-01,1.03681,1.54967
1998-05-01,1.03067,1.51242
1998-06-01,1.02805,1.45613
1998-07-01,1.02629,1.48096
1998-08-01,1.02629,1.49007
1998-09-01,1.0184,1.44205
1998-10-01,1.01665,1.42136
1998-11-01,1.00964,1.4106
1998-12-01,0.992112,1.43626
1999-01-01,0.991236,1.46854
1999-02-01,0.969325,1.50331
1999-03-01,0.962314,1.53974
1999-04-01,0.959684,1.5356
1999-05-01,0.959684,1.56374
1999-06-01,0.961437,1.61341
1999-07-01,0.961437,1.67881
1999-08-01,0.961437,1.61921
1999-09-01,0.962314,1.56623
1999-10-01,0.971078,1.51987
1999-11-01,0.983348,1.53642
1999-12-01,0.991236,1.55298
2000-01-01,1.01139,1.5654
2000-02-01,1.02366,1.56623
2000-03-01,1.02717,1.56043
2000-04-01,1.04557,1.54222
2000-05-01,1.06047,1.49255
2000-06-01,1.05259,1.48675
2000-07-01,1.05346,1.45778
2000-08-01,1.04294,1.43377
2000-09-01,1.03681,1.41887
2000-10-01,1.02717,1.42053
2000-11-01,1.00701,1.4106
2000-12-01,1,1.40397
2001-01-01,0.969325,1.37914
2001-02-01,0.956179,1.39238
2001-03-01,0.948291,1.40315
2001-04-01,0.937774,1.40728
2001-05-01,0.934268,1.49917
2001-06-01,0.936021,1.51656
2001-07-01,0.934268,1.45199
2001-08-01,0.927257,1.44454
2001-09-01,0.922875,1.43295
2001-10-01,0.918493,1.38493
2001-11-01,0.914987,1.375
2001-12-01,0.905346,1.35844
2002-01-01,0.878177,1.39321
2002-02-01,0.889571,1.41805
2002-03-01,0.900964,1.44702
2002-04-01,0.915863,1.44619
2002-05-01,0.93865,1.43212
2002-06-01,0.967572,1.40563
2002-07-01,0.990359,1.40894
2002-08-01,1.01315,1.41887
2002-09-01,1.04119,1.40646
2002-10-01,1.06135,1.39156
2002-11-01,1.0631,1.38742
2002-12-01,1.06223,1.38825
2003-01-01,1.05346,1.39156
2003-02-01,1.05259,1.41142
2003-03-01,1.04733,1.39901
2003-04-01,1.04382,1.40149
2003-05-01,1.04032,1.40232
2003-06-01,1.03418,1.41556
2003-07-01,1.02542,1.45116
2003-08-01,1.03243,1.45695
2003-09-01,1.04032,1.51738
2003-10-01,1.04294,1.4851
2003-11-01,1.05171,1.49172
2003-12-01,1.06047,1.49669
2004-01-01,1.09816,1.5207
2004-02-01,1.1823,1.57864
2004-03-01,1.22436,1.65315
2004-04-01,1.26731,1.71026
2004-05-01,1.34356,1.77318
2004-06-01,1.31113,1.7351
2004-07-01,1.34969,1.72682
2004-08-01,1.38826,1.81291
2004-09-01,1.42594,1.80877
2004-10-01,1.40754,1.69619
2004-11-01,1.39614,1.60265
2004-12-01,1.43734,1.6101
2005-01-01,1.47677,1.63576
2005-02-01,1.51096,1.70116
2005-03-01,1.50044,1.70861
2005-04-01,1.49869,1.69536
2005-05-01,1.5206,1.62997
2005-06-01,1.5092,1.67467
2005-07-01,1.50131,1.63907
2005-08-01,1.42419,1.60596
2005-09-01,1.41455,1.63659
2005-10-01,1.42945,1.62086
2005-11-01,1.46188,1.58526
2005-12-01,1.41981,1.59934
2006-01-01,1.4277,1.65066
2006-02-01,1.43734,1.66308
2006-03-01,1.45749,1.65728
2006-04-01,1.47677,1.6457
2006-05-01,1.50657,1.6606
2006-06-01,1.63628,1.59189
2006-07-01,1.76249,1.5505
2006-08-01,1.79492,1.50993
2006-09-01,1.94303,1.50828
2006-10-01,2.02717,1.44536
2006-11-01,1.99562,1.42053
2006-12-01,2.00526,1.42798
2007-01-01,1.84926,1.4644
2007-02-01,1.89921,1.46358
2007-03-01,1.93164,1.46937
2007-04-01,2.01753,1.46523
2007-05-01,2.09641,1.45364
2007-06-01,2.12358,1.46689
2007-07-01,2.11131,1.48344
2007-08-01,1.90096,1.46358
2007-09-01,1.84663,1.44205
2007-10-01,1.7397,1.41722
2007-11-01,1.77125,1.38411
2007-12-01,1.82296,1.38493
2008-01-01,1.80982,1.35513
2008-02-01,1.71779,1.34023
2008-03-01,1.83173,1.34189
2008-04-01,1.94391,1.34768
2008-05-01,2.10429,1.39983
2008-06-01,2.14812,1.4106
2008-07-01,2.16477,1.38162
2008-08-01,2.12971,1.38493
2008-09-01,2.0894,1.37997
2008-10-01,2.00263,1.31954
2008-11-01,1.88782,1.29719
2008-12-01,1.6319,1.28228
2009-01-01,1.50307,1.24503
2009-02-01,1.42857,1.2293
2009-03-01,1.40316,1.19868
2009-04-01,1.33918,1.20033
2009-05-01,1.30762,1.18957
2009-06-01,1.30675,1.19702
2009-07-01,1.39439,1.24917
2009-08-01,1.47064,1.25331
2009-09-01,1.5986,1.26325
2009-10-01,1.69325,1.25331
2009-11-01,1.65557,1.26904
2009-12-01,1.66784,1.2947
2010-01-01,1.67134,1.30132
2010-02-01,1.70727,1.37748
2010-03-01,1.73357,1.40066
2010-04-01,1.80631,1.4553
2010-05-01,1.93777,1.49007
2010-06-01,2.0333,1.40811
2010-07-01,1.9106,1.38576
2010-08-01,1.82997,1.36589
2010-09-01,1.80806,1.35679
2010-10-01,1.84575,1.34603
2010-11-01,1.87117,1.35596
2010-12-01,1.89571,1.37748
2011-01-01,1.93164,1.39901
2011-02-01,2.10167,1.39652
2011-03-01,2.17441,1.40728
2011-04-01,2.25504,1.39652
2011-05-01,2.27169,1.37334
2011-06-01,2.19369,1.36838
2011-07-01,2.17353,1.37334
2011-08-01,2.18493,1.38825
2011-09-01,2.16827,1.37086
2011-10-01,2.13585,1.36589
2011-11-01,2.09991,1.35099
2011-12-01,2.0894,1.35844
2012-01-01,2.05521,1.35844
2012-02-01,2.10517,1.37583
2012-03-01,2.0745,1.40149
2012-04-01,2.0745,1.40811
2012-05-01,2.13234,1.44702
2012-06-01,2.03681,1.44619
2012-07-01,1.9816,1.41308
2012-08-01,1.97984,1.45033
2012-09-01,1.99299,1.44702
2012-10-01,1.94829,1.41225
2012-11-01,1.94128,1.46523
2012-12-01,1.94216,1.50579
2013-01-01,1.922,1.5803
2013-02-01,1.91937,1.62334
2013-03-01,1.91674,1.68957
2013-04-01,1.9106,1.72517
2013-05-01,1.89395,1.66142
2013-06-01,1.89132,1.59272
2013-07-01,1.90973,1.57699
2013-08-01,1.90359,1.6101
2013-09-01,1.90798,1.625
2013-10-01,1.91148,1.65894
2013-11-01,1.94216,1.69371
2013-12-01,1.94216,1.70033
2014-01-01,1.9553,1.74255
2014-02-01,1.96582,1.77815
2014-03-01,1.93953,1.80712
2014-04-01,1.97634,1.78228
2014-05-01,1.99124,1.79719
2014-06-01,2,1.79056
2014-07-01,2.00263,1.78477
2014-08-01,2.02629,1.79305
2014-09-01,2.02103,1.81043
2014-10-01,2.00613,1.77152
2014-11-01,1.99562,1.74834
2014-12-01,1.96494,1.73841
2015-01-01,1.92813,1.73841
2015-02-01,1.87292,1.7202
2015-03-01,1.81069,1.69371
2015-04-01,1.7511,1.67881
2015-05-01,1.7248,1.64487
2015-06-01,1.7213,1.64073
2015-07-01,1.70202,1.65646
2015-08-01,1.68975,1.62748
2015-09-01,1.66871,1.58775
2015-10-01,1.63015,1.59189
2015-11-01,1.58808,1.61755
2015-12-01,1.54426,1.59851
2016-01-01,1.5241,1.60679
2016-02-01,1.49255,1.6043
2016-03-01,1.52235,1.62914
2016-04-01,1.58983,1.6697
2016-05-01,1.63628,1.68212
2016-06-01,1.69676,1.68543
2016-07-01,1.73707,1.69536
2016-08-01,1.83874,1.70778
