date,PPIFDsa,PPIACO,label
2023-10-01,-0.375519,-1.4557,Oct\\`23
2023-11-01,0.0407787,-0.919605,Nov
2023-12-01,-0.0379659,-1.18954,Dec
2024-01-01,0.355891,0.574655,Jan\\`24
2024-02-01,0.502543,1.4302,Feb
2024-03-01,0.0564568,0.0662718,Mar
2024-04-01,0.483108,0.735445,Apr
2024-05-01,0.0325865,-0.650023,May
2024-06-01,0.397117,0.235121,Jun
2024-07-01,0.027615,0.548288,Jul
2024-08-01,0.338354,-0.724675,Aug
2024-09-01,0.296752,-1.09458,Sep
2024-10-01,0.308184,0.157781,Oct
2024-11-01,0.101834,0.0513538,Nov
2024-12-01,0.500824,0.0836896,Dec
2025-01-01,0.667263,1.5478,Jan\\`25
2025-02-01,0.157865,0.853074,Feb
2025-03-01,0.0195471,-0.335718,Mar
2025-04-01,-0.470866,0.000386531,Apr
