year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989-01-01,"White, non-Hispanic",100,100,98.418571,95.160973,92.580437,24.996626,28.049192,7.2487655,21.0327,9.4206457,39.965816,4.5658894,43.548779,15.473837,38.349987,94.123489,70.454521,89.226173,14.899413,12.627213,15.492973,13.952234,75.123734,73.21302,43.018284,5.7539783,49.303619,3.0429003,41.428825,7.1802225,41.944847,3.8057752,36.492264,8.307745,20.867239
1989-01-01,"Black, non-Hispanic",100,100,76.747444,63.547359,56.741161,3.6943557,9.763092,0.52209067,3.5854285,0.69799173,24.004082,1.633888,17.079796,9.9880304,10.635201,66.618271,42.377239,56.92091,7.5915422,4.7671862,5.5246577,5.1175122,45.067055,65.085114,24.832994,2.6601038,47.444603,2.791997,33.350151,3.4215026,24.745024,1.1506479,27.190451,12.295461,22.945768
1989-01-01,Hispanic,100,100,86.481339,68.708054,63.522911,1.7823867,11.566868,0.38798445,3.9262824,1.1121799,17.375511,0.16355126,15.479804,12.249283,12.368904,80.59938,41.948811,77.023537,5.4077058,5.8926044,4.7893152,5.6068568,45.407173,72.411087,30.953506,3.3166988,52.127285,3.753417,34.668442,6.7640061,30.834953,0.13556668,29.643702,9.9093771,29.893105
1989-01-01,Other,100,100,97.410942,91.800163,89.299431,12.752468,17.007986,4.2295656,8.4584455,1.3941745,25.760517,1.2842351,26.252378,15.61261,18.712719,88.024338,53.904491,81.379753,14.427485,13.407947,14.475831,6.97579,64.822716,76.633965,36.638416,5.6572347,51.602829,5.1753273,36.921856,7.0820222,35.386414,2.9380996,34.304363,8.0637512,24.254362
1992-01-01,"White, non-Hispanic",100,100,98.850677,95.548431,93.156448,19.837578,25.965258,5.250083,20.622047,12.806804,38.609684,4.9366851,45.55727,12.007034,43.387249,95.042618,70.331947,90.904755,14.594439,10.777423,16.399281,9.4780083,75.833282,74.281715,42.835636,6.4428205,46.243282,2.6310511,44.215733,8.1631479,42.160877,5.235363,31.378649,10.768297,17.930801
1992-01-01,"Black, non-Hispanic",100,100,85.379074,76.571777,68.599136,6.6918535,11.493842,0.43660361,5.3979826,2.7014296,27.917261,1.2602148,23.69717,9.7593355,17.338333,74.195869,43.4259,66.013474,6.5350943,4.7789636,5.3371968,2.5862372,46.27808,69.181374,27.445698,2.4368708,42.530243,1.5411731,43.258831,9.4583492,26.783876,1.9440744,23.836367,12.607765,19.617916
1992-01-01,Hispanic,100,100,84.126236,61.497231,55.770763,4.7895575,3.847858,0.000237578,2.1101444,1.1135064,11.985003,0.61026222,20.080856,7.0810547,11.669361,77.967751,39.918896,72.943481,4.9482241,4.0752006,6.7256498,1.7396574,43.76849,69.319458,25.214834,2.0511899,49.554619,1.3592299,39.804398,7.1580644,25.214834,0.16293234,24.467722,8.2813292,29.768158
1992-01-01,Other,100,100,94.348839,88.36129,85.784241,12.668945,22.215557,5.4226451,13.752816,7.767014,30.322754,1.818323,28.16637,6.0905137,26.774481,87.868523,54.599247,84.145912,11.196603,10.162033,18.397102,10.295326,62.552376,73.897652,33.187183,7.9406295,45.018162,1.8978806,42.899544,11.165429,32.214699,1.6947916,28.774654,7.3469596,18.620703
1995-01-01,"White, non-Hispanic",100,100,98.609802,95.057716,92.805862,16.673754,26.225649,3.8017588,18.161959,14.843033,34.050079,4.7720237,49.313931,12.470591,45.156506,95.077682,70.589737,88.235542,13.218792,10.209211,14.706203,9.8231487,75.615379,75.371994,44.104744,5.1098332,46.142918,2.0716143,47.061474,8.457983,43.322472,3.2930715,32.854046,11.62752,15.820262
1995-01-01,"Black, non-Hispanic",100,100,86.638107,74.362053,62.195797,4.1598516,12.267706,0.40076238,4.1917977,2.194818,26.657581,0.29011059,28.410938,9.7274981,19.643343,69.802841,42.682934,61.633369,6.9895787,4.6189027,3.8398943,1.8380269,45.350124,71.058769,26.095406,3.6468084,46.441822,0.80275911,45.305267,8.7134304,26.095406,0.57525128,24.840534,13.694571,18.28421
