date,Ten-year,Thirty-year,Fed Funds,Three-month,Five-year,Two-year,One-month,One-year,Twenty-year
1989-01-01,9.0915,8.927,9.151,8.5585,9.1485,9.1755,,9.0475,9.0125
1989-02-01,9.16895,9.01,9.37158,8.83684,9.27053,9.37158,,9.25316,9.09211
1989-03-01,9.35773,9.16545,9.86409,9.14227,9.51409,9.67955,,9.57045,9.26409
1989-04-01,9.1755,9.025,9.839,8.9625,9.295,9.4515,,9.363,9.1025
1989-05-01,8.85909,8.83227,9.83409,8.73591,8.90955,9.01773,,8.97727,8.84864
1989-06-01,8.27727,8.26636,9.52636,8.43455,8.29227,8.40636,,8.44091,8.27455
1989-07-01,8.0185,8.079,9.2185,8.147,7.8265,7.8195,,7.8945,8.0515
1989-08-01,8.11261,8.12217,9.00348,8.17,8.08957,8.14478,,8.18391,8.11913
1989-09-01,8.1905,8.1545,9.031,8.0145,8.1745,8.2845,,8.221,8.1755
1989-10-01,8.00762,7.99905,8.83524,7.89952,7.96619,7.97905,,7.99095,8.00476
1989-11-01,7.87429,7.90238,8.58476,7.94381,7.81095,7.79571,,7.76952,7.89095
1989-12-01,7.836,7.8965,8.523,7.8795,7.7465,7.777,,7.723,7.868
1990-01-01,8.20667,8.25857,8.25667,7.8981,8.11952,8.08524,,7.92095,8.23524
1990-02-01,8.47316,8.50368,8.24684,8.00211,8.42474,8.37053,,8.11105,8.49105
1990-03-01,8.58864,8.56318,8.28273,8.17,8.60045,8.62682,,8.35,8.57773
1990-04-01,8.7855,8.756,8.2725,8.0405,8.768,8.724,,8.4045,8.773
1990-05-01,8.75818,8.73136,8.15091,8.00682,8.73591,8.64227,,8.31636,8.74682
1990-06-01,8.48,8.45762,8.29524,7.98667,8.43048,8.35095,,8.09619,8.4719
1990-07-01,8.47143,8.4981,8.14714,7.87476,8.33095,8.15714,,7.94095,8.48619
1990-08-01,8.75261,8.86348,8.15043,7.69435,8.43652,8.0613,,7.77913,8.81043
1990-09-01,8.89316,9.02895,8.26579,7.59789,8.51368,8.07947,,7.76316,8.96263
1990-10-01,8.71955,8.85773,8.13636,7.4,8.32773,7.87773,,7.55136,8.79136
1990-11-01,8.392,8.5405,7.828,7.2905,8.0225,7.5995,,7.3135,8.4685
1990-12-01,8.075,8.237,7.3375,6.9495,7.7265,7.314,,7.0505,8.158
1991-01-01,8.0919,8.26952,7.10905,6.41048,7.7,7.12524,,6.64429,8.18381
1991-02-01,7.85474,8.03421,6.28053,6.11632,7.47263,6.86684,,6.26684,7.94737
1991-03-01,8.11,8.288,6.193,6.0935,7.772,7.103,,6.396,8.2015
1991-04-01,8.03909,8.20955,5.96591,5.82545,7.70091,6.94818,,6.23591,8.12636
1991-05-01,8.06773,8.26727,5.81091,5.63364,7.70136,6.78364,,6.13045,8.16955
1991-06-01,8.284,8.472,5.8665,5.751,7.937,6.956,,6.3585,8.3805
1991-07-01,8.27273,8.45227,5.84273,5.75091,7.91136,6.91773,,6.30545,8.365
1991-08-01,7.9,8.14364,5.69,5.49773,7.425,6.43318,,5.77818,8.02409
1991-09-01,7.65,7.948,5.4885,5.3735,7.136,6.1815,,5.5725,7.8015
1991-10-01,7.52727,7.93045,5.23955,5.14409,6.87136,5.91227,,5.33364,7.73091
1991-11-01,7.41737,7.92158,4.81316,4.68947,6.61789,5.55895,,4.88947,7.67316
1991-12-01,7.08857,7.7019,4.47762,4.18429,6.18619,5.02571,,4.3781,7.39762
1992-01-01,7.03238,7.5819,4.11095,3.90619,6.24286,4.9581,,4.15095,7.30905
1992-02-01,7.33789,7.85474,4.06105,3.95,6.57789,5.21211,,4.28737,7.59842
1992-03-01,7.54227,7.96955,4.01136,4.13864,6.94545,5.685,,4.63455,7.75818
1992-04-01,7.48048,7.96238,3.84381,3.83905,6.78429,5.34429,,4.29905,7.72429
1992-05-01,7.392,7.891,3.843,3.719,6.6925,5.2255,,4.1895,7.645
1992-06-01,7.26182,7.84182,3.80455,3.745,6.48273,5.04818,,4.16591,7.55455
1992-07-01,6.84455,7.59818,3.34273,3.27955,5.83682,4.35545,,3.59591,7.22273
1992-08-01,6.58571,7.39048,3.32667,3.19905,5.59619,4.19286,,3.4719,6.99095
1992-09-01,6.41524,7.34095,3.29,2.96857,5.38,3.89429,,3.18429,6.88095
1992-10-01,6.58905,7.5319,3.14476,2.93286,5.60048,4.08286,,3.30238,7.06286
1992-11-01,6.87316,7.60684,3.08316,3.20579,6.03789,4.57947,,3.68211,7.24211
1992-12-01,6.77,7.43636,2.96636,3.29136,6.07591,4.67364,,3.71136,7.10545
