date,Goods,Serv
1989-01-01,29.12,24.51
1989-02-01,29.1,24.51
1989-03-01,29.07,24.45
1989-04-01,28.88,24.43
1989-05-01,28.79,24.26
1989-06-01,28.75,24.28
1989-07-01,28.82,24.36
1989-08-01,28.87,24.33
1989-09-01,28.85,24.41
1989-10-01,28.79,24.44
1989-11-01,28.78,24.35
1989-12-01,28.79,24.4
1990-01-01,28.67,24.24
1990-02-01,28.76,24.28
1990-03-01,28.75,24.24
1990-04-01,28.64,24.26
1990-05-01,28.69,24.3
1990-06-01,28.62,24.27
1990-07-01,28.56,24.21
1990-08-01,28.3,24.11
1990-09-01,28.25,23.99
1990-10-01,28.13,23.9
1990-11-01,28.07,23.92
1990-12-01,28.06,23.86
1991-01-01,28.08,23.84
1991-02-01,28.03,23.89
1991-03-01,28.06,23.97
1991-04-01,28.14,24.03
1991-05-01,28.06,24.04
1991-06-01,28.05,23.99
1991-07-01,28.08,24.03
1991-08-01,28,24.03
1991-09-01,27.99,23.98
1991-10-01,27.99,23.97
1991-11-01,27.89,23.94
1991-12-01,27.88,23.94
1992-01-01,27.84,23.95
1992-02-01,27.83,23.94
1992-03-01,27.8,23.9
1992-04-01,27.83,23.92
1992-05-01,27.79,23.94
1992-06-01,27.81,23.92
1992-07-01,27.7,23.92
1992-08-01,27.74,23.91
1992-09-01,27.63,23.93
1992-10-01,27.61,23.88
1992-11-01,27.57,23.83
1992-12-01,27.58,23.89
1993-01-01,27.53,23.87
1993-02-01,27.54,23.87
1993-03-01,27.57,23.95
1993-04-01,27.56,23.82
1993-05-01,27.56,23.8
1993-06-01,27.56,23.85
1993-07-01,27.57,23.84
1993-08-01,27.55,23.83
1993-09-01,27.58,23.87
1993-10-01,27.54,23.86
1993-11-01,27.55,23.82
1993-12-01,27.6,23.81
1994-01-01,27.65,23.86
1994-02-01,27.73,23.9
1994-03-01,27.61,23.84
1994-04-01,27.63,23.86
1994-05-01,27.66,23.84
1994-06-01,27.61,23.82
1994-07-01,27.61,23.8
1994-08-01,27.54,23.75
1994-09-01,27.57,23.75
1994-10-01,27.64,23.82
1994-11-01,27.63,23.8
1994-12-01,27.6,23.84
1995-01-01,27.54,23.77
1995-02-01,27.56,23.82
1995-03-01,27.57,23.81
1995-04-01,27.5,23.74
1995-05-01,27.49,23.78
1995-06-01,27.54,23.8
1995-07-01,27.65,23.83
1995-08-01,27.6,23.84
1995-09-01,27.61,23.9
1995-10-01,27.6,23.88
1995-11-01,27.6,23.93
1995-12-01,27.59,23.99
1996-01-01,27.74,23.92
1996-02-01,27.58,23.9
1996-03-01,27.43,23.93
1996-04-01,27.64,23.9
1996-05-01,27.63,23.91
1996-06-01,27.7,23.95
1996-07-01,27.73,23.97
1996-08-01,27.75,24.02
1996-09-01,27.73,24
1996-10-01,27.64,24.01
1996-11-01,27.63,24.04
1996-12-01,27.71,24.02
1997-01-01,27.76,24.09
1997-02-01,27.77,24.07
1997-03-01,27.79,24.16
1997-04-01,27.81,24.22
1997-05-01,27.91,24.32
1997-06-01,27.9,24.32
1997-07-01,27.89,24.41
1997-08-01,27.96,24.49
1997-09-01,27.93,24.51
1997-10-01,28.08,24.56
1997-11-01,28.1,24.61
1997-12-01,28.21,24.68
1998-01-01,28.15,24.77
1998-02-01,28.27,24.83
1998-03-01,28.33,24.93
1998-04-01,28.3,25.04
1998-05-01,28.33,25.06
1998-06-01,28.27,25.1
1998-07-01,28.16,25.1
1998-08-01,28.35,25.15
