date,Goods,Serv
1989-01-01,29.1,24.49
1989-04-01,28.81,24.32
1989-07-01,28.85,24.37
1989-10-01,28.79,24.4
1990-01-01,28.73,24.25
1990-04-01,28.65,24.28
1990-07-01,28.37,24.1
1990-10-01,28.09,23.89
1991-01-01,28.06,23.9
1991-04-01,28.08,24.02
1991-07-01,28.02,24.01
1991-10-01,27.92,23.95
1992-01-01,27.82,23.93
1992-04-01,27.81,23.93
1992-07-01,27.69,23.92
1992-10-01,27.59,23.87
1993-01-01,27.55,23.9
1993-04-01,27.56,23.82
1993-07-01,27.57,23.85
1993-10-01,27.56,23.83
1994-01-01,27.66,23.87
1994-04-01,27.63,23.84
1994-07-01,27.57,23.77
1994-10-01,27.62,23.82
1995-01-01,27.56,23.8
1995-04-01,27.51,23.77
1995-07-01,27.62,23.86
1995-10-01,27.6,23.93
1996-01-01,27.58,23.92
1996-04-01,27.66,23.92
1996-07-01,27.74,24
1996-10-01,27.66,24.02
1997-01-01,27.77,24.11
1997-04-01,27.87,24.29
1997-07-01,27.93,24.47
1997-10-01,28.13,24.62
1998-01-01,28.25,24.84
1998-04-01,28.3,25.07
1998-07-01,28.29,25.17
1998-10-01,28.41,25.25
1999-01-01,28.48,25.46
1999-04-01,28.64,25.47
1999-07-01,28.73,25.51
1999-10-01,28.71,25.56
2000-01-01,28.71,25.55
2000-04-01,28.73,25.63
2000-07-01,28.72,25.65
2000-10-01,28.82,25.78
2001-01-01,28.7,25.81
2001-04-01,28.74,25.89
2001-07-01,28.96,25.97
2001-10-01,29.23,26.2
2002-01-01,29.41,26.24
2002-04-01,29.37,26.21
2002-07-01,29.46,26.31
2002-10-01,29.56,26.41
2003-01-01,29.45,26.31
2003-04-01,29.68,26.47
2003-07-01,29.66,26.43
2003-10-01,29.66,26.38
2004-01-01,29.62,26.29
2004-04-01,29.53,26.25
2004-07-01,29.51,26.26
2004-10-01,29.38,26.16
2005-01-01,29.37,26.2
2005-04-01,29.38,26.2
2005-07-01,29.12,26.04
2005-10-01,29,26.05
2006-01-01,28.95,26.21
2006-04-01,28.89,26.31
2006-07-01,28.84,26.33
2006-10-01,29.26,26.69
2007-01-01,29.23,26.72
2007-04-01,29.24,26.69
2007-07-01,29.23,26.81
2007-10-01,29.06,26.69
2008-01-01,29.06,26.65
2008-04-01,28.91,26.59
2008-07-01,28.8,26.46
2008-10-01,29.8,27.31
2009-01-01,30.19,27.71
2009-04-01,30.16,27.73
2009-07-01,30.02,27.69
2009-10-01,29.95,27.7
2010-01-01,30.02,27.83
2010-04-01,30.15,27.99
2010-07-01,30.24,28.02
2010-10-01,30.2,27.98
2011-01-01,30.03,27.83
2011-04-01,29.78,27.64
2011-07-01,29.71,27.59
2011-10-01,29.66,27.59
2012-01-01,29.59,27.48
2012-04-01,29.63,27.54
2012-07-01,29.57,27.53
2012-10-01,29.47,27.48
2013-01-01,29.5,27.55
2013-04-01,29.66,27.73
2013-07-01,29.52,27.75
2013-10-01,29.56,27.81
2014-01-01,29.56,27.88
2014-04-01,29.48,27.85
2014-07-01,29.56,27.91
2014-10-01,29.69,28.1
2015-01-01,29.97,28.47
2015-04-01,30,28.43
2015-07-01,29.99,28.48
2015-10-01,30.22,28.66
2016-01-01,30.37,28.87
2016-04-01,30.5,28.79
2016-07-01,30.58,28.81
2016-10-01,30.53,28.81
2017-01-01,30.45,28.77
2017-04-01,30.61,28.9
2017-07-01,30.77,28.93
2017-10-01,30.74,28.85
2018-01-01,30.83,28.82
2018-04-01,30.87,28.9
2018-07-01,30.98,29.01
2018-10-01,31.19,29.17
2019-01-01,31.3,29.37
2019-04-01,31.31,29.41
2019-07-01,31.41,29.58
2019-10-01,31.46,29.63
2020-01-01,31.58,29.81
2020-04-01,32.02,31.5
2020-07-01,31.86,30.82
2020-10-01,31.9,30.87
2021-01-01,31.89,30.9
2021-04-01,31.77,30.84
2021-07-01,31.72,30.91
2021-10-01,31.44,30.85
2022-01-01,31.21,30.66
2022-04-01,30.93,30.38
2022-07-01,30.92,30.37
2022-10-01,31.06,30.45
2023-01-01,31.23,30.51
2023-04-01,31.41,30.64
2023-07-01,31.56,30.67
2023-10-01,31.8,30.74
2024-01-01,31.98,30.76
2024-04-01,32.04,30.84
2024-07-01,32.31,31.04
2024-10-01,32.4,31.12
2025-01-01,32.52,31.13
2025-04-01,32.67,31.26
2025-07-01,32.74,31.31
