date,p10_LT,p10_PR,p10_PR2,p90_LT,p90_PR,p90_PR2
1989-07-01,,,15.51,,,155.0
1990-07-01,,,15.03,,,152.2
1991-07-01,,,14.71,,,150.4
1992-07-01,,,14.5,,,149.9
1993-07-01,,,14.5,,,154.2
1994-07-01,,,14.82,,,156.7
1995-07-01,,,15.64,,,158.1
1996-07-01,,,15.65,,,161.7
1997-07-01,,,15.85,,,168.0
1998-07-01,,,16.46,,,171.9
1999-07-01,,,17.2,,,179.2
2000-07-01,,,17.0,,,180.0
2001-07-01,,,16.79,,,178.6
2002-07-01,,,16.48,,,177.1
2003-07-01,,,16.02,,,179.7
2004-07-01,,,16.18,,,179.3
2005-07-01,,,16.27,,,181.8
2006-07-01,,,16.81,,,186.3
2007-07-01,,,16.61,,,185.8
2008-07-01,,,16.02,,,182.2
2009-07-01,,,16.03,,,182.1
2010-07-01,,,15.48,,,181.1
2011-07-01,,,15.19,,,181.8
2012-07-01,,,15.19,,,181.3
2013-07-01,,14.97,15.21,,190.7,184.0
2014-07-01,,14.85,,,190.5,
2015-07-01,,16.05,,,196.3,
2016-07-01,,16.33,,,204.6,
2017-07-01,16.87,16.77,,214.3,211.2,
2018-07-01,16.91,,,213.0,,
2019-07-01,18.25,,,229.1,,
2020-07-01,17.65,,,227.7,,
2021-07-01,16.89,,,228.6,,
2022-07-01,17.1,,,216.0,,
