date,Black_LT,Black_PR,Black_PR2,Asian_LT,Asian_PR,Asian_PR2,White_LT,White_PR,White_PR2,Hispanic_LT,Hispanic_PR,Hispanic_PR2
1989-07-01,,,36.55,,,72.97,,,62.779,,,44.307
1990-07-01,,,35.974,,,74.063,,,61.533,,,43.013
1991-07-01,,,34.955,,,67.744,,,60.076,,,42.174
1992-07-01,,,34.012,,,68.553,,,60.372,,,40.98
1993-07-01,,,34.552,,,67.832,,,60.449,,,40.483
1994-07-01,,,36.434,,,70.144,,,60.864,,,40.582
1995-07-01,,,37.888,,,68.718,,,62.904,,,38.678
1996-07-01,,,38.7,,,71.322,,,63.924,,,41.047
1997-07-01,,,40.411,,,72.996,,,65.459,,,42.956
1998-07-01,,,40.35,,,74.23,,,67.548,,,45.091
1999-07-01,,,43.497,,,79.419,,,68.817,,,47.916
2000-07-01,,,44.718,,,84.043,,,68.768,,,49.995
2001-07-01,,,43.191,,,78.607,,,67.864,,,49.193
2002-07-01,,,41.88,,,75.931,,,67.669,,,47.763
2003-07-01,,,41.823,,,78.581,,,67.404,,,46.552
2004-07-01,,,41.341,,,78.993,,,67.187,,,47.078
2005-07-01,,,41.001,,,81.175,,,67.476,,,47.789
2006-07-01,,,41.143,,,82.672,,,67.467,,,48.623
2007-07-01,,,42.445,,,82.726,,,68.731,,,48.406
2008-07-01,,,41.239,,,79.105,,,66.924,,,45.692
2009-07-01,,,39.407,,,79.178,,,65.865,,,46.004
2010-07-01,,,38.22,,,76.453,,,64.794,,,44.772
2011-07-01,,,37.173,,,75.12,,,63.912,,,44.549
2012-07-01,,,37.635,,,77.523,,,64.391,,,44.055
2013-07-01,,39.315,38.507,,80.562,74.643,,67.146,64.854,,44.171,45.592
2014-07-01,,38.742,,,81.315,,,65.948,,,46.505,
2015-07-01,,40.314,,,84.31,,,68.778,,,49.328,
2016-07-01,,42.596,,,87.837,,,70.157,,,51.425,
2017-07-01,41.568,42.511,,85.946,85.882,,72.005,71.958,,52.974,53.311,
2018-07-01,42.636,,,89.882,,,72.82,,,53.036,,
2019-07-01,46.005,,,99.4,,,77.007,,,56.814,,
2020-07-01,45.87,,,94.903,,,74.912,,,55.321,,
