date,DPI,CE,GDP,RealPC_Tot,RealPC_ExAutoGas,RealPC_Nonstore
1992-01-01,40.7991,46.7634,30.1746,1274.87,911.805,43.3773
1992-02-01,40.5239,46.5971,30.021,1270.51,909.725,40.672
1992-03-01,40.2533,46.2414,29.751,1261.79,904.655,40.0694
1992-04-01,40.3532,46.4488,29.8227,1267.05,906.89,42.5623
1992-05-01,40.2508,46.3077,29.7593,1268.25,905.676,44.0449
1992-06-01,40.1959,46.3116,29.7485,1270.28,903.015,44.758
1992-07-01,40.5047,46.4769,29.906,1277.47,905.651,46.0846
1992-08-01,40.1993,46.1742,29.6795,1270.67,910.302,44.9396
1992-09-01,40.8064,46.3504,29.8626,1282.26,907.435,44.718
1992-10-01,41.3506,46.5083,29.999,1289.47,914.318,44.2836
1992-11-01,41.2222,46.3549,29.839,1286.04,913.209,44.1571
1992-12-01,40.1077,46.4047,30.0476,1294.57,917.849,43.5251
1993-01-01,41.343,46.8587,30.2983,1304.08,924.545,44.1542
1993-02-01,40.9249,46.5194,30.1076,1295.86,918.548,44.6
1993-03-01,40.6869,46.2306,29.7839,1283.12,911.733,46.1958
1993-04-01,41.4334,47.0073,30.4495,1312.11,922.368,44.8521
1993-05-01,41.5718,46.9323,30.4823,1313.2,924.939,46.1699
1993-06-01,41.6489,46.762,30.3837,1311.74,923.758,44.6704
1993-07-01,42.1509,47.2117,30.7663,1329.33,930.881,45.4697
1993-08-01,41.8777,46.9259,30.5546,1321.07,925.506,45.535
1993-09-01,42.2776,46.9751,30.5992,1328.52,932.754,47.4892
1993-10-01,42.5863,47.0146,30.5753,1330.29,931.266,47.5371
1993-11-01,42.9069,47.3665,30.7553,1342.68,933.883,49.298
1993-12-01,41.7874,47.5357,30.8316,1350.96,937.418,48.0318
1994-01-01,42.2302,47.008,30.436,1338.45,930.531,50.2919
1994-02-01,42.87,47.4296,30.8786,1360.15,941.002,49.7332
1994-03-01,43.4553,48.228,31.2966,1381.89,956.323,50.1704
1994-04-01,43.335,47.8921,31.0568,1376.68,951.631,50.829
1994-05-01,42.5939,47.7009,30.7357,1367.38,948.742,49.9315
1994-06-01,43.0575,47.8582,30.9774,1378.64,957.066,50.7629
1994-07-01,42.9451,47.8061,30.9015,1374.73,956.407,51.104
1994-08-01,43.412,48.067,31.2267,1389.79,962.352,51.892
1994-09-01,43.5859,48.3979,31.3466,1399.92,964.809,50.9856
1994-10-01,43.4004,48.3487,31.3866,1405.76,968.976,51.6157
1994-11-01,43.4343,48.348,31.2946,1405.46,964.717,50.8617
1994-12-01,43.3249,48.3159,31.2836,1406.97,970.12,51.2083
1995-01-01,43.3142,48.4604,31.3455,1409.86,972.874,51.0164
1995-02-01,42.5266,47.7619,30.7993,1385.79,957.93,51.4785
1995-03-01,42.7949,47.942,31.0553,1397.09,963.048,50.793
1995-04-01,43.0299,47.9269,30.9957,1393.04,961.725,51.646
1995-05-01,43.1322,48.1788,31.351,1409.12,966.64,52.89
1995-06-01,43.4663,48.3093,31.5769,1422.76,968.73,52.364
1995-07-01,43.0414,48.0732,31.2367,1410.43,968.185,52.6389
1995-08-01,43.3457,48.2074,31.4057,1419.73,968.733,53.6534
1995-09-01,43.2325,48.1237,31.3245,1418.95,976.667,54.6473
1995-10-01,42.9155,48.0098,31.0892,1408.6,965.293,53.3255
1995-11-01,43.4304,48.3139,31.4251,1428.04,980.179,56.2111
1995-12-01,43.3945,48.0311,31.3713,1427.55,982.401,58.4575
1996-01-01,43.1911,48.0858,31.2067,1421.59,969.348,56.1193
1996-02-01,43.4412,48.365,31.55,1439.63,976.136,57.5713
1996-03-01,43.3343,48.1669,31.4492,1439.36,979.572,58.2678
1996-04-01,43.8117,48.2248,31.4805,1445.05,983.615,58.3146
1996-05-01,43.575,48.5069,31.5441,1453.96,986.043,57.6676
1996-06-01,42.9719,48.0649,31.1652,1440.89,985.143,58.1313
1996-07-01,43.2761,48.1715,31.2392,1445.56,985.303,58.1647
1996-08-01,43.1329,47.9648,31.1158,1442.67,990.159,57.8035
1996-09-01,43.3998,48.3102,31.3033,1453.25,990.977,59.273
1996-10-01,43.7406,48.5378,31.4752,1462.85,995.928,59.8644
1996-11-01,43.4753,48.251,31.26,1456.36,997.385,62.6018
1996-12-01,43.3875,48.1214,31.2064,1456.91,996.574,63.0276
1997-01-01,43.7007,48.3723,31.4286,1470.19,998.982,60.1224
1997-02-01,43.7851,48.4922,31.5097,1475.72,1004.15,61.2298
1997-03-01,43.8545,48.6644,31.5432,1483.56,1013.88,61.827
1997-04-01,43.1373,47.9015,30.8866,1458.83,998.64,62.5974
1997-05-01,42.9405,47.8597,30.6762,1457.03,1005.13,62.2831
1997-06-01,43.2315,48.1012,30.8492,1470.08,1008.63,62.7258
1997-07-01,43.5785,48.2232,31.0606,1485.88,1015.31,63.0044
1997-08-01,43.3435,47.9223,30.9072,1483.86,1015.76,62.0225
1997-09-01,43.3948,48.0948,30.9768,1487.83,1017.33,63.0627
1997-10-01,43.0856,47.7432,30.8262,1482.96,1016.91,62.0025
1997-11-01,42.6944,47.4225,30.6257,1477.62,1014.9,62.9442
1997-12-01,42.743,47.4839,30.716,1486.61,1017.74,61.8706
1998-01-01,42.4847,47.6537,30.697,1489.35,1025.51,61.2602
1998-02-01,42.1951,47.3276,30.5527,1487.61,1029.8,63.031
1998-03-01,42.1549,47.3484,30.5887,1493.65,1029.93,63.7252
1998-04-01,42.6178,47.7692,30.9437,1513.51,1038.9,63.8489
1998-05-01,42.4916,47.4815,30.9034,1513.82,1039.3,66.0855
1998-06-01,42.6928,47.6605,31.0248,1528.09,1041.98,65.1383
