date,DPI,CE,GDP,RealPC_Tot,RealPC_ExAutoGas,RealPC_Nonstore
1992-01-01,40.5254,46.534,29.9822,1296.89,928.656,42.2802
1992-04-01,40.2666,46.356,29.7768,1296.35,925.044,44.7487
1992-07-01,40.5035,46.3338,29.816,1304.8,927.703,46.2397
1992-10-01,40.8935,46.4226,29.9619,1318.32,935.193,44.9532
1993-01-01,40.9849,46.5362,30.0633,1322.74,938.413,45.9698
1993-04-01,41.5514,46.9005,30.4385,1341.13,943.944,46.2227
1993-07-01,42.1021,47.0376,30.64,1355.39,950.102,47.177
1993-10-01,42.4269,47.3056,30.7207,1370.72,954.675,49.3479
1994-01-01,42.8518,47.5552,30.8704,1389.99,963.29,51.1631
1994-04-01,42.9955,47.817,30.9233,1404.37,973.367,51.6154
1994-07-01,43.3144,48.0903,31.1583,1418.59,982.268,52.4528
1994-10-01,43.3865,48.3375,31.3216,1436.9,989.164,52.352
1995-01-01,42.8785,48.0548,31.0667,1428.23,985.771,52.2165
1995-04-01,43.2095,48.1383,31.3079,1439.19,986.876,53.4469
1995-07-01,43.2065,48.1348,31.3223,1447.43,992.493,54.823
1995-10-01,43.2468,48.1183,31.2952,1452.57,997.36,57.226
1996-01-01,43.3222,48.2059,31.402,1464.97,996.4,58.5764
1996-04-01,43.4529,48.2655,31.3966,1478.36,1006.53,59.3105
1996-07-01,43.2696,48.1489,31.2194,1478.9,1010.5,59.6947
1996-10-01,43.5345,48.3034,31.3139,1490.69,1018.48,63.1872
1997-01-01,43.7801,48.5096,31.4938,1508.87,1027.73,62.3987
1997-04-01,43.1031,47.9541,30.804,1494.04,1026.15,63.9068
1997-07-01,43.4389,48.0801,30.9816,1518.44,1038.42,64.0714
1997-10-01,42.841,47.5499,30.7226,1514.9,1038.81,63.638
1998-01-01,42.2782,47.4432,30.6128,1522.88,1050.97,64.0465
1998-04-01,42.6007,47.6371,30.9573,1551.77,1062.87,66.4501
1998-07-01,41.994,46.8151,30.4122,1540.06,1069.45,67.6818
1998-10-01,42.7859,47.3704,30.7455,1576.08,1082.77,68.013
1999-01-01,43.1027,47.7409,30.9538,1600.65,1098.98,70.0978
1999-04-01,43.7731,47.7846,31.237,1622.16,1106.83,73.2788
1999-07-01,44.1462,47.9937,31.3699,1642.32,1112.53,75.4499
1999-10-01,44.2357,48.0113,31.4016,1662.03,1128.41,77.1443
2000-01-01,44.2371,48.1236,31.7914,1686.79,1133.26,82.1031
