date,DI_SAVE_RT_2,DI_SAVE_RT_3,DI_SAVE_RT_4,DI_SAVE_RT_5,DI_SAVE_RT_6
1989-01-01,-45.0072,-25.8442,-3.759,22.4098,145.0072
1990-01-01,-49.7079,-26.3769,-1.5716,29.2003,132.9903
1991-01-01,-51.8924,-26.7801,-1.518,31.872,150.9735
1992-01-01,-44.4228,-29.8658,-9.3826,29.3691,154.1275
1993-01-01,-48.4705,-28.4446,-2.9358,31.86,155.7097
1994-01-01,-52.9172,-30.7654,-7.2585,26.7127,167.9737
1995-01-01,-48.9571,-34.4398,-3.5697,35.5662,152.3897
1996-01-01,-53.0131,-35.4008,-9.9829,26.9073,145.5259
1997-01-01,-46.6631,-31.194,-3.9286,32.5693,155.0053
1998-01-01,-46.6767,-27.3133,1.1779,37.0727,155.7895
1999-01-01,-45.6122,-30.8406,-1.7881,37.93,172.4636
2000-01-01,-47.4628,-32.1004,-3.9033,36.5892,167.026
2001-01-01,-48.705,-24.2772,5.5495,46.0511,186.5755
2002-01-01,-46.9485,-22.7803,8.1781,51.3698,203.0244
2003-01-01,-43.7759,-22.2276,13.0922,60.3441,216.1315
2004-01-01,-35.7561,-9.7932,29.6898,75.5795,227.0487
2005-01-01,-37.2503,-9.2807,23.6498,69.8315,255.1541
2006-01-01,-38.8411,-8.969,22.686,73.6705,235.0233
2007-01-01,-35.5914,-7.454,23.1431,71.0289,253.4923
2008-01-01,-42.4255,-8.5854,29.3814,77.2199,256.6843
2009-01-01,-42.9621,-9.7704,28.1056,79.1045,267.5698
2010-01-01,-40.3438,-7.2842,27.6356,84.6715,272.5745
2011-01-01,-43.5728,-12.7416,24.2497,78.176,275.0132
2012-01-01,-42.9455,-12.6565,26.5432,75.1278,271.5339
2013-01-01,-43.1105,-15.6503,15.7623,53.2876,178.8981
2014-01-01,-43.6335,-15.7371,9.1759,52.3957,176.2796
2015-01-01,-41.4914,-15.6316,15.4828,52.7943,161.3459
2016-01-01,-40.9968,-18.5241,12.881,58.1897,204.2154
2017-01-01,-42.525,-21.3392,9.0551,53.9894,156.0263
2018-01-01,-42.0024,-20.8009,12.1685,56.1643,184.6841
2019-01-01,-44.3719,-16.1201,12.0789,57.7877,199.5831
2020-01-01,-36.7057,-4.6834,29.8801,73.4868,223.5091
2021-01-01,-38.838,-12.1082,25.8769,72.8705,206.8337
2022-01-01,-39.333,-15.7905,15.9486,68.3844,195.5978
2023-01-01,-40.5069,-14.2468,15.7745,66.1724,204.4908
2024-01-01,-38.1853,-10.7641,19.322,66.9711,191.9221
