date,INC
1989-01-01,3404134.8
1989-02-01,3395566.0
1989-03-01,3533594.2
1989-04-01,3328143.2
1989-05-01,3484437.5
1989-06-01,3327464.8
1989-07-01,3488430.2
1989-08-01,3506214.2
1989-09-01,3433014.5
1989-10-01,3414604.5
1989-11-01,3464663.0
1989-12-01,3485666.8
1990-01-01,3388190.8
1990-02-01,3380525.2
1990-03-01,3364054.8
1990-04-01,3316086.5
1990-05-01,3415315.0
1990-06-01,3402620.5
1990-07-01,3661615.5
1990-08-01,3629737.0
1990-09-01,3650486.2
1990-10-01,3463391.8
1990-11-01,3417149.8
1990-12-01,3222419.2
1991-01-01,3299603.0
1991-02-01,3248138.2
1991-03-01,3370777.5
1991-04-01,3293230.5
1991-05-01,3436733.8
1991-06-01,3422247.8
1991-07-01,3434566.0
1991-08-01,3442176.2
1991-09-01,3330874.8
1991-10-01,3401640.0
1991-11-01,3405510.5
1991-12-01,3337759.2
1992-01-01,3538927.8
1992-02-01,3308517.5
1992-03-01,3559173.5
1992-04-01,3574018.0
1992-05-01,3565652.8
1992-06-01,3661668.5
1992-07-01,3643653.5
1992-08-01,3479166.8
1992-09-01,3455365.8
1992-10-01,3365185.2
1992-11-01,3498320.8
1992-12-01,3635712.0
1993-01-01,3568865.5
1993-02-01,3593701.8
1993-03-01,3605138.0
1993-04-01,3454233.5
1993-05-01,3449197.0
1993-06-01,3495176.0
1993-07-01,3538044.0
1993-08-01,3497025.5
1993-09-01,3530790.8
1993-10-01,3526194.8
1993-11-01,3682537.0
1993-12-01,3614213.8
1994-01-01,4165944.5
1994-02-01,4214482.5
1994-03-01,4202440.0
1994-04-01,4344317.5
1994-05-01,4157086.0
1994-06-01,4207310.0
1994-07-01,4132305.0
1994-08-01,4181106.2
1994-09-01,4298504.0
1994-10-01,4373525.5
1994-11-01,4549041.5
1994-12-01,4498667.0
1995-01-01,4406431.0
1995-02-01,4459766.0
1995-03-01,4289768.0
1995-04-01,4504320.5
1995-05-01,4444143.5
1995-06-01,4383472.5
1995-07-01,4488063.0
1995-08-01,4511201.5
1995-09-01,4074746.0
1995-10-01,3838854.8
1995-11-01,3753881.0
1995-12-01,3493646.5
1996-01-01,3681508.8
1996-02-01,3811355.8
1996-03-01,3744557.0
1996-04-01,3771503.5
1996-05-01,3808055.5
1996-06-01,4086001.0
1996-07-01,4271331.5
1996-08-01,4329628.5
1996-09-01,4504931.0
1996-10-01,4519758.0
1996-11-01,4557028.0
1996-12-01,4409814.5
1997-01-01,4269994.0
1997-02-01,4236309.0
1997-03-01,4179119.5
1997-04-01,4273014.0
1997-05-01,4324106.5
1997-06-01,4233719.0
1997-07-01,4274076.0
1997-08-01,4443179.0
1997-09-01,4591898.5
1997-10-01,4469442.0
1997-11-01,4582264.0
1997-12-01,4378095.0
1998-01-01,4178327.5
1998-02-01,4278151.0
1998-03-01,4252098.5
1998-04-01,4253728.0
1998-05-01,4174021.5
1998-06-01,4125132.2
1998-07-01,4294246.5
1998-08-01,4313349.0
1998-09-01,4300761.5
1998-10-01,4553784.5
1998-11-01,4431829.0
1998-12-01,4314822.5
1999-01-01,4332093.0
1999-02-01,4247252.0
1999-03-01,4068245.8
1999-04-01,4155978.0
1999-05-01,4333935.0
1999-06-01,4355588.0
1999-07-01,4392774.5
1999-08-01,4325973.0
1999-09-01,4373013.0
1999-10-01,4408509.5
1999-11-01,4361119.0
1999-12-01,4283290.5
2000-01-01,4312204.0
2000-02-01,4384003.0
2000-03-01,4381919.0
2000-04-01,4355786.0
2000-05-01,4309332.0
2000-06-01,4367431.0
2000-07-01,4545890.0
2000-08-01,4560512.0
2000-09-01,4648421.0
2000-10-01,4517189.5
2000-11-01,4487947.5
2000-12-01,4465655.0
