date,W023RC,B089RC,W070RC,W071RC,B245RC,B248RC,LA000355,Other
1989-01-01,12.1369,1.61009,8.73444,2.0571,1.83789,2.09181,2.63074,1.79235
1989-04-01,12.1299,1.58804,8.74415,2.10722,1.88568,2.09605,2.64551,1.79771
1989-07-01,12.0916,1.66736,8.6248,2.01065,1.79342,2.09537,2.66197,1.79941
1989-10-01,11.9557,1.64489,8.50257,1.95583,1.73673,2.03861,2.68616,1.80819
1990-01-01,12.1735,1.70135,8.68496,2.0323,1.81583,2.15564,2.66983,1.78722
1990-04-01,12.1151,1.73147,8.6137,2.05675,1.83744,2.06442,2.67871,1.76994
1990-07-01,12.2292,1.75373,8.68344,2.05685,1.84121,2.10127,2.70922,1.79204
1990-10-01,12.4505,1.81239,8.83888,2.07473,1.85645,2.10287,2.77654,1.7992
1991-01-01,12.5107,1.91587,8.77011,2.00829,1.78868,2.07914,2.83233,1.82475
1991-04-01,12.5609,1.96737,8.78304,2.03166,1.8153,2.05043,2.85097,1.81047
1991-07-01,12.7023,2.04693,8.85086,2.03201,1.80838,2.08104,2.86727,1.80455
1991-10-01,12.873,2.12135,8.94584,2.06654,1.84342,2.10533,2.88505,1.8058
1992-01-01,12.8242,2.14014,8.88739,2.00459,1.77137,2.10006,2.87684,1.79669
1992-04-01,12.8682,2.14846,8.96075,2.11613,1.88939,2.08385,2.85334,1.759
1992-07-01,12.8451,2.20883,8.89441,2.0828,1.85689,2.08591,2.82438,1.74185
1992-10-01,12.7482,2.19251,8.82614,2.09506,1.86506,2.07586,2.77747,1.7296
1993-01-01,12.6884,2.21085,8.75295,2.03086,1.80943,2.07896,2.74768,1.7246
1993-04-01,12.7162,2.22327,8.77965,2.03046,1.82037,2.08546,2.72559,1.71331
1993-07-01,12.8348,2.28439,8.83899,2.08636,1.86953,2.11335,2.7259,1.7114
1993-10-01,12.9496,2.35933,8.89433,2.07824,1.86098,2.10319,2.72247,1.69591
1994-01-01,12.8302,2.28224,8.85416,2.06483,1.84656,2.10733,2.74929,1.6938
1994-04-01,12.748,2.27561,8.78152,1.95832,1.7354,2.12865,2.74596,1.69083
1994-07-01,12.8836,2.28171,8.90163,2.06192,1.84259,2.14056,2.74248,1.70028
1994-10-01,12.8501,2.31798,8.82435,2.03824,1.83392,2.15104,2.70671,1.70781
1995-01-01,12.9477,2.3342,8.88327,2.08624,1.86942,2.15828,2.67497,1.73026
1995-04-01,12.7837,2.30574,8.7269,2.0107,1.79557,2.15237,2.6584,1.75108
1995-07-01,12.8493,2.28853,8.79935,2.09117,1.87737,2.14745,2.63872,1.76137
1995-10-01,12.7617,2.20893,8.78195,2.08948,1.87791,2.15215,2.63525,1.7708
1996-01-01,12.8602,2.25135,8.8333,2.10131,1.89362,2.1739,2.64098,1.77553
1996-04-01,12.8594,2.3089,8.7884,2.06558,1.86277,2.16405,2.62441,1.76214
1996-07-01,12.7747,2.24904,8.7643,2.08233,1.87971,2.15012,2.63,1.76139
1996-10-01,12.7049,2.18323,8.77409,2.10788,1.91077,2.15382,2.62631,1.7476
1997-01-01,12.7374,2.20736,8.78481,2.12594,1.92195,2.15263,2.6311,1.74527
1997-04-01,12.5888,2.16266,8.70046,2.07701,1.87317,2.14396,2.61387,1.72568
1997-07-01,12.6414,2.16411,8.72984,2.12487,1.92497,2.14428,2.59556,1.74749
1997-10-01,12.6878,2.23897,8.75679,2.15836,1.95773,2.1501,2.58464,1.69203
1998-01-01,12.6972,2.22576,8.7951,2.2056,2.00426,2.14805,2.56948,1.67637
1998-04-01,12.6764,2.19639,8.82299,2.24582,2.04273,2.14744,2.55971,1.657
1998-07-01,12.6291,2.21232,8.75816,2.21022,2.01055,2.16272,2.54241,1.65859
1998-10-01,12.7096,2.22777,8.71174,2.21958,2.02025,2.14548,2.52544,1.77008
1999-01-01,12.6816,2.28141,8.7196,2.21178,2.01153,2.14959,2.52934,1.68057
1999-04-01,12.6249,2.2234,8.71584,2.19812,2.00017,2.16936,2.53289,1.68564
1999-07-01,12.7413,2.30342,8.74651,2.23425,2.03811,2.17782,2.52326,1.6914
1999-10-01,12.7075,2.29259,8.72256,2.26218,2.06911,2.16558,2.49941,1.69238
2000-01-01,12.8036,2.24424,8.81577,2.32103,2.12656,2.18828,2.50313,1.74355
2000-04-01,12.718,2.21893,8.77067,2.37428,2.18611,2.16452,2.47135,1.72838
2000-07-01,12.7128,2.32117,8.66231,2.29297,2.10355,2.14494,2.48216,1.72935
2000-10-01,12.6322,2.30995,8.61099,2.24976,2.06636,2.14095,2.48125,1.71131
2001-01-01,12.8981,2.42573,8.76905,2.39648,2.2121,2.15039,2.49973,1.70327
2001-04-01,12.9009,2.47392,8.75638,2.45209,2.26523,2.09611,2.50363,1.6706
2001-07-01,12.6614,2.43881,8.51031,2.18827,2.00175,2.08124,2.54608,1.71224
2001-10-01,12.697,2.53621,8.52644,2.15137,1.96515,2.10636,2.58104,1.63438
2002-01-01,12.6674,2.57181,8.48528,2.10841,1.92378,2.05605,2.60871,1.61036
2002-04-01,12.5627,2.62443,8.34418,1.96864,1.77839,2.02223,2.63546,1.59405
2002-07-01,12.7345,2.67962,8.47371,1.99219,1.80374,2.03071,2.65863,1.58117
2002-10-01,12.7662,2.68877,8.51088,1.9786,1.78946,2.0355,2.68122,1.56655
2003-01-01,12.7307,2.68156,8.50974,1.94965,1.75862,2.03528,2.69016,1.53937
2003-04-01,12.7779,2.85749,8.39378,1.83766,1.64438,2.04688,2.69376,1.5266
2003-07-01,12.9281,2.8496,8.5689,2.02449,1.82894,2.04943,2.67141,1.50955
2003-10-01,12.89,2.83985,8.54263,2.03629,1.84342,2.01349,2.66187,1.50754
2004-01-01,12.9052,2.75072,8.63873,2.00466,1.80388,2.06964,2.66573,1.51576
2004-04-01,12.856,2.74783,8.58814,1.93472,1.73734,2.06262,2.66622,1.52005
2004-07-01,12.862,2.66893,8.67114,2.01299,1.81479,2.04732,2.67106,1.52189
2004-10-01,13.0505,2.7143,8.81092,2.09004,1.8895,2.07108,2.67443,1.52526
2005-01-01,13.1424,2.67522,8.94894,2.10989,1.90878,2.07154,2.67873,1.51821
2005-04-01,13.1678,2.66836,8.97112,2.09279,1.89178,2.10062,2.6967,1.52835
2005-07-01,13.1269,2.60633,8.98612,2.09968,1.89912,2.09103,2.6972,1.53448
2005-10-01,13.222,2.59017,9.08105,2.14035,1.93982,2.10358,2.7018,1.55076
2006-01-01,13.1483,2.5001,9.0984,2.16877,1.97111,2.1207,2.68413,1.54979
2006-04-01,13.2208,2.483,9.18015,2.25458,2.0583,2.12057,2.69814,1.5576
2006-07-01,13.1812,2.50812,9.10856,2.1466,1.95296,2.14652,2.72668,1.56451
