name,adults,elderly,kids,Total,label,empty
Medical Expenses,3.5291,2.2106,1.6306,7.3703,7.4,-0.01
FICA,2.8017,0.2213,1.5242,4.5472,4.5,-0.01
Work Expenses,2.1799,0.2103,1.0981,3.4883,3.5,-0.01
Federal Income Tax,0.9959,0.1443,0.2301,1.3703,1.4,-0.01
Child Support Paid,0.1373,0.0004,0.0492,0.1869,0.2,-0.01
Utilities Assistance,-0.1057,-0.086,-0.0581,-0.2499,-0.2,0.01
WIC,-0.1011,-0.0059,-0.1881,-0.2951,-0.3,0.01
TANF/General Assistance,-0.1505,-0.0151,-0.1651,-0.3307,-0.3,0.01
Unemployment Insurance,-0.2483,-0.0602,-0.1322,-0.4407,-0.4,0.01
Child Support Received,-0.236,-0.002,-0.366,-0.604,-0.6,0.01
School Lunch,-0.4372,-0.0345,-0.7385,-1.2102,-1.2,0.01
Housing Subsidies,-0.8981,-0.6041,-0.6778,-2.18,-2.2,0.01
SSI,-1.588,-0.5286,-0.3899,-2.5065,-2.5,0.01
SNAP,-1.5404,-0.5738,-1.4708,-3.585,-3.6,0.01
Refundable Tax Credits,-2.8461,-0.0849,-3.8718,-6.8028,-6.8,0.01
Social Security,-7.0566,-20.0271,-1.5404,-28.6241,-28.6,0.01
