date,Value
2012-01-03,1.95
2012-01-04,1.98
2012-01-05,2
2012-01-06,1.96
2012-01-09,1.97
2012-01-10,1.98
2012-01-11,1.91
2012-01-12,1.91
2012-01-13,1.86
2012-01-17,1.84
2012-01-18,1.89
2012-01-19,1.96
2012-01-20,2
2012-01-23,2.05
2012-01-24,2.04
2012-01-25,1.97
2012-01-26,1.91
2012-01-27,1.87
2012-01-30,1.82
2012-01-31,1.77
2012-02-01,1.81
2012-02-02,1.78
2012-02-03,1.89
2012-02-06,1.85
2012-02-07,1.92
2012-02-08,1.92
2012-02-09,1.95
2012-02-10,1.87
2012-02-13,1.88
2012-02-14,1.8
2012-02-15,1.82
2012-02-16,1.89
2012-02-17,1.92
2012-02-21,1.97
2012-02-22,1.92
2012-02-23,1.9
2012-02-24,1.88
2012-02-27,1.8
2012-02-28,1.84
2012-02-29,1.9
2012-03-01,1.95
2012-03-02,1.92
2012-03-05,1.92
2012-03-06,1.88
2012-03-07,1.9
2012-03-08,1.95
2012-03-09,1.95
2012-03-12,1.95
2012-03-13,2.06
2012-03-14,2.2
2012-03-15,2.21
2012-03-16,2.22
2012-03-19,2.29
2012-03-20,2.28
2012-03-21,2.22
2012-03-22,2.21
2012-03-23,2.17
2012-03-26,2.17
2012-03-27,2.11
2012-03-28,2.12
2012-03-29,2.11
2012-03-30,2.16
2012-04-02,2.14
2012-04-03,2.22
2012-04-04,2.17
2012-04-05,2.11
2012-04-06,2
2012-04-09,1.97
2012-04-10,1.92
2012-04-11,1.96
2012-04-12,1.99
2012-04-13,1.93
2012-04-16,1.92
2012-04-17,1.95
2012-04-18,1.93
2012-04-19,1.91
2012-04-20,1.91
2012-04-23,1.88
2012-04-24,1.91
2012-04-25,1.92
2012-04-26,1.89
2012-04-27,1.87
2012-04-30,1.85
2012-05-01,1.89
2012-05-02,1.88
2012-05-03,1.87
2012-05-04,1.84
2012-05-07,1.82
2012-05-08,1.79
2012-05-09,1.78
2012-05-10,1.79
2012-05-11,1.74
2012-05-14,1.68
2012-05-15,1.67
2012-05-16,1.66
2012-05-17,1.6
2012-05-18,1.63
2012-05-21,1.66
2012-05-22,1.7
2012-05-23,1.64
2012-05-24,1.67
2012-05-25,1.66
2012-05-29,1.65
2012-05-30,1.56
2012-05-31,1.52
2012-06-01,1.4
2012-06-04,1.45
2012-06-05,1.49
2012-06-06,1.57
2012-06-07,1.57
2012-06-08,1.56
2012-06-11,1.51
2012-06-12,1.57
2012-06-13,1.51
2012-06-14,1.53
2012-06-15,1.51
2012-06-18,1.49
2012-06-19,1.55
2012-06-20,1.56
2012-06-21,1.54
2012-06-22,1.6
2012-06-25,1.53
2012-06-26,1.56
2012-06-27,1.56
2012-06-28,1.51
2012-06-29,1.58
2012-07-02,1.51
2012-07-03,1.56
