Date,Number,Average amount
1988-01-01,38225519,$461.61
1988-02-01,38250029,$462.43
1988-03-01,38305065,$462.67
1988-04-01,38355693,$462.90
1988-05-01,38402109,$463.10
1988-06-01,38420542,$463.55
1988-07-01,38385661,$464.26
1988-08-01,38459316,$464.51
1988-09-01,38533698,$464.79
1988-10-01,38598640,$465.00
1988-11-01,38612982,$465.17
1988-12-01,38612903,$484.01
1989-01-01,38607442,$484.29
1989-02-01,38647996,$485.31
1989-03-01,38694122,$485.53
1989-04-01,38762164,$485.77
1989-05-01,38822835,$486.00
1989-06-01,38859147,$486.43
1989-07-01,38849512,$487.14
1989-08-01,38926006,$487.44
1989-09-01,39002498,$487.72
1989-10-01,39063368,$488.47
1989-11-01,39092372,$488.63
1989-12-01,39141080,$511.89
1990-01-01,39147505,$512.21
1990-02-01,39208062,$512.49
1990-03-01,39273691,$512.75
1990-04-01,39356076,$512.97
1990-05-01,39431591,$513.37
1990-06-01,39470405,$513.83
1990-07-01,39482772,$514.59
1990-08-01,39572230,$514.94
1990-09-01,39667096,$515.22
1990-10-01,39729896,$515.45
1990-11-01,39772133,$516.39
1990-12-01,39824692,$544.52
1991-01-01,39816427,$544.58
1991-02-01,39853950,$544.70
1991-03-01,39942112,$544.98
1991-04-01,40036045,$545.22
1991-05-01,40112403,$545.43
1991-06-01,40172380,$545.89
1991-07-01,40198702,$546.60
1991-08-01,40301458,$546.91
1991-09-01,40400094,$547.12
1991-10-01,40472579,$547.30
1991-11-01,40492133,$548.16
1991-12-01,40586874,$568.55
1992-01-01,40550935,$568.45
1992-02-01,40643800,$568.65
1992-03-01,40746109,$568.84
1992-04-01,40856764,$568.98
1992-05-01,40951976,$569.11
1992-06-01,41029432,$569.52
1992-07-01,41071468,$570.22
1992-08-01,41185507,$570.49
1992-09-01,41288396,$570.68
1992-10-01,41363550,$570.77
1992-11-01,41432579,$571.59
1992-12-01,41503506,$588.90
1993-01-01,41464193,$588.69
1993-02-01,41557339,$588.86
1993-03-01,41634750,$589.02
1993-04-01,41715749,$589.18
1993-05-01,41780456,$589.33
1993-06-01,41840193,$589.79
1993-07-01,41870790,$590.53
1993-08-01,41973938,$590.78
1993-09-01,42074956,$590.98
1993-10-01,42136176,$591.12
1993-11-01,42217276,$591.94
1993-12-01,42243262,$607.48
1994-01-01,42195809,$607.30
1994-02-01,42235591,$607.57
1994-03-01,42301932,$607.74
1994-04-01,42391071,$607.86
1994-05-01,42459106,$607.98
1994-06-01,42516490,$608.43
1994-07-01,42533971,$609.26
1994-08-01,42630325,$609.58
1994-09-01,42713069,$609.85
1994-10-01,42776314,$610.02
1994-11-01,42823577,$610.82
1994-12-01,42881850,$628.14
1995-01-01,42835923,$627.99
1995-02-01,42911459,$628.20
1995-03-01,42960588,$628.41
1995-04-01,43021702,$628.66
1995-05-01,43067121,$628.92
1995-06-01,43107602,$629.48
1995-07-01,43119709,$630.41
1995-08-01,43202501,$630.78
1995-09-01,43283288,$631.09
1995-10-01,43343822,$631.28
1995-11-01,43354056,$632.14
1995-12-01,43386232,$648.77
1996-01-01,43242471,$649.43
1996-02-01,43309254,$649.81
1996-03-01,43362571,$650.09
1996-04-01,43416185,$650.27
1996-05-01,43462291,$650.56
1996-06-01,43498146,$651.09
1996-07-01,43565251,$651.64
1996-08-01,43626196,$652.07
1996-09-01,43649017,$652.65
1996-10-01,43701666,$652.85
1996-11-01,43710221,$653.68
1996-12-01,43736183,$672.81
1997-01-01,43557034,$672.69
1997-02-01,43586367,$673.54
1997-03-01,43645764,$673.84
1997-04-01,43728997,$674.17
1997-05-01,43795415,$674.54
1997-06-01,43792551,$675.23
1997-07-01,43786517,$676.25
1997-08-01,43827881,$676.83
1997-09-01,43873097,$677.16
1997-10-01,43932732,$677.45
1997-11-01,43942187,$678.32
1997-12-01,43970692,$692.82
1998-01-01,43788974,$692.72
1998-02-01,43877420,$693.16
1998-03-01,43939389,$693.50
1998-04-01,44018188,$693.84
1998-05-01,44079366,$694.27
1998-06-01,44075580,$694.99
1998-07-01,44064795,$696.01
1998-08-01,44117778,$696.46
1998-09-01,44171651,$696.84
1998-10-01,44208372,$697.14
1998-11-01,44211711,$698.14
1998-12-01,44245506,$707.39
1999-01-01,44168270,$707.56
1999-02-01,44184827,$707.82
1999-03-01,44246769,$708.21
1999-04-01,44306732,$708.64
1999-05-01,44352855,$709.05
1999-06-01,44366526,$709.93
1999-07-01,44334858,$711.03
1999-08-01,44390167,$711.41
1999-09-01,44471328,$711.80
1999-10-01,44515720,$712.16
1999-11-01,44540257,$713.18
1999-12-01,44595481,$730.53
2000-01-01,44453288,$730.68
2000-02-01,44522766,$731.19
2000-03-01,44611155,$731.65
2000-04-01,44707005,$732.21
2000-05-01,45131583,$735.89
2000-06-01,45166596,$737.14
2000-07-01,45162670,$738.46
2000-08-01,45213482,$739.27
2000-09-01,45301599,$739.71
2000-10-01,45351149,$740.13
2000-11-01,45383106,$741.09
2000-12-01,45414705,$767.35
2001-01-01,45459674,$768.29
2001-02-01,45525956,$768.73
2001-03-01,45582245,$769.11
2001-04-01,45641549,$769.51
2001-05-01,45682788,$769.87
2001-06-01,45668601,$770.77
2001-07-01,45618441,$772.66
2001-08-01,45654351,$773.18
2001-09-01,45725877,$773.54
2001-10-01,45775496,$773.90
2001-11-01,45832249,$775.25
2001-12-01,45877465,$795.69
2002-01-01,45925050,$796.72
2002-02-01,45999564,$797.21
2002-03-01,46063633,$797.60
2002-04-01,46128821,$798.06
2002-05-01,46190235,$798.50
2002-06-01,46176425,$799.52
2002-07-01,46139464,$800.76
2002-08-01,46199438,$801.32
2002-09-01,46277280,$801.72
2002-10-01,46345137,$802.09
2002-11-01,46402656,$803.47
2002-12-01,46444296,$815.05
2003-01-01,46464608,$816.04
2003-02-01,46541764,$816.43
2003-03-01,46611633,$816.81
2003-04-01,46700888,$817.26
2003-05-01,46770816,$817.70
2003-06-01,46753392,$818.80
2003-07-01,46727427,$820.04
2003-08-01,46787319,$820.63
2003-09-01,46867748,$821.06
2003-10-01,46932493,$821.50
2003-11-01,46993186,$822.93
2003-12-01,47038475,$840.62
2004-01-01,47066011,$841.88
2004-02-01,47135653,$842.44
2004-03-01,47212225,$842.74
2004-04-01,47300781,$843.07
2004-05-01,47378199,$843.43
2004-06-01,47368570,$844.53
2004-07-01,47330249,$845.83
2004-08-01,47379383,$846.43
2004-09-01,47467774,$846.83
2004-10-01,47533164,$847.20
2004-11-01,47618206,$848.56
2004-12-01,47687713,$871.80
2005-01-01,47821216,$873.12
2005-02-01,47915995,$873.62
2005-03-01,47998570,$873.97
2005-04-01,48086785,$874.38
2005-05-01,48067902,$875.30
2005-06-01,48035288,$876.33
2005-07-01,48110679,$876.73
2005-08-01,48167751,$877.22
2005-09-01,48258085,$877.57
2005-10-01,48328541,$877.89
2005-11-01,48396033,$879.28
2005-12-01,48434436,$915.71
2006-01-01,48540729,$917.30
2006-02-01,48646183,$917.86
2006-03-01,48730487,$918.80
2006-04-01,48805301,$919.37
2006-05-01,48876963,$919.77
2006-06-01,48862860,$921.02
2006-07-01,48802963,$922.32
2006-08-01,48848134,$922.67
2006-09-01,48942696,$922.98
2006-10-01,49015003,$923.25
2006-11-01,49090789,$924.66
2006-12-01,49122826,$955.53
2007-01-01,49247483,$957.24
2007-02-01,49353276,$957.87
2007-03-01,49439472,$958.28
2007-04-01,49536621,$958.82
2007-05-01,49614267,$959.24
2007-06-01,49597688,$960.59
2007-07-01,49552138,$962.14
