name;outer1;range1;rangest;range2;outer2;latest;y
ME;73.65621;0.0;10.638800000000003;3.020629999999997;4.351669999999999;77.90732;0.08
GA;68.44402;0.0;13.455264;3.23329600000001;6.534729999999996;77.89448;-0.92
TX;70.84673;0.0;7.669390000000007;3.427099999999996;9.724090000000004;77.7906;-1.92
HI;63.028824;0.0;15.864896000000002;8.100499999999997;4.673090000000002;77.60043;-2.92
OK;68.671295;0.0;10.092074999999994;3.624165000000005;9.279775;77.55749;-3.92
AL;65.04726;2.8081000000000103;9.491969999999995;4.64264;9.677340000000001;77.34733;-4.92
MI;60.07943;0.0;18.420485999999997;6.367087999999995;6.800306000000006;77.06282;-5.92
UT;73.15519;2.5092700000000008;6.495985999999988;3.9002940000000024;5.606570000000005;77.05158;-6.92
CA;65.38463;0.0;11.204920000000001;3.6389700000000005;11.438789999999997;76.58955;-7.92
SC;67.892525;6.190604999999991;5.104934999999998;6.288299000000009;6.190945999999997;76.39431;-8.92
NV;57.61567;0.0;21.197629999999997;6.306809999999999;6.547200000000004;75.73853;-9.92
KY;67.71832;1.192453999999998;9.658485999999996;2.4260699999999957;10.671980000000005;74.49165;-10.92
LA;66.84855;0.24482600000000332;9.409133999999995;3.699709999999996;11.465090000000004;74.44435;-11.92
AR;67.35667;3.9744460000000004;7.619344000000012;4.093949999999992;8.622900000000001;74.22304;-12.92
NM;65.22312;0.0;10.213210000000004;5.058599999999998;11.172380000000004;74.021164;-13.92
WV;63.20939;4.451803999999996;8.32413600000001;3.375169999999997;12.306809999999999;72.844215;-14.92
MS;62.883003;0.0;10.780967000000004;7.618034999999992;10.385305000000002;69.249054;-15.92
