date,tariff
1989-07-01,3.91
1990-07-01,3.92
1991-07-01,3.95
1992-07-01,3.95
1993-07-01,3.75
1994-07-01,
1995-07-01,2.94
1996-07-01,2.86
1997-07-01,2.6
1998-07-01,3.09
1999-07-01,2.31
2000-07-01,2.1
2001-07-01,2.11
2002-07-01,2.16
2003-07-01,1.96
2004-07-01,1.79
2005-07-01,1.75
2006-07-01,1.7
2007-07-01,1.55
2008-07-01,1.58
2009-07-01,1.71
2010-07-01,1.66
2011-07-01,1.67
2012-07-01,1.67
2013-07-01,1.67
2014-07-01,1.69
2015-07-01,1.69
2016-07-01,1.65
2017-07-01,1.66
2018-07-01,1.59
2019-07-01,13.78
