date,Value
1989-02-15,8.0305
1989-05-16,7.521
1989-08-15,6.9822
1989-11-15,6.613
1990-02-15,6.8392
1990-05-16,6.9091
1990-08-15,6.9032
1990-11-15,6.1962
1991-02-15,5.3991
1991-05-16,4.8717
1991-08-15,4.5746
1991-11-15,4.2689
1992-02-15,4.1712
1992-05-16,4.1131
1992-08-15,3.644
1992-11-15,3.5042
1993-02-15,3.2215
1993-05-16,3.3464
1993-08-15,3.2747
1993-11-15,3.2174
1994-02-15,2.9471
1994-05-16,3.0611
1994-08-15,3.1303
1994-11-15,3.4721
1995-02-15,3.476
1995-05-16,3.2552
1995-08-15,3.2142
1995-11-15,3.1987
1996-02-15,3.0395
1996-05-16,3.3289
1996-08-15,3.4784
1996-11-15,3.7496
1997-02-15,3.7696
1997-05-16,4.2647
1997-08-15,4.0598
1997-11-15,3.8047
1998-02-15,3.784
1998-05-16,3.638
1998-08-15,3.9838
1998-11-15,4.2382
1999-02-15,4.0871
1999-05-16,4.1133
1999-08-15,4.3672
1999-11-15,4.8727
2000-02-15,5.2162
2000-05-16,5.4104
2000-08-15,5.3133
2000-11-15,5.4185
2001-02-15,5.408
2001-05-16,5.1275
2001-08-15,4.2892
2001-11-15,4.0313
2002-02-15,3.3833
2002-05-16,3.6592
2002-08-15,3.8391
2002-11-15,3.3753
2003-02-15,3.1815
2003-05-16,2.9211
2003-08-15,2.8623
2003-11-15,3.0804
2004-02-15,3.3716
2004-05-16,3.5942
2004-08-15,3.5014
2004-11-15,3.7554
2005-02-15,4.0756
2005-05-16,4.01
2005-08-15,4.1478
2005-11-15,4.2788
2006-02-15,4.3572
2006-05-16,4.855
2006-08-15,4.9282
2006-11-15,4.8013
2007-02-15,4.9102
2007-05-16,4.2233
2007-08-15,4.1573
2007-11-15,4.62
2008-02-15,4.0152
2008-05-16,3.8718
2008-08-15,3.3781
2008-11-15,1.1349
2009-02-15,-0.5734
2009-05-16,-0.9852
2009-08-15,-1.4688
2009-11-15,-0.613
2010-02-15,-0.3073
2010-05-16,-0.4249
2010-08-15,-0.7748
2010-11-15,-1.2356
2011-02-15,-1.1796
2011-05-16,-0.7505
2011-08-15,-0.5456
2011-11-15,-0.147
2012-02-15,0.3481
2012-05-16,0.0166
2012-08-15,-0.3085
2012-11-15,-0.1028
2013-02-15,-0.4382
2013-05-16,-0.6403
2013-08-15,-0.2845
2013-11-15,-0.3211
2014-02-15,-0.4558
2014-05-16,0.1024
2014-08-15,0.2151
2014-11-15,0.1027
2015-02-15,-0.0652
2015-05-16,0.1614
2015-08-15,-0.0593
2015-11-15,0.0141
2016-02-15,0.5766
2016-05-16,0.7479
2016-08-15,0.9744
2016-11-15,1.0409
2017-02-15,1.2437
2017-05-16,1.0661
2017-08-15,1.0159
2017-11-15,1.2355
2018-02-15,1.72
2018-05-16,2.1341
2018-08-15,2.0105
2018-11-15,2.1567
2019-02-15,1.9284
2019-05-16,1.8475
2019-08-15,2.2092
2019-11-15,2.1809
2020-02-15,2.0161
2020-05-16,-3.412
2020-08-15,-0.9657
2020-11-15,0.0143
2021-02-15,0.7013
2021-05-16,3.0496
2021-08-15,3.9347
2021-11-15,5.76
2022-02-15,6.674
2022-05-16,6.3157
2022-08-15,6.6237
2022-11-15,6.4016
2023-02-15,6.2681
2023-05-16,5.8305
2023-08-15,4.8956
2023-11-15,3.9289
2024-02-15,3.6582
2024-05-16,3.3508
2024-08-15,3.2344
2024-11-15,3.2972
2025-02-15,3.1379
2025-05-16,3.0595
2025-08-15,3.3219
2025-11-15,3.1537
