date,Manufacturing,Total index
1989-01-01,85.5717,85.208
1989-02-01,84.6159,84.7168
1989-03-01,84.3794,84.7889
1989-04-01,84.3298,84.6158
1989-05-01,83.4995,83.9786
1989-06-01,83.4168,83.7983
1989-07-01,82.223,82.8088
1989-08-01,82.7805,83.4265
1989-09-01,82.3573,82.9458
1989-10-01,81.9434,82.6489
1989-11-01,81.9033,82.7278
1989-12-01,81.7071,82.9946
1990-01-01,81.4572,82.3733
1990-02-01,82.355,82.9404
1990-03-01,82.5485,83.1505
1990-04-01,82.0143,82.7796
1990-05-01,82.0801,82.8617
1990-06-01,82.1517,82.9777
1990-07-01,81.8009,82.6936
1990-08-01,81.9438,82.8569
1990-09-01,81.6691,82.7583
1990-10-01,81.0007,82.1312
1990-11-01,79.9166,81.0047
1990-12-01,79.1848,80.3427
1991-01-01,78.6003,79.9936
1991-02-01,77.9592,79.3375
1991-03-01,77.282,78.8116
1991-04-01,77.5412,78.9476
1991-05-01,77.9946,79.6602
1991-06-01,78.6368,80.229
1991-07-01,78.9618,80.3605
1991-08-01,78.9774,80.2919
1991-09-01,79.6815,80.8617
1991-10-01,79.4934,80.6759
1991-11-01,79.2006,80.4548
1991-12-01,78.8597,79.962
1992-01-01,78.263,79.3991
1992-02-01,78.7873,79.8149
1992-03-01,79.4125,80.3214
1992-04-01,79.657,80.7713
1992-05-01,79.9219,80.8582
1992-06-01,79.9828,80.7276
1992-07-01,80.4907,81.2728
1992-08-01,79.8926,80.6532
1992-09-01,79.8125,80.7402
1992-10-01,80.0829,81.1307
1992-11-01,80.1896,81.2864
1992-12-01,79.9749,81.2604
1993-01-01,80.5752,81.447
1993-02-01,80.6422,81.698
1993-03-01,80.3587,81.502
1993-04-01,80.6174,81.6217
1993-05-01,80.3881,81.1916
1993-06-01,80.1718,81.2566
1993-07-01,80.2108,81.3428
1993-08-01,79.9061,81.1291
1993-09-01,80.3264,81.4164
1993-10-01,80.8363,81.8692
1993-11-01,81.0577,82.0917
1993-12-01,81.3748,82.3931
1994-01-01,81.2636,82.4707
1994-02-01,81.1664,82.3162
1994-03-01,82.0105,82.9362
1994-04-01,82.4819,83.194
1994-05-01,82.71,83.3452
1994-06-01,82.6927,83.6506
1994-07-01,82.7105,83.4915
1994-08-01,83.1498,83.7838
1994-09-01,83.1837,83.7623
1994-10-01,83.6669,84.1694
1994-11-01,84.0372,84.4489
1994-12-01,84.6366,85.0057
1995-01-01,84.4551,84.8791
1995-02-01,83.937,84.4876
1995-03-01,83.8226,84.3121
1995-04-01,83.2033,83.869
1995-05-01,83.1745,83.9723
1995-06-01,83.2176,83.9443
1995-07-01,82.2956,83.2835
1995-08-01,82.8686,84.0464
1995-09-01,83.2066,84.0356
1995-10-01,82.7046,83.5543
1995-11-01,82.3518,83.4004
1995-12-01,82.2036,83.3221
1996-01-01,81.2627,82.5181
1996-02-01,82.0106,83.3398
1996-03-01,81.3651,82.8259
1996-04-01,81.9271,83.2807
1996-05-01,82.1154,83.5058
1996-06-01,82.4336,83.7438
1996-07-01,82.339,83.3555
1996-08-01,82.2645,83.3919
1996-09-01,82.4546,83.5254
1996-10-01,81.9299,83.1236
1996-11-01,82.1957,83.4621
1996-12-01,82.4399,83.5793
1997-01-01,82.1063,83.3331
1997-02-01,82.7727,83.9
1997-03-01,83.102,84.0169
1997-04-01,82.5525,83.6618
1997-05-01,82.6577,83.6984
1997-06-01,82.6645,83.6264
1997-07-01,82.7711,83.8625
1997-08-01,83.2261,84.2102
1997-09-01,83.4117,84.4781
1997-10-01,83.5784,84.6988
1997-11-01,83.7931,84.838
1997-12-01,83.6013,84.6461
1998-01-01,83.6309,84.4813
1998-02-01,83.1536,84.0729
1998-03-01,82.4173,83.5673
1998-04-01,82.1958,83.3178
1998-05-01,82.0714,83.3489
1998-06-01,80.9245,82.3651
1998-07-01,80.0767,81.5837
1998-08-01,81.5394,82.8278
1998-09-01,80.9743,82.3242
1998-10-01,81.2309,82.4996
1998-11-01,80.9059,82.0316
1998-12-01,80.95,81.9904
1999-01-01,80.7611,81.9774
1999-02-01,81.0673,82.0973
1999-03-01,80.691,81.9427
1999-04-01,80.6048,81.8019
1999-05-01,80.8883,81.9895
1999-06-01,80.3507,81.6291
1999-07-01,80.3511,81.8177
1999-08-01,80.5116,81.8764
1999-09-01,79.8433,81.2413
1999-10-01,80.6769,81.9959
1999-11-01,80.8958,82.1417
1999-12-01,81.1389,82.5152
2000-01-01,80.8155,82.1714
2000-02-01,80.673,82.1694
2000-03-01,80.8681,82.2095
2000-04-01,81.0578,82.4575
2000-05-01,80.722,82.4056
2000-06-01,80.5438,82.192
2000-07-01,80.2944,81.7778
2000-08-01,79.45,81.2898
2000-09-01,79.5024,81.3435
2000-10-01,78.8975,80.7922
2000-11-01,78.3798,80.541
2000-12-01,77.6062,80.0006
2001-01-01,77.0005,79.3437
2001-02-01,76.2091,78.571
2001-03-01,75.7582,78.1158
2001-04-01,75.2094,77.5972
2001-05-01,74.572,76.9635
2001-06-01,73.9268,76.3285
2001-07-01,73.3791,75.666
2001-08-01,72.9001,75.3958
2001-09-01,72.4756,74.8236
2001-10-01,72.0344,74.4246
2001-11-01,71.6534,73.8377
2001-12-01,71.6912,73.6627
2002-01-01,72.0943,74.0676
2002-02-01,72.0171,73.9589
2002-03-01,72.4567,74.4162
2002-04-01,72.6281,74.7011
2002-05-01,72.9734,74.9611
2002-06-01,73.6662,75.5385
2002-07-01,73.5774,75.4869
2002-08-01,73.6416,75.3938
2002-09-01,73.6851,75.4687
2002-10-01,73.4516,75.2824
2002-11-01,73.8167,75.7125
2002-12-01,73.3798,75.3132
2003-01-01,73.9732,75.9649
2003-02-01,73.8949,76.0853
2003-03-01,73.9733,75.9063
2003-04-01,73.4179,75.4518
2003-05-01,73.4673,75.4618
2003-06-01,73.8103,75.5816
2003-07-01,74.0636,75.9888
2003-08-01,73.7256,75.8306
2003-09-01,74.3676,76.3383
2003-10-01,74.4694,76.4457
2003-11-01,75.138,76.9771
2003-12-01,75.104,77.0234
2004-01-01,75.0684,77.1612
2004-02-01,75.6575,77.6396
2004-03-01,75.6671,77.3544
2004-04-01,75.9562,77.6821
2004-05-01,76.507,78.257
2004-06-01,76.0064,77.662
2004-07-01,76.6782,78.2429
2004-08-01,77.0196,78.3106
2004-09-01,77.0002,78.3927
2004-10-01,77.6542,79.0638
2004-11-01,77.5865,79.2285
2004-12-01,78.0984,79.8082
2005-01-01,78.4958,80.0413
2005-02-01,79.0333,80.5413
2005-03-01,78.5379,80.3601
2005-04-01,78.7219,80.4339
2005-05-01,78.8058,80.425
2005-06-01,78.7974,80.6702
2005-07-01,78.3584,80.305
