date,Manufacturing,Total index
1989-01-01,84.83,84.88
1989-04-01,83.73,84.11
1989-07-01,82.43,83.04
1989-10-01,81.82,82.76
1990-01-01,82.05,82.76
1990-04-01,81.97,82.78
1990-07-01,81.66,82.65
1990-10-01,79.87,81.02
1991-01-01,77.78,79.24
1991-04-01,77.91,79.49
1991-07-01,79.08,80.4
1991-10-01,79.07,80.27
1992-01-01,78.7,79.75
1992-04-01,79.72,80.67
1992-07-01,79.92,80.76
1992-10-01,79.91,81.08
1993-01-01,80.34,81.39
1993-04-01,80.18,81.18
1993-07-01,79.93,81.11
1993-10-01,80.85,81.91
1994-01-01,81.22,82.35
1994-04-01,82.35,83.16
1994-07-01,82.74,83.44
1994-10-01,83.84,84.31
1995-01-01,83.84,84.36
1995-04-01,83.02,83.78
1995-07-01,82.67,83.68
1995-10-01,82.34,83.36
1996-01-01,81.48,82.84
1996-04-01,82.11,83.47
1996-07-01,82.31,83.38
1996-10-01,82.13,83.34
1997-01-01,82.58,83.68
1997-04-01,82.52,83.57
1997-07-01,83.01,84.07
1997-10-01,83.51,84.59
1998-01-01,82.9,83.89
1998-04-01,81.56,82.86
1998-07-01,80.71,82.11
1998-10-01,80.9,82.05
1999-01-01,80.73,81.91
1999-04-01,80.52,81.73
1999-07-01,80.15,81.57
1999-10-01,80.82,82.14
2000-01-01,80.7,82.11
2000-04-01,80.69,82.28
2000-07-01,79.68,81.41
2000-10-01,78.23,80.39
2001-01-01,76.27,78.63
2001-04-01,74.53,76.93
2001-07-01,72.89,75.27
2001-10-01,71.78,73.96
2002-01-01,72.16,74.12
2002-04-01,73.07,75.05
2002-07-01,73.63,75.44
2002-10-01,73.55,75.44
2003-01-01,73.96,76
2003-04-01,73.59,75.52
2003-07-01,74.09,76.08
2003-10-01,74.95,76.85
2004-01-01,75.53,77.44
2004-04-01,76.22,77.92
2004-07-01,76.98,78.38
2004-10-01,77.87,79.44
2005-01-01,78.78,80.38
2005-04-01,78.86,80.57
2005-07-01,78.26,79.91
2005-10-01,78.95,80.28
2006-01-01,79.26,80.68
2006-04-01,78.99,80.77
2006-07-01,78.77,80.62
2006-10-01,78.58,80.27
2007-01-01,78.9,80.51
2007-04-01,79.35,80.93
2007-07-01,78.83,80.7
2007-10-01,78.74,80.92
2008-01-01,78.26,80.86
2008-04-01,76.7,79.8
2008-07-01,74.08,77.13
2008-10-01,69.86,73.6
2009-01-01,65.3,69.16
2009-04-01,63.78,67.05
2009-07-01,65.4,68.17
2009-10-01,66.78,69.46
2010-01-01,68.15,71.19
2010-04-01,70.2,73.05
2010-07-01,71.31,74.45
2010-10-01,71.94,75.04
2011-01-01,72.73,75.55
2011-04-01,72.82,75.78
2011-07-01,73.55,76.37
2011-10-01,74.09,76.79
2012-01-01,74.84,77.13
2012-04-01,74.69,77.18
2012-07-01,74.25,76.79
2012-10-01,74.26,76.83
2013-01-01,74.62,77.1
2013-04-01,74.58,77.2
2013-07-01,74.63,77.32
2013-10-01,74.99,77.68
2014-01-01,74.88,78.05
2014-04-01,75.9,78.93
2014-07-01,76.36,79.15
2014-10-01,76.67,79.4
2015-01-01,76.26,78.37
2015-04-01,76.37,77.22
2015-07-01,76.64,77.28
2015-10-01,76.14,76.27
2016-01-01,75.94,75.77
2016-04-01,75.6,75.46
2016-07-01,75.5,75.59
2016-10-01,75.6,75.51
2017-01-01,75.73,75.59
2017-04-01,76.56,76.8
2017-07-01,76.45,76.76
2017-10-01,77.53,78.11
2018-01-01,77.86,78.76
2018-04-01,78.46,79.77
2018-07-01,78.86,80.4
2018-10-01,78.57,80.38
2019-01-01,77.68,79.42
2019-04-01,77.13,78.73
2019-07-01,77.07,78.5
2019-10-01,76.77,77.91
2020-01-01,75.88,76.54
2020-04-01,65.89,66.86
2020-07-01,73.63,73.33
2020-10-01,75.41,74.96
2021-01-01,75.59,75.65
2021-04-01,76.9,77.34
2021-07-01,77.66,78.27
2021-10-01,78.78,79.53
2022-01-01,79.33,80.4
2022-04-01,79.77,81.07
2022-07-01,79.64,81.02
2022-10-01,78.85,80.16
2023-01-01,78.69,79.6
2023-04-01,78.41,79.13
2023-07-01,78.08,78.93
2023-10-01,77.56,78.28
2024-01-01,77.15,77.7
2024-04-01,77.15,77.97
2024-07-01,76.75,77.63
2024-10-01,76.17,77.13
2025-01-01,76.57,77.61
2025-04-01,76.71,77.6
2025-08-01,76.76,77.38
