date,Total Balance,Goods Balance,Services Balance,Total Exports,Goods Exports,Services Exports,Total Imports,Goods Imports,Services Imports
2024-01-01,-63925.0,-90735.0,26810.0,261614.0,170031.0,91584.0,325539.0,260766.0,64774.0
2024-02-01,-63253.0,-90018.0,26765.0,268482.0,175003.0,93479.0,331735.0,265021.0,66714.0
2024-03-01,-61925.0,-89983.0,28058.0,265484.0,171232.0,94252.0,327409.0,261215.0,66194.0
2024-04-01,-70870.0,-98446.0,27576.0,267602.0,173479.0,94123.0,338472.0,271925.0,66546.0
2024-05-01,-70299.0,-98244.0,27946.0,266462.0,171044.0,95418.0,336761.0,269289.0,67472.0
2024-06-01,-71344.0,-98760.0,27416.0,269277.0,173502.0,95775.0,340621.0,272262.0,68359.0
2024-07-01,-77000.0,-104126.0,27126.0,271296.0,174610.0,96686.0,348297.0,278736.0,69560.0
2024-08-01,-71161.0,-97905.0,26744.0,275804.0,178079.0,97725.0,346965.0,275984.0,70981.0
2024-09-01,-83301.0,-110716.0,27415.0,273291.0,174966.0,98325.0,356592.0,285682.0,70910.0
2024-10-01,-75788.0,-102829.0,27041.0,269813.0,170966.0,98847.0,345601.0,273795.0,71805.0
2024-11-01,-79756.0,-107072.0,27316.0,276655.0,176707.0,99947.0,356410.0,283779.0,72631.0
2024-12-01,-96849.0,-123951.0,27102.0,270627.0,170109.0,100517.0,367476.0,294061.0,73415.0
2025-01-01,-124704.0,-152761.0,28057.0,274827.0,173046.0,101781.0,399532.0,325808.0,73724.0
2025-02-01,-117069.0,-144284.0,27214.0,280533.0,179391.0,101142.0,397602.0,323674.0,73928.0
2025-03-01,-132983.0,-159453.0,26470.0,283369.0,182864.0,100506.0,416352.0,342316.0,74036.0
2025-04-01,-60341.0,-86585.0,26244.0,290598.0,189917.0,100681.0,350939.0,276502.0,74437.0
2025-05-01,-66748.0,-92774.0,26026.0,282229.0,181784.0,100445.0,348977.0,274558.0,74419.0
2025-06-01,-58697.0,-85639.0,26942.0,281048.0,179101.0,101947.0,339745.0,264739.0,75005.0
2025-07-01,-75062.0,-102645.0,27583.0,284172.0,179320.0,104853.0,359235.0,281965.0,77270.0
2025-08-01,-59642.0,-88194.0,28552.0,284741.0,178393.0,106348.0,344383.0,266587.0,77795.0
2025-09-01,-59392.0,-87897.0,28505.0,292352.0,186465.0,105886.0,351743.0,274362.0,77381.0
2025-10-01,-37376.0,-65299.0,27924.0,301158.0,195879.0,105279.0,338534.0,261178.0,77356.0
2025-11-01,-63868.0,-91473.0,27604.0,289504.0,184881.0,104623.0,353372.0,276354.0,77018.0
2025-12-01,-76078.0,-102617.0,26539.0,285282.0,180880.0,104402.0,361360.0,283497.0,77863.0
2026-01-01,-54185.0,-82262.0,28077.0,299806.0,194714.0,105091.0,353991.0,276976.0,77015.0
2026-02-01,-54980.0,-82520.0,27541.0,311803.0,206060.0,105743.0,366783.0,288580.0,78202.0
2026-03-01,-56585.0,-86077.0,29493.0,318776.0,212514.0,106262.0,375360.0,298591.0,76770.0
2026-04-01,-55881.0,-83687.0,27806.0,327101.0,221263.0,105839.0,382982.0,304949.0,78033.0
