Period,EXP,IMP
2015-01-01,194.274,233.146
2015-02-01,191.937,225.825
2015-03-01,192.268,240.967
2015-04-01,193.068,232.921
2015-05-01,191.848,230.421
2015-06-01,191.427,233.941
2015-07-01,190.781,231.176
2015-08-01,188.027,232.297
2015-09-01,189.061,230.772
2015-10-01,187.682,228.637
2015-11-01,185.269,225.844
2015-12-01,184.399,225.515
2016-01-01,180.84,220.997
2016-02-01,182.895,226.349
2016-03-01,181.919,218.835
2016-04-01,184.034,222.161
2016-05-01,184.948,224.097
2016-06-01,186.622,228.495
2016-07-01,187.91,228.058
2016-08-01,189.85,230.271
2016-09-01,190.415,227.652
2016-10-01,189.089,227.854
2016-11-01,187.434,231.516
2016-12-01,192.381,233.525
2017-01-01,195.303,238.248
2017-02-01,195.839,235.65
2017-03-01,195.88,237.356
2017-04-01,195.851,240.208
2017-05-01,195.404,239.531
2017-06-01,197.631,240.633
2017-07-01,197.812,239.82
2017-08-01,198.638,239.8
2017-09-01,200.747,242.211
2017-10-01,202.584,244.199
2017-11-01,205.999,250.623
2017-12-01,209.091,255.241
2018-01-01,206.058,253.114
2018-02-01,208.776,257.925
2018-03-01,213.123,257.104
2018-04-01,213.183,258.289
2018-05-01,216.094,257.279
2018-06-01,213.698,258.569
2018-07-01,211.824,261.336
2018-08-01,211.054,260.791
2018-09-01,212.793,264.566
2018-10-01,213.861,266.206
2018-11-01,210.383,260.93
2018-12-01,207.793,263.48
2019-01-01,209.087,257.905
2019-02-01,210.133,258.165
2019-03-01,213.813,263.59
2019-04-01,210.289,260.363
2019-05-01,213.973,265.877
2019-06-01,210.575,260.965
2019-07-01,211.469,261.428
2019-08-01,210.474,260.862
2019-09-01,208.776,257.037
2019-10-01,210.157,252.877
2019-11-01,209.739,250.335
2019-12-01,209.883,255.304
2020-01-01,205.091,250.543
2020-02-01,204.819,246.458
2020-03-01,187.49,234.647
2020-04-01,150.074,203.033
2020-05-01,146.108,201.023
2020-06-01,158.805,209.48
2020-07-01,170.908,231.651
2020-08-01,174.287,238.02
2020-09-01,178.063,240.689
2020-10-01,182.732,246.41
2020-11-01,185.186,252.494
2020-12-01,190.877,256.678
2021-01-01,193.221,260.313
2021-02-01,188.561,259.203
2021-03-01,202.669,277.693
2021-04-01,204.704,273.775
2021-05-01,206.468,277.462
2021-06-01,207.672,283.421
