date,White,Black,Hispanic
1989-01-01,4.6,11.8,8.6
1989-02-01,4.3,11.9,7.0
1989-03-01,4.2,11.1,6.6
1989-04-01,4.5,11.1,8.1
1989-05-01,4.4,11.2,7.9
1989-06-01,4.5,11.7,8.2
1989-07-01,4.5,11.0,8.8
1989-08-01,4.5,11.1,8.8
1989-09-01,4.5,11.7,8.1
1989-10-01,4.5,11.7,8.0
1989-11-01,4.6,11.7,7.9
1989-12-01,4.6,11.6,8.3
1990-01-01,4.6,11.1,7.3
1990-02-01,4.6,11.0,7.5
1990-03-01,4.5,10.9,7.4
1990-04-01,4.7,10.7,8.5
1990-05-01,4.6,10.6,7.9
1990-06-01,4.5,10.5,7.7
1990-07-01,4.7,11.4,8.0
1990-08-01,4.9,11.7,8.3
1990-09-01,5.0,12.1,8.3
1990-10-01,5.1,12.1,8.5
1990-11-01,5.3,12.4,8.9
1990-12-01,5.4,12.4,9.9
1991-01-01,5.6,11.9,9.1
1991-02-01,5.8,12.2,9.2
1991-03-01,6.0,12.5,9.8
1991-04-01,5.9,12.7,9.8
1991-05-01,6.1,12.8,10.0
1991-06-01,6.2,12.5,10.1
1991-07-01,6.2,11.9,9.6
1991-08-01,6.2,12.4,10.5
1991-09-01,6.2,12.3,10.9
1991-10-01,6.2,13.3,10.7
1991-11-01,6.3,12.5,10.4
1991-12-01,6.5,12.9,10.2
1992-01-01,6.4,13.5,11.0
1992-02-01,6.5,14.2,11.3
1992-03-01,6.5,14.1,11.2
1992-04-01,6.5,14.1,11.0
1992-05-01,6.6,14.7,11.7
1992-06-01,6.9,14.6,12.1
1992-07-01,6.7,14.4,11.7
1992-08-01,6.7,14.2,11.7
1992-09-01,6.7,13.9,11.8
1992-10-01,6.5,14.3,11.8
1992-11-01,6.5,14.1,12.0
1992-12-01,6.5,14.3,11.5
1993-01-01,6.3,14.1,11.3
1993-02-01,6.2,13.5,11.5
1993-03-01,6.1,13.7,11.3
1993-04-01,6.1,14.0,11.0
1993-05-01,6.2,13.1,10.2
1993-06-01,6.2,13.4,10.4
1993-07-01,6.1,12.7,10.7
1993-08-01,6.0,12.3,9.8
1993-09-01,5.9,12.5,10.0
1993-10-01,6.2,11.8,11.4
1993-11-01,5.7,12.6,10.5
1993-12-01,5.8,11.7,10.6
1994-01-01,5.7,13.1,10.5
1994-02-01,5.7,12.8,10.1
1994-03-01,5.7,12.4,9.9
1994-04-01,5.6,11.9,10.8
1994-05-01,5.2,11.7,9.6
1994-06-01,5.3,11.3,10.3
1994-07-01,5.3,10.9,10.1
1994-08-01,5.2,11.2,9.8
1994-09-01,5.1,10.6,10.1
1994-10-01,5.0,11.3,9.5
1994-11-01,4.8,10.8,8.9
1994-12-01,4.8,9.9,9.3
1995-01-01,4.8,10.3,10.2
1995-02-01,4.7,10.1,9.0
1995-03-01,4.7,9.7,8.9
1995-04-01,5.0,10.7,8.9
1995-05-01,5.0,10.0,9.8
1995-06-01,4.9,10.7,9.1
1995-07-01,4.9,10.9,8.8
1995-08-01,4.9,11.1,9.6
1995-09-01,4.9,11.1,9.1
1995-10-01,4.9,10.0,9.4
1995-11-01,5.0,9.7,9.5
1995-12-01,4.9,10.2,9.3
1996-01-01,4.9,10.6,9.4
1996-02-01,4.8,10.0,9.6
1996-03-01,4.8,10.6,9.6
1996-04-01,4.8,10.7,9.6
1996-05-01,4.9,10.2,9.6
1996-06-01,4.6,10.4,8.8
1996-07-01,4.7,10.6,8.8
1996-08-01,4.4,10.6,8.8
1996-09-01,4.5,10.6,8.2
1996-10-01,4.5,10.7,8.0
1996-11-01,4.6,10.6,8.5
1996-12-01,4.6,10.5,7.4
1997-01-01,4.5,10.8,8.4
1997-02-01,4.5,10.7,8.2
1997-03-01,4.4,10.5,8.3
1997-04-01,4.3,10.2,8.2
1997-05-01,4.1,10.3,7.7
1997-06-01,4.2,10.8,7.5
1997-07-01,4.2,9.5,7.9
1997-08-01,4.2,9.4,7.2
1997-09-01,4.2,9.5,7.4
1997-10-01,4.1,9.5,7.8
1997-11-01,3.9,9.5,7.0
1997-12-01,3.9,10.0,7.3
1998-01-01,4.0,9.4,7.1
1998-02-01,3.9,9.3,6.9
1998-03-01,4.0,9.2,6.9
1998-04-01,3.7,9.1,6.7
1998-05-01,3.8,8.9,6.9
