date,FL264090005.Q,FL882090265.Q,FL892090005.Q,LM112010005.Q,LM152010005.Q,LM212010095.Q,LM315015005.Q,LM662090003.Q,LM882010405.Q,FL264194005.Q,LM155035005.Q,LM155035015.Q,LM883164105.Q
1988-01-01,1252793.0,65769.0,19470595.0,3728172.0,8517217.0,2211258.0,1338567.0,6345.0,3603268.0,1318562.0,6756390.0,6030622.0,2772367.0
1988-04-01,1312740.0,11817.0,19882203.0,3776339.0,8752940.0,2235522.0,1356270.0,6500.0,3742815.0,1324557.0,6951383.0,6214596.0,2899595.0
1988-07-01,1337088.0,9772.0,20098065.0,3822935.0,8927281.0,2261639.0,1374191.0,6664.0,3695582.0,1346860.0,7084749.0,6337344.0,2863593.0
1988-10-01,1405604.0,86364.0,20576211.0,3877709.0,9095576.0,2286272.0,1405825.0,6578.0,3817887.0,1491968.0,7208807.0,6449167.0,2946957.0
1989-01-01,1460694.0,70352.0,20983714.0,3932347.0,9261174.0,2310658.0,1419010.0,6649.0,3983524.0,1531045.0,7336628.0,6566417.0,3092460.0
1989-04-01,1511882.0,39507.0,21466276.0,3989362.0,9434030.0,2348050.0,1439833.0,6188.0,4209305.0,1551390.0,7479612.0,6696931.0,3303923.0
1989-07-01,1574163.0,38381.0,22060712.0,4024434.0,9674327.0,2383198.0,1464091.0,6475.0,4469807.0,1612543.0,7685533.0,6892716.0,3564742.0
1989-10-01,1729557.0,37091.0,22461608.0,4070055.0,9817873.0,2412950.0,1477700.0,5788.0,4640150.0,1766648.0,7797521.0,6994317.0,3615610.0
1990-01-01,1756466.0,-22617.0,22482642.0,4104690.0,9904200.0,2448308.0,1493836.0,5725.0,4548499.0,1733850.0,7840280.0,7046784.0,3450376.0
1990-04-01,1801919.0,-10572.0,22810582.0,4128250.0,9984842.0,2485402.0,1508945.0,5497.0,4708217.0,1791348.0,7893650.0,7100789.0,3588635.0
1990-07-01,1826989.0,-18853.0,22458447.0,4148728.0,10066599.0,2523478.0,1525717.0,5225.0,4207554.0,1808136.0,7949390.0,7155004.0,3010696.0
1990-10-01,1803015.0,-84557.0,22760655.0,4162182.0,10093057.0,2541762.0,1540998.0,4524.0,4502689.0,1718458.0,7950687.0,7155431.0,3333710.0
1991-01-01,1841981.0,-75593.0,23354035.0,4158033.0,10154796.0,2557969.0,1557483.0,5004.0,4996343.0,1766388.0,7981173.0,7189688.0,3852473.0
1991-04-01,1859287.0,-116793.0,23335679.0,4148468.0,10201569.0,2590709.0,1566808.0,5186.0,4939732.0,1742494.0,8010362.0,7222432.0,3824240.0
1991-07-01,1882259.0,-93046.0,23625079.0,4116729.0,10247823.0,2615680.0,1585924.0,5644.0,5146325.0,1789213.0,8035168.0,7266399.0,4047899.0
1991-10-01,2026487.0,-148503.0,24258213.0,4089199.0,10319579.0,2621535.0,1592542.0,5680.0,5778182.0,1877983.0,8091352.0,7341365.0,4568797.0
1992-01-01,2186371.0,-322052.0,24215933.0,4077403.0,10420578.0,2637692.0,1598407.0,5685.0,5798220.0,1864319.0,8175742.0,7437772.0,4501369.0
1992-04-01,2226273.0,-317089.0,24279604.0,4058068.0,10467622.0,2675098.0,1613414.0,5521.0,5776970.0,1909184.0,8200000.0,7473735.0,4484320.0
1992-07-01,2275548.0,-325695.0,24514910.0,4045088.0,10565648.0,2703786.0,1628432.0,6048.0,5891602.0,1949853.0,8277595.0,7563988.0,4604121.0
1992-10-01,2329442.0,-438374.0,25051904.0,4038881.0,10652933.0,2738425.0,1652145.0,5889.0,6402005.0,1891068.0,8341272.0,7639975.0,5107703.0
1993-01-01,2390202.0,-431924.0,25340118.0,4069179.0,10673346.0,2778421.0,1667768.0,6875.0,6576452.0,1958278.0,8347689.0,7647776.0,5304972.0
1993-04-01,2434171.0,-377583.0,25555643.0,4090670.0,10791870.0,2816003.0,1677188.0,6516.0,6550979.0,2056588.0,8435276.0,7736890.0,5331916.0
1993-07-01,2523500.0,-369992.0,25892396.0,4116817.0,10915134.0,2837242.0,1689330.0,7255.0,6696611.0,2153508.0,8528138.0,7826511.0,5533278.0
1993-10-01,2648908.0,-176395.0,26469217.0,4153709.0,11047447.0,2874791.0,1704793.0,6966.0,6857906.0,2472513.0,8622560.0,7917522.0,5753004.0
1994-01-01,2735147.0,-221142.0,26502886.0,4212587.0,11142495.0,2913865.0,1713438.0,6982.0,6734660.0,2514005.0,8692332.0,7975515.0,5509287.0
1994-04-01,2780082.0,-192631.0,26701308.0,4267554.0,11273775.0,2946633.0,1735410.0,6352.0,6664215.0,2587451.0,8788780.0,8059961.0,5434452.0
1994-07-01,2866773.0,-237802.0,27111574.0,4304369.0,11397944.0,2998370.0,1750612.0,6450.0,6891630.0,2628971.0,8874764.0,8136784.0,5683732.0
1994-10-01,2828706.0,-124285.0,27460344.0,4356440.0,11497432.0,3054114.0,1770425.0,5868.0,6900350.0,2704422.0,8945391.0,8196224.0,5690731.0
1995-01-01,2932754.0,-153784.0,28113644.0,4395449.0,11590140.0,3107833.0,1785938.0,6174.0,7381894.0,2778970.0,8999792.0,8245141.0,6155864.0
1995-04-01,3060180.0,-191004.0,28740003.0,4429705.0,11695429.0,3153131.0,1797615.0,5996.0,7849130.0,2869176.0,9080126.0,8321809.0,6678120.0
1995-07-01,3208062.0,-241841.0,29417995.0,4478892.0,11818468.0,3194778.0,1806086.0,6900.0,8354711.0,2966221.0,9181237.0,8413137.0,7228248.0
