date,NCB,HH,SLG,FEDG,TOT,TOTG,CFC,DG,CB,GOV,BUS
1989-01-01,0.791072,2.52973,0.986346,0.460966,7.30736,22.1575,14.8501,1.79157,1.87377,1.44731,3.33031
1989-04-01,0.74192,2.3721,1.00941,0.42019,7.13312,21.9516,14.8185,1.74704,1.84406,1.4296,3.33143
1989-07-01,0.725924,2.32177,1.01254,0.478512,7.31804,22.1527,14.8347,1.82411,2.0299,1.49105,3.50522
1989-10-01,0.614469,2.19335,1.06315,0.368055,6.90544,21.8349,14.9295,1.47354,2.02151,1.43121,3.28088
1990-01-01,0.522213,2.19219,1.12413,0.427503,7.04453,21.8592,14.8147,1.78523,2.142,1.55164,3.3007
1990-04-01,0.391022,2.01474,1.07268,0.435568,6.49505,21.2975,14.8024,1.35654,2.02964,1.50825,2.97207
1990-07-01,0.299096,1.83275,1.0637,0.427706,6.24229,21.1217,14.8794,1.18545,2.08556,1.49141,2.91813
1990-10-01,0.195413,1.64875,1.13507,0.367277,5.77323,20.8757,15.1025,0.91253,1.95144,1.50235,2.62213
1991-01-01,0.0976442,1.48715,1.08741,0.29618,5.1736,20.4005,15.2269,0.679798,1.80487,1.38359,2.30286
1991-04-01,0.0761891,1.57608,1.06647,0.338313,5.08644,20.2483,15.1618,0.631677,1.67265,1.40478,2.10558
1991-07-01,0.029359,1.68087,1.07504,0.271079,4.91289,20.0239,15.111,0.709579,1.50876,1.34611,1.8859
1991-10-01,-0.0177826,1.72887,1.08758,0.181753,4.74083,19.8077,15.0669,0.537693,1.47417,1.26934,1.74262
1992-01-01,-0.0526158,1.87673,1.13371,0.202936,4.83902,19.7401,14.901,0.79763,1.41744,1.33664,1.62565
1992-04-01,-0.0472433,1.99548,1.04172,0.205973,5.128,19.8895,14.7615,0.80533,1.62584,1.24769,1.88483
1992-07-01,-0.0310357,1.96289,0.954902,0.20563,5.09291,19.7633,14.6704,0.885795,1.70908,1.16053,1.96948
1992-10-01,0.0298168,2.04721,0.902197,0.190995,5.32931,19.9125,14.5832,0.96671,1.8239,1.09319,2.18891
1993-01-01,0.0955352,2.00505,0.880992,0.094911,5.20415,19.8586,14.6545,0.866949,1.81096,0.975903,2.2232
1993-04-01,0.154606,2.02029,0.93953,0.0716117,5.37577,20.0262,14.6504,1.08936,1.80038,1.01114,2.34434
1993-07-01,0.186789,2.14237,0.928685,0.0173784,5.39417,20.051,14.6568,1.10843,1.79253,0.946063,2.30574
1993-10-01,0.235381,2.28805,0.921007,0.0306541,5.8472,20.4129,14.5657,1.22991,2.00696,0.951661,2.60748
