date,FA115015005.Q,FA155015005.Q,FA155015015.Q,FA215015005.Q,FA315015005.Q,FA885015005.Q,FA885019005.Q,FA886300005.Q,FA886300095.Q,FA155111005.Q,FA105015085.Q
1988-01-01,43433.0,136432.0,136435.0,49808.0,31777.0,381336.0,1145138.0,1091738.0,763802.0,109698.0,80825.0
1988-04-01,44562.0,139424.0,139426.0,53469.0,29665.0,395391.0,1173070.0,1111112.0,777679.0,106790.0,92143.0
1988-07-01,43091.0,139060.0,139062.0,52504.0,27517.0,390555.0,1181927.0,1132533.0,791372.0,96426.0,93867.0
1988-10-01,42637.0,140950.0,140952.0,55193.0,27341.0,402257.0,1207391.0,1154100.0,805134.0,103294.0,99896.0
1989-01-01,43598.0,139420.0,139419.0,54360.0,25405.0,402727.0,1221156.0,1172313.0,818429.0,98734.0,102583.0
1989-04-01,41638.0,133133.0,133134.0,56653.0,23583.0,400344.0,1232026.0,1192663.0,831682.0,98051.0,102792.0
1989-07-01,41343.0,132233.0,132233.0,57668.0,27253.0,416789.0,1261678.0,1211467.0,844889.0,103893.0,114883.0
1989-10-01,35315.0,126057.0,126057.0,61102.0,21153.0,396872.0,1254905.0,1231018.0,858033.0,84690.0,115435.0
1990-01-01,30669.0,128741.0,128742.0,66017.0,25106.0,413704.0,1283726.0,1247311.0,870022.0,104852.0,125060.0
1990-04-01,23306.0,120079.0,120080.0,63932.0,25960.0,387107.0,1269336.0,1267626.0,882229.0,80853.0,120216.0
1990-07-01,17993.0,110242.0,110243.0,63983.0,25727.0,375481.0,1270494.0,1285434.0,895013.0,71304.0,124681.0
1990-10-01,11734.0,99003.0,99004.0,68158.0,22054.0,346667.0,1253532.0,1301994.0,906865.0,54787.0,116395.0
1991-01-01,5892.0,89752.0,89750.0,65627.0,17875.0,312236.0,1231206.0,1319195.0,918970.0,41037.0,108152.0
1991-04-01,4669.0,96564.0,96563.0,65341.0,20728.0,311639.0,1240584.0,1334827.0,928945.0,38707.0,101693.0
1991-07-01,1821.0,104314.0,104313.0,66716.0,16823.0,304891.0,1242672.0,1346838.0,937781.0,44034.0,92836.0
1991-10-01,-1112.0,108306.0,108305.0,68132.0,11386.0,296991.0,1240864.0,1356853.0,943873.0,33675.0,91546.0
1992-01-01,-3348.0,119418.0,119418.0,72139.0,12913.0,307912.0,1256081.0,1362683.0,948169.0,50765.0,89408.0
1992-04-01,-3059.0,129123.0,129123.0,67407.0,13328.0,331821.0,1287001.0,1372854.0,955180.0,52114.0,104414.0
1992-07-01,-2039.0,128896.0,128895.0,62705.0,13503.0,334433.0,1297784.0,1385386.0,963351.0,58165.0,111430.0
1992-10-01,1989.0,136770.0,136770.0,60274.0,12760.0,356041.0,1330317.0,1400189.0,974276.0,64576.0,121043.0
1993-01-01,6429.0,134929.0,134930.0,59286.0,6387.0,350211.0,1336377.0,1421965.0,986166.0,58339.0,121063.0
1993-04-01,10528.0,137560.0,137561.0,63972.0,4876.0,366033.0,1363569.0,1436216.0,997536.0,74172.0,121769.0
1993-07-01,12855.0,147440.0,147440.0,63913.0,1196.0,371232.0,1379927.0,1453496.0,1008695.0,76285.0,122535.0
1993-10-01,16509.0,160478.0,160479.0,64597.0,2150.0,410107.0,1431707.0,1472481.0,1021600.0,86267.0,139919.0
1994-01-01,14602.0,167180.0,167179.0,61138.0,-7420.0,406720.0,1440005.0,1491022.0,1033285.0,85793.0,141934.0
1994-04-01,16721.0,177157.0,177156.0,64128.0,-5760.0,426862.0,1473831.0,1509711.0,1046969.0,89924.0,146678.0
1994-07-01,17655.0,171655.0,171656.0,69214.0,-1047.0,438319.0,1500590.0,1531875.0,1062271.0,92836.0,153516.0
1994-10-01,21434.0,165269.0,165268.0,69681.0,-5649.0,453161.0,1533068.0,1557043.0,1079907.0,106092.0,172929.0
1995-01-01,27309.0,155988.0,155989.0,70630.0,-3000.0,474225.0,1573376.0,1581433.0,1099151.0,90490.0,196195.0
1995-04-01,28478.0,144328.0,144329.0,73741.0,-4314.0,464872.0,1580625.0,1605595.0,1115753.0,88150.0,197435.0
1995-07-01,30987.0,152175.0,152175.0,71264.0,-6693.0,468279.0,1599041.0,1625648.0,1130762.0,97515.0,195035.0
1995-10-01,31285.0,158156.0,158157.0,71781.0,-9269.0,479115.0,1622974.0,1643217.0,1143859.0,101985.0,200443.0
1996-01-01,30743.0,167888.0,167887.0,69958.0,1727.0,509713.0,1665288.0,1658912.0,1155575.0,103758.0,208730.0
1996-04-01,31864.0,183193.0,183194.0,73916.0,-1675.0,538059.0,1705620.0,1677992.0,1167561.0,111852.0,216109.0
1996-07-01,32697.0,186524.0,186523.0,79015.0,-4960.0,562421.0,1744301.0,1696154.0,1181880.0,110815.0,231060.0
1996-10-01,34030.0,184088.0,184087.0,87634.0,-10555.0,573440.0,1769651.0,1716265.0,1196211.0,114474.0,242390.0
1997-01-01,36399.0,186766.0,186766.0,83473.0,-13030.0,578671.0,1791973.0,1736479.0,1213302.0,126120.0,248641.0
1997-04-01,38689.0,192090.0,192091.0,84560.0,-11896.0,594593.0,1825817.0,1760955.0,1231224.0,111281.0,256591.0
1997-07-01,42807.0,199568.0,199568.0,86710.0,-7555.0,640975.0,1888780.0,1780385.0,1247805.0,132534.0,279922.0
1997-10-01,41388.0,206793.0,206794.0,87726.0,-9855.0,633573.0,1898546.0,1802932.0,1264973.0,140390.0,265663.0
1998-01-01,41846.0,218046.0,218041.0,86637.0,-9795.0,657116.0,1938462.0,1826347.0,1281346.0,138118.0,271776.0
1998-04-01,45863.0,233675.0,233671.0,93054.0,-8674.0,699467.0,1999500.0,1850469.0,1300033.0,161886.0,278066.0
1998-07-01,46343.0,245540.0,245537.0,98976.0,-3201.0,724614.0,2043382.0,1875712.0,1318768.0,170014.0,282468.0
1998-10-01,50793.0,255297.0,255293.0,97986.0,-9261.0,747671.0,2086468.0,1902516.0,1338797.0,200414.0,288330.0
1999-01-01,55001.0,255154.0,255155.0,100911.0,-6270.0,768050.0,2126737.0,1927450.0,1358687.0,192653.0,300340.0
