name,author,title,url
NIPA,Bureau of Economic Analysis,National Income and Product Accounts Tables,https://www.bea.gov/itable/
CensusPopEstimates,U.S. Census Bureau,Census Population Estimates,https://www.census.gov/programs-surveys/popest.html
CensusPopProjections,U.S. Census Bureau,Census Population Projections,https://www.census.gov/programs-surveys/popproj.html
CPS,U.S. Census Bureau,Current Population Survey Public Use Microdata,https://www.census.gov/programs-surveys/cps.html
ProductivityCostsBLS,Bureau of Labor Statistics,Productivity and Costs,https://www.bls.gov/lpc/
GDPNow,Federal Reserve Bank of Atlanta,GDPNow,https://www.atlantafed.org/cqer/research/gdpnow
NBERRecession,National Bureau of Economic Research,US Business Cycle Expansions and Contractions,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions
CES,Bureau of Labor Statistics,Current Employment Statistics,https://www.bls.gov/ces/
GDPbyState,Bureau of Economic Analysis,Gross Domestic Product by State,https://www.bea.gov/data/gdp/gdp-state
GDPbyIndustry,Bureau of Economic Analysis,Gross Domestic Product by Industry,https://www.bea.gov/data/gdp/gdp-industry
FRBZ1,Federal Reserve Board,Financial Accounts of the United States (Z.1),https://www.federalreserve.gov/releases/z1/
ConstructionSpending,U.S. Census Bureau,Construction Spending Report,https://www.census.gov/construction/c30/c30index.html
HousingVacancies,U.S. Census Bureau,Housing Vacancies and Homeownership,https://www.census.gov/housing/hvs/index.html
NCHSLifeExpectancy,National Center for Health Statistics,Life Expectancy,https://www.cdc.gov/nchs/products/life_tables.htm
ConsumerExpenditureSurvey,Bureau of Labor Statistics,Consumer Expenditure Survey,https://www.bls.gov/cex/
PersonalIncomeOutlays,Bureau of Economic Analysis,Personal Income and Outlays Report,https://www.bea.gov/data/income-saving/personal-income
CensusASEC,U.S. Census Bureau,Current Population Survey Annual Social and Economic Supplement,https://www.census.gov/programs-surveys/cps.html
ACS,U.S. Census Bureau,American Community Survey,https://www.census.gov/programs-surveys/acs
UMichConsumerSentiment,University of Michigan,Survey of Consumers,http://www.sca.isr.umich.edu/
FRBNYConsumerCreditPanel,Federal Reserve Bank of New York,Consumer Credit Panel,https://www.newyorkfed.org/microeconomics/ccp.html
FedG19,Federal Reserve Board,Consumer Credit - G.19,https://www.federalreserve.gov/releases/g19/
FRBFinancialObligations,Federal Reserve Board,Financial Obligations and Debt Service Ratio,https://www.federalreserve.gov/releases/housedebt/
SCF,Board of Governors of the Federal Reserve System,Survey of Consumer Finances,https://www.federalreserve.gov/econres/scfindex.htm
FedDFA,Board of Governors of the Federal Reserve System,Distributional Financial Accounts,https://www.federalreserve.gov/releases/z1/dataviz/dfa/
CensusBuildingPermits,U.S. Census Bureau,Building Permits Survey,https://www.census.gov/construction/bps/
CensusNewResidentialSales,U.S. Census Bureau,New Residential Home Sales,https://www.census.gov/construction/nrs/
FRBAtlantaHomeownership,Federal Reserve Bank of Atlanta,Homeownership Affordability Monitor,https://www.atlantafed.org/community-and-economic-development/data-and-tools/homeownership-affordability-monitor
FHFAHousingPriceIndex,Federal Housing Finance Agency,Housing Price Index,https://www.fhfa.gov/DataTools/Downloads/Pages/House-Price-Index.aspx
CensusManufacturersNewOrders,U.S. Census Bureau,Manufacturers' New Orders: Durable Goods,https://www.census.gov/manufacturing/m3/
BEACorporateProfits,Bureau of Economic Analysis,Corporate Profits,https://www.bea.gov/data/income-saving/corporate-profits
FederalReserveG17,Board of Governors of the Federal Reserve System,Industrial Production and Capacity Utilization - G.17,https://www.federalreserve.gov/releases/g17/
EIAOilProduction,U.S. Energy Information Administration,Crude Oil Production,https://www.eia.gov/petroleum/production/
EIAElectricityProduction,U.S. Energy Information Administration,Electric Power Monthly,https://www.eia.gov/electricity/monthly/
EIARetailSalesReport,U.S. Census Bureau,Monthly Retail Trade,https://www.census.gov/retail/index.html
TreasuryMonthlyStatement,U.S. Department of the Treasury,Monthly Treasury Statement,https://fiscal.treasury.gov/reports-statements/mts/
OMBOutlaysByType,Office of Management and Budget,Historical Tables,https://www.whitehouse.gov/omb/historical-tables/
SSABeneficiariesReport,Social Security Administration,Annual Statistical Supplement,https://www.ssa.gov/policy/docs/statcomps/supplement/
TreasuryPublicDebt,U.S. Department of the Treasury,The Debt to the Penny and Who Holds It,https://fiscal.treasury.gov/reports-statements/debt-to-the-penny/
CensusInternationalTrade,U.S. Census Bureau,International Trade in Goods and Services,https://www.census.gov/foreign-trade/index.html
BEAInternationalInvestment,Bureau of Economic Analysis,International Investment Position,https://www.bea.gov/data/intl-trade-investment/international-investment-position
TreasuryTICReport,U.S. Department of the Treasury,Treasury International Capital (TIC) System,https://www.treasury.gov/resource-center/data-chart-center/tic/Pages/index.aspx
FederalReserveExchangeRates,Board of Governors of the Federal Reserve System,Foreign Exchange Rates,https://www.federalreserve.gov/releases/h10/
BISRealExchangeRate,Bank for International Settlements,Effective Exchange Rate Indices,https://www.bis.org/statistics/eer.htm
BLSEmploymentCostIndex,Bureau of Labor Statistics,Employment Cost Index,https://www.bls.gov/eci/
Nowcasting,Federal Reserve Bank of Cleveland,Inflation Nowcasting,https://www.clevelandfed.org/en/our-research/indicators-and-data/inflation-nowcasting.aspx
WageTracker,Federal Reserve Bank of Atlanta,Wage Growth Tracker,https://www.atlantafed.org/chcs/wage-growth-tracker.aspx
LaborSurvey,Federal Reserve Bank of New York,SCE Labor Market Survey,https://www.newyorkfed.org/microeconomics/sce/labormarket
WeeklyEarnings,Bureau of Labor Statistics,Usual Weekly Earnings of Wage and Salary Workers,https://www.bls.gov/news.release/wkyeng.toc.htm
UIClaims,Department of Labor,Unemployment Insurance Weekly Claims Data,https://oui.doleta.gov/unemploy/claims.asp
TrimmedPCE,Federal Reserve Bank of Dallas,Trimmed Mean PCE Inflation Index,https://www.dallasfed.org/research/pce
