"Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2020"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004"
"Line","","","","","","","","",""
"1","        Gross domestic product",8577.6,9062.8,9630.7,10252.3,10581.8,10936.4,11458.2,12213.7
"2","Private industries",7432.0,7871.5,8378.3,8929.3,9188.9,9462.0,9905.9,10582.5
"3","    Agriculture, forestry, fishing, and hunting",108.6,99.8,92.6,98.3,99.8,95.6,114.0,142.9
"4","        Farms",88.1,79.0,70.9,76.0,78.1,74.0,91.1,119.4
"5","        Forestry, fishing, and related activities",20.5,20.7,21.7,22.3,21.7,21.6,22.8,23.6
"6","    Mining",95.1,81.7,84.5,110.6,123.9,112.4,139.0,166.5
"7","        Oil and gas extraction",55.1,39.1,44.1,68.2,76.1,69.9,92.9,113.0
"8","        Mining, except oil and gas",26.5,29.0,29.3,28.5,28.1,27.3,29.2,33.6
"9","        Support activities for mining",13.5,13.6,11.1,13.8,19.7,15.2,16.9,19.9
"10","    Utilities",171.5,163.7,179.9,180.1,181.3,177.6,184.0,199.2
"11","    Construction",339.6,379.8,417.6,461.3,486.5,493.6,525.2,584.6
"12","    Manufacturing",1382.9,1430.6,1488.9,1550.2,1473.9,1468.5,1524.2,1608.1
"13","        Durable goods",823.8,850.7,874.9,924.8,833.4,832.8,863.2,905.1
"14","            Wood products",26.8,27.5,29.4,28.3,27.2,27.3,28.7,32.6
"15","            Nonmetallic mineral products",39.8,40.8,43.2,42.6,41.3,41.8,42.0,45.3
"16","            Primary metals",48.1,49.0,46.2,47.0,40.3,41.7,39.3,55.0
"17","            Fabricated metal products",110.0,111.7,116.0,121.3,110.9,106.1,108.5,114.7
"18","            Machinery",102.2,113.8,111.1,113.1,105.4,98.9,97.4,104.1
"19","            Computer and electronic products",195.3,191.7,186.6,225.4,173.5,172.9,193.5,201.5
"20","            Electrical equipment, appliances, and components",46.9,40.6,44.6,45.7,44.3,43.7,45.6,42.1
"21","            Motor vehicles, bodies and trailers, and parts",112.0,123.9,134.7,137.5,125.0,135.2,143.2,139.1
"22","            Other transportation equipment",62.5,66.8,73.8,71.1,76.9,73.0,72.6,75.9
"23","            Furniture and related products",27.9,29.7,31.6,33.5,31.2,31.2,30.4,31.0
"24","            Miscellaneous manufacturing",52.3,55.3,57.7,59.2,57.5,61.0,62.2,63.9
"25","        Nondurable goods",559.1,579.9,614.1,625.4,640.5,635.7,661.0,703.0
"26","            Food and beverage and tobacco products",135.2,140.0,161.8,163.2,174.2,175.6,178.9,175.8
"27","            Textile mills and textile product mills",27.4,28.1,28.5,28.0,24.9,24.0,18.7,22.2
"28","            Apparel and leather and allied products",25.2,23.4,22.4,22.2,19.5,18.1,15.5,14.6
"29","            Paper products",55.4,55.9,59.4,62.2,53.5,54.1,51.0,52.7
"30","            Printing and related support activities",37.4,39.7,42.2,43.7,42.7,42.1,42.2,42.8
"31","            Petroleum and coal products",47.5,50.1,45.2,52.7,68.3,50.7,81.3,104.2
"32","            Chemical products",173.4,181.0,188.7,187.9,193.8,207.9,210.7,226.8
"33","            Plastics and rubber products",57.6,61.8,66.0,65.5,63.5,63.0,62.7,63.9
"34","    Wholesale trade",527.5,563.7,584.0,622.6,613.8,613.1,641.5,697.1
"35","    Retail trade",579.9,626.9,652.6,685.5,709.5,732.6,769.6,795.6
"36","        Motor vehicle and parts dealers",118.5,123.7,135.3,138.6,132.7,147.0,149.8,152.7
"37","        Food and beverage stores",90.9,98.2,99.7,101.4,109.1,111.2,115.1,117.3
"38","        General merchandise stores",79.8,86.2,89.1,94.6,99.6,102.6,110.1,114.5
"39","        Other retail",290.7,318.8,328.6,350.8,368.1,371.8,394.6,411.0
"40","    Transportation and warehousing",257.3,280.0,290.0,307.8,308.1,305.7,321.4,352.1
"41","        Air transportation",54.7,55.2,57.7,58.1,49.2,52.0,54.6,60.8
"42","        Rail transportation",20.0,22.2,22.6,23.3,23.3,21.7,23.4,25.2
"43","        Water transportation",6.6,6.5,6.6,8.0,8.3,7.0,8.2,8.6
"44","        Truck transportation",77.1,85.6,92.3,98.0,97.2,97.1,101.4,109.1
"45","        Transit and ground passenger transportation",15.1,16.2,17.7,18.5,19.0,19.5,21.4,23.0
"46","        Pipeline transportation",7.0,9.8,10.4,9.4,16.1,10.0,10.3,10.7
"47","        Other transportation and support activities",55.9,59.8,58.1,65.9,69.1,71.7,73.3,80.9
"48","        Warehousing and storage",21.0,24.8,24.6,26.7,25.8,26.6,28.7,33.6
"49","    Information",394.1,434.6,485.0,471.3,502.4,550.6,564.9,620.4
"50","        Publishing industries, except internet (includes software)",97.2,108.2,139.1,115.9,116.1,136.9,145.6,160.6
"51","        Motion picture and sound recording industries",40.3,48.9,60.3,54.2,65.3,71.7,68.5,74.5
"52","        Broadcasting and telecommunications",226.3,241.8,256.2,277.0,281.4,280.8,287.6,311.1
"53","        Data processing, internet publishing, and other information services",30.3,35.6,29.4,24.3,39.5,61.2,63.1,74.2
"54","    Finance, insurance, real estate, rental, and leasing",1612.4,1710.1,1837.1,1974.7,2128.1,2217.0,2295.9,2389.1
"55","        Finance and insurance",577.2,637.9,675.1,743.1,803.1,816.4,846.3,872.4
"56","            Federal Reserve banks, credit intermediation, and related activities",233.1,267.0,303.8,320.3,343.2,385.6,401.4,374.3
"57","            Securities, commodity contracts, and investments",121.3,121.1,120.0,133.0,182.6,162.6,144.1,154.9
"58","            Insurance carriers and related activities",215.6,236.7,234.3,274.5,262.0,251.2,280.7,322.2
"59","            Funds, trusts, and other financial vehicles",7.2,13.1,16.9,15.2,15.2,17.0,20.2,21.0
"60","        Real estate and rental and leasing",1035.2,1072.2,1162.0,1231.7,1325.0,1400.5,1449.6,1516.7
"61","            Real estate",929.2,959.2,1034.9,1095.8,1176.6,1254.1,1307.1,1377.9
"62","                Housing",769.8,812.3,866.6,921.8,985.8,1031.9,1066.7,1133.0
"63","                Other real estate",159.4,146.9,168.3,174.0,190.8,222.2,240.4,244.9
"64","            Rental and leasing services and lessors of intangible assets",106.0,113.0,127.1,135.9,148.4,146.4,142.5,138.8
"65","    Professional and business services",840.6,914.0,997.2,1105.1,1155.5,1189.9,1247.4,1341.0
"66","        Professional, scientific, and technical services",499.7,543.1,595.9,651.8,686.8,714.7,741.3,792.4
"67","            Legal services",104.0,113.7,120.7,129.2,140.7,149.2,165.3,180.8
"68","            Computer systems design and related services",75.5,89.0,103.0,114.1,118.2,110.2,115.8,122.9
"69","            Miscellaneous professional, scientific, and technical services",320.2,340.4,372.3,408.6,427.9,455.3,460.3,488.7
"70","        Management of companies and enterprises",125.5,139.1,148.5,171.1,173.6,175.0,185.6,203.1
"71","        Administrative and waste management services",215.4,231.8,252.7,282.1,295.1,300.2,320.5,345.5
"72","            Administrative and support services",193.5,209.1,227.7,256.0,266.6,269.8,288.3,313.6
"73","            Waste management and remediation services",21.9,22.7,25.0,26.1,28.5,30.4,32.2,31.9
"74","    Educational services, health care, and social assistance",590.6,615.8,653.9,695.4,749.9,807.0,862.8,927.3
"75","        Educational services",77.1,79.9,87.7,95.2,101.7,106.5,116.8,129.1
"76","        Health care and social assistance",513.5,535.8,566.3,600.2,648.2,700.5,746.0,798.3
"77","            Ambulatory health care services",250.9,258.6,271.2,288.4,311.0,334.1,350.5,375.2
"78","            Hospitals",165.2,173.1,182.3,190.1,206.9,225.9,244.9,265.2
"79","            Nursing and residential care facilities",57.9,61.1,64.9,69.1,74.5,80.8,85.6,90.2
"80","            Social assistance",39.5,43.0,47.9,52.6,55.8,59.7,65.1,67.7
"81","    Arts, entertainment, recreation, accommodation, and food services",301.8,322.1,354.1,386.5,390.7,413.5,432.1,461.2
"82","        Arts, entertainment, and recreation",80.1,82.8,90.4,99.0,96.7,103.8,111.0,117.9
"83","            Performing arts, spectator sports, museums, and related activities",37.2,40.6,44.5,49.3,51.8,56.9,62.0,65.1
"84","            Amusements, gambling, and recreation industries",43.0,42.2,45.9,49.7,44.9,46.8,49.1,52.8
"85","        Accommodation and food services",221.6,239.2,263.7,287.5,294.0,309.7,321.1,343.3
"86","            Accommodation",70.7,75.7,84.2,93.3,90.1,92.7,94.2,102.4
"87","            Food services and drinking places",150.9,163.6,179.5,194.2,203.9,217.1,226.9,240.9
"88","    Other services, except government",230.3,248.7,260.8,279.7,265.6,284.9,283.8,297.3
"89","Government",1145.6,1191.3,1252.3,1323.0,1392.9,1474.4,1552.3,1631.3
"90","    Federal",390.7,396.4,406.0,423.5,430.4,462.5,498.9,525.5
"91","        General government",333.5,336.8,345.0,360.3,370.3,397.8,434.7,459.4
"92","            National defense",211.8,210.4,212.0,217.6,223.0,239.7,264.3,281.0
"93","            Nondefense",121.7,126.4,133.0,142.7,147.3,158.1,170.4,178.4
"94","        Government enterprises",57.2,59.6,61.0,63.2,60.2,64.6,64.2,66.1
"95","    State and local",754.8,794.9,846.4,899.5,962.5,1011.9,1053.5,1105.8
"96","        General government",689.3,726.2,773.1,824.0,882.3,930.6,970.1,1019.3
"97","        Government enterprises",65.5,68.7,73.2,75.5,80.2,81.3,83.3,86.5
"","    Addenda:","","","","","","","",""
"98","            Private goods-producing industries1",1926.1,1991.8,2083.7,2220.4,2184.1,2170.1,2302.4,2502.2
"99","            Private services-producing industries2",5505.9,5879.7,6294.6,6708.9,7004.8,7291.9,7603.5,8080.3
"100","            Information-communications-technology-producing industries3",505.0,544.1,579.3,632.9,610.3,620.9,653.1,706.2
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
